id,name,position,overall,nation,list_positon
220710,Harry Wilson,"CAM, RM",75,Wales,CAM
225147,Connor Roberts,"RWB, RB",75,Wales,RB
0,placeholders,nan,71.16666666666667,Wales,LB
184716,Joseph Michael Allen,"CM, CDM",70,Wales,CM
216627,Kieffer Roberto Francisco Moore,ST,74,Wales,ST
237833,Mark Thomas Harris,"ST, LW, RW",62,Wales,LW
229266,Joe Rodon,CB,72,Wales,CB
170084,Wayne Robert Hennessey,GK,74,Wales,GK
235735,Ethan Ampadu,"CB, CDM, CM",68,Wales,CDM
173731,Gareth Frank Bale,"RM, RW",82,Wales,RW
233201,Christopher James Mepham,CB,72,Wales,CB
