nation_name,average_overall_score
Brazil,83.0
France,81.6
Argentina,81.22222222222223
Portugal,81.05263157894737
Belgium,80.55555555555556
Spain,80.05
England,79.93333333333334
Germany,79.875
Netherlands,79.3125
Uruguay,78.3125
Serbia,76.80952380952381
Denmark,76.6
Switzerland,76.46666666666667
Croatia,76.25
Morocco,75.4
Mexico,75.14285714285714
Senegal,75.0
Korea Republic,74.88888888888889
Poland,73.58333333333333
Cameroon,73.15384615384616
Japan,73.0
Ghana,72.3
Iran,71.83333333333333
Wales,71.16666666666667
Costa Rica,71.0
Ecuador,70.4
Australia,69.61111111111111
Tunisia,69.5
Saudi Arabia,63.75
