id,name,position,overall,nation,list_positon
200145,Carlos Henrique Venancio Casimiro,CDM,89,Brazil,CDM
158023,Lionel Andrés Messi Cuccittini,"RW, ST, CF",93,Argentina,ST
192448,Marc-André ter Stegen,GK,90,Germany,GK
189332,Jordi Alba Ramos,"LB, LM",86,Spain,LB
190871,Neymar da Silva Santos Júnior,"LW, CAM",91,Brazil,CAM
203376,Virgil van Dijk,CB,89,Netherlands,CB
192985,Kevin De Bruyne,"CM, CAM",91,Belgium,CAM
210514,João Pedro Cavaco Cancelo,"RB, LB",86,Portugal,RB
209658,Leon Christoph Goretzka,"CM, CDM",87,Germany,CDM
212198,Bruno Miguel Borges Fernandes,CAM,88,Portugal,CAM
239818,Rúben dos Santos Gato Alves Dias,CB,87,Portugal,CB
