id,name,position,overall,nation,list_positon
224334,Marcos Javier Acuña,"LB, LM",84.0,Argentina,LM
214584,Franco Armani,GK,80.0,Argentina,GK
158023,Lionel Andrés Messi Cuccittini,"RW, ST, CF",93.0,Argentina,ST
143076,Alejandro Darío Gómez,"CAM, CF, CM",85.0,Argentina,CM
211256,Nicolás Alejandro Tagliafico,LB,82.0,Argentina,LB
214997,Ángel Martín Correa,"ST, RM",83.0,Argentina,RM
232488,Cristian Gabriel Romero,CB,82.0,Argentina,CB
231340,Gonzalo Ariel Montiel,"RB, RWB",78.0,Argentina,RB
207439,Leandro Daniel Paredes,"CDM, CM",81.0,Argentina,CM
192366,Nicolás Hernán Gonzalo Otamendi,CB,81.0,Argentina,CB
0,placeholders,,81.22222222222223,Argentina,ST
