id,name,position,overall,nation,list_positon
237647,Ajdin Hrustić,"RM, CAM, CM",70.0,Australia,CAM
0,placeholders,,69.61111111111111,Australia,LB
241861,Nathaniel Atkinson,"RB, RW",68.0,Australia,RB
229585,Miloš Degenek,"CB, CDM",73.0,Australia,CB
233487,Riley Patrick McGree,"CM, RM, CAM",70.0,Australia,CAM
209885,Mitchell Thomas Duke,ST,67.0,Australia,ST
229901,Harry James Souttar,CB,71.0,Australia,CB
0,placeholders,,69.61111111111111,Australia,CAM
199005,Mathew David Ryan,GK,77.0,Australia,GK
246006,Cameron Peter Devlin,"CDM, CM",70.0,Australia,CDM
0,placeholders,,69.61111111111111,Australia,CDM
