id,name,position,overall,nation,list_positon
184087,Toby Alderweireld,CB,83.0,Belgium,CB
222501,Timothy Castagne,"RB, RM",79.0,Belgium,RM
172871,Jan Vertonghen,CB,81.0,Belgium,CB
0,placeholders,,80.55555555555556,Belgium,LB
192119,Thibaut Courtois,GK,89.0,Belgium,GK
192505,Romelu Lukaku Menama,ST,88.0,Belgium,ST
175943,Dries Mertens,"CF, ST, CAM",84.0,Belgium,ST
0,placeholders,,80.55555555555556,Belgium,RB
203486,Thorgan Hazard,"LM, CF",82.0,Belgium,LM
192985,Kevin De Bruyne,"CM, CAM",91.0,Belgium,CM
216393,Youri Tielemans,"CM, CDM",84.0,Belgium,CM
