id,name,position,overall,nation,list_positon
207865,Marcos Aoás Corrêa,"CB, CDM",87.0,Brazil,CB
0,placeholders,,83.0,Brazil,ST
199304,Danilo Luiz da Silva,"RB, LB, CB",81.0,Brazil,RB
233927,Lucas Tolentino Coelho de Lima,"CM, CAM",81.0,Brazil,CM
191043,Alex Sandro Lobo Silva,"LB, LM",83.0,Brazil,LB
0,placeholders,,83.0,Brazil,LM
0,placeholders,,83.0,Brazil,ST
233419,Raphael Dias Belloli,"RM, RW",82.0,Brazil,RM
210257,Ederson Santana de Moraes,GK,89.0,Brazil,GK
209499,Fábio Henrique Tavares,"CDM, CB",86.0,Brazil,CB
209297,Frederico Rodrigues de Paula Santos,"CDM, CM",81.0,Brazil,CM
