id,name,position,overall,nation,list_positon
236556,Martin Hongla Yma,"CM, CDM, CB",73.0,Cameroon,CB
0,placeholders,,73.15384615384616,Cameroon,GK
237469,Nouhou Tolo,"CB, LB",68.0,Cameroon,LB
227236,André-Franck Zambo Anguissa,"CM, CDM",76.0,Cameroon,CDM
0,placeholders,,73.15384615384616,Cameroon,CDM
213868,Jean-Charles Castelletto,CB,73.0,Cameroon,CB
0,placeholders,,73.15384615384616,Cameroon,CAM
0,placeholders,,73.15384615384616,Cameroon,CAM
0,placeholders,,73.15384615384616,Cameroon,CAM
209973,Jean-Pierre Nsame,ST,78.0,Cameroon,ST
243235,Olivier Mbaissidara Mbaizo,RB,68.0,Cameroon,RB
