id,name,position,overall,nation,list_positon
232230,Ronald Alberto Matarrita Ulate,"LB, LM, LWB",71,Costa Rica,LB
212772,Óscar Esau Duarte Gaitán,CB,73,Costa Rica,CB
0,placeholders,nan,71.0,Costa Rica,CDM
0,placeholders,nan,71.0,Costa Rica,CM
0,placeholders,nan,71.0,Costa Rica,CB
0,placeholders,nan,71.0,Costa Rica,CAM
0,placeholders,nan,71.0,Costa Rica,RW
0,placeholders,nan,71.0,Costa Rica,RB
0,placeholders,nan,71.0,Costa Rica,GK
204713,Joel Nathaniel Campbell Samuels,"ST, RM",75,Costa Rica,ST
0,placeholders,nan,71.0,Costa Rica,LW
