id,name,position,overall,nation,list_positon
199206,Domagoj Vida,CB,78.0,Croatia,CB
216354,Andrej Kramarić,"ST, CAM",83.0,Croatia,CAM
241673,Borna Barišić,LB,75.0,Croatia,LB
188335,Ante Budimir,ST,78.0,Croatia,ST
0,placeholders,,76.25,Croatia,GK
241095,Nikola Vlašić,CAM,80.0,Croatia,CAM
216352,Marcelo Brozović,"CDM, CM",84.0,Croatia,CDM
257889,Kristijan Jakić,"CDM, CM",73.0,Croatia,CDM
0,placeholders,,76.25,Croatia,CAM
251517,Joško Gvardiol,"CB, LB",75.0,Croatia,CB
257771,Josip Juranović,RB,72.0,Croatia,RB
