id,name,position,overall,nation,list_positon
213648,Pierre-Emile Kordt Højbjerg,"CDM, CM",83.0,Denmark,CDM
0,placeholders,,76.6,Denmark,RW
193283,Thomas Joseph Delaney,"CDM, CM",81.0,Denmark,CM
179645,Simon Thorup Kjær,CB,83.0,Denmark,CB
245741,Jesper Grænge Lindstrøm,"CAM, CM",71.0,Denmark,CAM
0,placeholders,,76.6,Denmark,LB
201269,Frederik Riis Rønnow,GK,74.0,Denmark,GK
193290,Martin Braithwaite Christensen,"ST, LW",77.0,Denmark,LW
207791,Yussuf Yurary Poulsen,ST,77.0,Denmark,ST
213661,Andreas Bødtker Christensen,CB,80.0,Denmark,CB
172522,Daniel Wass,"RB, RM, CM",80.0,Denmark,RB
