id,name,position,overall,nation,list_positon
0,placeholders,,70.4,Ecuador,CAM
221860,Carlos Armando Gruezo Arboleda,"CDM, CM",72.0,Ecuador,CDM
256079,Moisés Isaac Caicedo Corozo,"CM, CDM",64.0,Ecuador,CDM
0,placeholders,,70.4,Ecuador,RB
0,placeholders,,70.4,Ecuador,CAM
246406,Xavier Ricardo Arreaga Bermello,CB,67.0,Ecuador,CB
260740,Jackson Gabriel Porozo Vernaza,CB,67.0,Ecuador,CB
0,placeholders,,70.4,Ecuador,CAM
0,placeholders,,70.4,Ecuador,GK
240944,Michael Steveen Estrada Martínez,ST,70.0,Ecuador,ST
237942,Pervis Josué Estupiñán Tenorio,"LB, LWB",79.0,Ecuador,LB
