id,name,position,overall,nation,list_positon
186345,Kieran Trippier,"RB, RWB, RM",84.0,England,RM
204935,Jordan Pickford,GK,83.0,England,GK
203574,John Stones,CB,83.0,England,CB
196978,Callum Wilson,ST,79.0,England,ST
183711,Jordan Henderson,"CDM, CM",84.0,England,CM
246669,Bukayo Saka,"RM, LM, LB",80.0,England,LM
224081,Kalvin Phillips,"CDM, CM, CB",81.0,England,CB
0,placeholders,,79.93333333333334,England,LB
0,placeholders,,79.93333333333334,England,RB
0,placeholders,,79.93333333333334,England,ST
233064,Mason Mount,"CAM, CM, RW",83.0,England,CM
