id,name,position,overall,nation,list_positon
201535,Raphaël Varane,CB,86.0,France,CB
201519,Jordan Veretout,"CDM, CM",82.0,France,CM
194765,Antoine Griezmann,"ST, LW, RW",85.0,France,LW
232656,Theo Bernard François Hernández,LB,84.0,France,LB
167948,Hugo Lloris,GK,87.0,France,GK
231443,Ousmane Dembélé,RW,83.0,France,RW
0,placeholders,,81.6,France,CAM
248243,Eduardo Camavinga,"CM, CDM",78.0,France,CDM
226851,Benjamin Pavard,"RB, CB",79.0,France,RB
165153,Karim Benzema,"CF, ST",89.0,France,ST
229558,Dayotchanculle Oswald Upamecano,CB,82.0,France,CB
