id,name,position,overall,nation,list_positon
205452,Antonio Rüdiger,CB,83,Germany,CB
222492,Leroy Aziz Sané,"RM, LM",84,Germany,RM
212190,Niklas Süle,"CB, RB",82,Germany,CB
210324,Jonas Hofmann,"CM, RM, LM",79,Germany,LM
222331,Lukas Manuel Klostermann,"CB, RB, RWB",80,Germany,RB
205431,Niclas Füllkrug,ST,76,Germany,ST
236703,David Raum,"LB, LM",73,Germany,LB
209658,Leon Christoph Goretzka,"CM, CDM",87,Germany,CM
251852,Karim-David Adeyemi,ST,71,Germany,ST
212194,Julian Brandt,"CAM, CM, CF",81,Germany,CM
167495,Manuel Peter Neuer,GK,90,Germany,GK
