id,name,position,overall,nation,list_positon
0,placeholders,,72.3,Ghana,LB
212219,Alexander Djiku,CB,76.0,Ghana,CB
209989,Thomas Partey,"CM, CDM",83.0,Ghana,CM
197756,Jordan Pierre Ayew,"ST, RM",75.0,Ghana,RM
212883,Daniel Amartey,"CB, RB, CDM",76.0,Ghana,CB
256035,Kamaldeen Sulemana,"LW, ST",72.0,Ghana,ST
0,placeholders,,72.3,Ghana,RB
0,placeholders,,72.3,Ghana,ST
245155,Mohammed Kudus,"CAM, CM",77.0,Ghana,CM
239076,Abdul Manaf Nurudeen,GK,63.0,Ghana,GK
244853,Kamal Sowah,"CF, CAM, LM",70.0,Ghana,LM
