id,name,position,overall,nation,list_positon
221671,이재성 李在成,"CM, CF, CAM",75.0,Korea Republic,CAM
226380,황희찬 黄喜灿,ST,75.0,Korea Republic,ST
0,placeholders,,74.88888888888889,Korea Republic,LB
243780,이강인 Kang-In Lee,"ST, CAM, RM",74.0,Korea Republic,CAM
0,placeholders,,74.88888888888889,Korea Republic,CDM
237086,김민재 金敏在,CB,74.0,Korea Republic,CB
0,placeholders,,74.88888888888889,Korea Republic,RB
212432,조현우 崔永宇,GK,75.0,Korea Republic,GK
0,placeholders,,74.88888888888889,Korea Republic,CB
0,placeholders,,74.88888888888889,Korea Republic,CDM
0,placeholders,,74.88888888888889,Korea Republic,CAM
