id,name,position,overall,nation,list_positon
237043,Roberto Carlos Alvarado Hernández,"RM, LM, CAM",76.0,Mexico,CAM
171897,José Andrés Guardado Hernández,"CDM, CM, LM",78.0,Mexico,CDM
0,placeholders,,75.14285714285714,Mexico,LB
0,placeholders,,75.14285714285714,Mexico,CAM
233493,Jorge Eduardo Sánchez Ramos,RB,76.0,Mexico,RB
0,placeholders,,75.14285714285714,Mexico,CDM
192041,Néstor Alejandro Araújo Razo,CB,76.0,Mexico,CB
229980,César Jasib Montes Castro,CB,75.0,Mexico,CB
198140,Rogelio Gabriel Funes Mori,ST,77.0,Mexico,ST
186098,Rodolfo Cota Robles,GK,76.0,Mexico,GK
0,placeholders,,75.14285714285714,Mexico,CAM
