id,name,position,overall,nation,list_positon
0,placeholders,,75.4,Morocco,GK
208295,Romain Saïss,"CB, CM",78.0,Morocco,CB
235410,Youssef En-Nesyri,"ST, LW",82.0,Morocco,ST
235212,Achraf Hakimi Mouh,"RB, RWB",85.0,Morocco,RW
0,placeholders,,75.4,Morocco,LB
0,placeholders,,75.4,Morocco,RB
224158,Sofyan Amrabat,"CDM, CM",76.0,Morocco,CDM
208670,Hakim Ziyech,"RW, CAM",84.0,Morocco,CAM
0,placeholders,,75.4,Morocco,CM
244749,Nayef Aguerd,CB,76.0,Morocco,CB
238490,Ilias Chair,"CAM, LW, LM",71.0,Morocco,LW
