id,name,position,overall,nation,list_positon
251805,Jurriën David Norman Timber,"CB, RB",75.0,Netherlands,RB
203376,Virgil van Dijk,CB,89.0,Netherlands,CB
225953,Steven Charles Bergwijn,"LM, LW, RM",80.0,Netherlands,RM
228702,Frenkie de Jong,"CM, CDM, CB",87.0,Netherlands,CB
208461,Marten Elco de Roon,"CDM, CM",82.0,Netherlands,CM
0,placeholders,,79.3125,Netherlands,CM
232229,Justin Bijlow,GK,77.0,Netherlands,GK
0,placeholders,,79.3125,Netherlands,LM
0,placeholders,,79.3125,Netherlands,LB
223689,Wout Weghorst,ST,83.0,Netherlands,ST
189805,Luuk de Jong,ST,79.0,Netherlands,ST
