id,name,position,overall,nation,list_positon
218667,Bernardo Mota Veiga de Carvalho e Silva,"CAM, CM, RW",86.0,Portugal,CM
210411,Otávio Edmilson da Silva Monteiro,"LM, RM, CM",81.0,Portugal,RM
242444,João Félix Sequeira,"CF, ST",83.0,Portugal,ST
241721,Rafael Alexandre Conceição Leão,"LW, ST, LM",77.0,Portugal,ST
209889,Raphaël Adelino José Guerreiro,"LB, LM",84.0,Portugal,LM
210514,João Pedro Cavaco Cancelo,"RB, LB",86.0,Portugal,RB
178005,Rui Pedro dos Santos Patrício,GK,82.0,Portugal,GK
239818,Rúben dos Santos Gato Alves Dias,CB,87.0,Portugal,CB
224293,Rúben Diogo da Silva Neves,CM,82.0,Portugal,CM
120533,Kléper Laveran de Lima Ferreira,CB,82.0,Portugal,CB
0,placeholders,,81.05263157894737,Portugal,LB
