id,name,position,overall,nation,list_positon
210923,Mohammed Al Owais,GK,70.0,Saudi Arabia,GK
220075,Mohammed Ibrahim Kanoo,"CM, CDM",70.0,Saudi Arabia,CDM
0,placeholders,,63.75,Saudi Arabia,LW
0,placeholders,,63.75,Saudi Arabia,RW
238545,Firas Tariq Nasser Al-Buraikan,ST,58.0,Saudi Arabia,ST
0,placeholders,,63.75,Saudi Arabia,RB
213901,Abdullah Mohammed Madu,CB,67.0,Saudi Arabia,CB
0,placeholders,,63.75,Saudi Arabia,CAM
241938,Nasser Eissa Al-Dawsari,"LB, CM, CDM",65.0,Saudi Arabia,LB
0,placeholders,,63.75,Saudi Arabia,CB
0,placeholders,,63.75,Saudi Arabia,CM
