id,name,position,overall,nation,list_positon
223848,Sergej Milinković-Savić,"CM, CDM, CAM",85.0,Serbia,CDM
0,placeholders,,76.80952380952381,Serbia,RW
238095,Nikola Milenković,"CB, RB",76.0,Serbia,RB
199434,Dušan Tadić,"LW, CF, CAM",84.0,Serbia,CAM
232432,Luka Jović,ST,79.0,Serbia,ST
221969,Filip Mladenović,"LM, LB",73.0,Serbia,LB
208574,Filip Kostić,"LM, LWB",84.0,Serbia,LW
227290,Marko Dmitrović,GK,80.0,Serbia,GK
193198,Nemanja Gudelj,"CDM, CM, CB",79.0,Serbia,CB
239433,Nemanja Maksimović,"CDM, CM",79.0,Serbia,CM
0,placeholders,,76.80952380952381,Serbia,CB
