id,name,position,overall,nation,list_positon
189332,Jordi Alba Ramos,"LB, LM",86.0,Spain,LB
204963,Daniel Carvajal Ramos,RB,85.0,Spain,RB
189511,Sergio Busquets i Burgos,"CDM, CM",86.0,Spain,CM
226161,Marcos Llorente Moreno,"CM, RM, ST",86.0,Spain,RM
201153,Álvaro Borja Morata Martín,ST,83.0,Spain,ST
0,placeholders,,80.05,Spain,CM
0,placeholders,,80.05,Spain,ST
184432,César Azpilicueta Tanco,"CB, RWB",83.0,Spain,CB
230869,Unai Simón Mendibil,GK,82.0,Spain,GK
234153,Carlos Soler Barragán,"CM, RM, LM",81.0,Spain,LM
241464,Pau Francisco Torres,CB,82.0,Spain,CB
