id,name,position,overall,nation,list_positon
225126,Ellyes Joris Skhiri,"CDM, CM",77.0,Tunisia,CDM
0,placeholders,,69.5,Tunisia,LB
235565,Dylan Daniel Mahmoud Bronn,"CB, RB",75.0,Tunisia,RB
241746,Yassine Meriah,CB,69.0,Tunisia,CB
205257,Naïm Sliti,"LM, CAM",75.0,Tunisia,CAM
0,placeholders,,69.5,Tunisia,ST
0,placeholders,,69.5,Tunisia,CB
258171,Hannibal Mejbri,"CAM, CM",62.0,Tunisia,CAM
0,placeholders,,69.5,Tunisia,GK
264008,Wajdi Kechrida,"RB, CDM, RM",64.0,Tunisia,CDM
0,placeholders,,69.5,Tunisia,CAM
