id,name,position,overall,nation,list_positon
176580,Luis Alberto Suárez Díaz,ST,88.0,Uruguay,ST
239053,Federico Santiago Valverde Dipetta,CM,83.0,Uruguay,CM
223959,Lucas Torreira Di Pascua,"CDM, CM",80.0,Uruguay,CM
216460,José María Giménez de Vargas,CB,84.0,Uruguay,CB
239207,Maximiliano Gómez González,ST,80.0,Uruguay,ST
197655,Sebastián Coates Nión,CB,83.0,Uruguay,CB
240716,Mathías Olivera Miramontes,"LB, LM",76.0,Uruguay,LM
0,placeholders,,78.3125,Uruguay,LB
253283,Facundo Pellistri Rebollo,RM,70.0,Uruguay,RM
182494,Néstor Fernando Muslera Micol,GK,80.0,Uruguay,GK
0,placeholders,,78.3125,Uruguay,RB
