id,name,position,overall,nation,list_positon
0,placeholders,,71.16666666666667,Wales,LB
220710,Harry Wilson,"CAM, RM",75.0,Wales,CAM
251421,Brennan Price Johnson,"RM, LM, CAM",69.0,Wales,CAM
229266,Joe Rodon,CB,72.0,Wales,CB
170084,Wayne Robert Hennessey,GK,74.0,Wales,GK
184716,Joseph Michael Allen,"CM, CDM",70.0,Wales,CDM
233201,Christopher James Mepham,CB,72.0,Wales,CB
235735,Ethan Ampadu,"CB, CDM, CM",68.0,Wales,CDM
0,placeholders,,71.16666666666667,Wales,CAM
216627,Kieffer Roberto Francisco Moore,ST,74.0,Wales,ST
225147,Connor Roberts,"RWB, RB",75.0,Wales,RB
