sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
199005,https://sofifa.com/player/199005/mathew-ryan/220002,M. Ryan,Mathew David Ryan,GK,77,79,8500000.0,25000.0,29,1992-04-08,184,82,457.0,Real Sociedad,Spain Primera Division,1.0,SUB,13.0,,2021-07-12,2023.0,195,Australia,1415.0,GK,1.0,Right,4,1,1,Medium/Medium,Normal (170-185),Yes,18500000.0,,"GK Long Throw, Rushes Out Of Goal",,,,,,,23,11,14,40,15,13,23,12,45,24,53,52,53,71,50,62,78,34,65,18,36,23,10,68,25,64,10,20,17,77,75,82,76,79,53.0,31+2,31+2,31+2,31,33,33,33,31,36+2,36+2,36+2,34+2,37+2,37+2,37+2,34+2,30+2,34+2,34+2,34+2,30+2,30+2,30+2,30+2,30+2,30+2,76+2,https://cdn.sofifa.net/players/199/005/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1415/60.png,https://cdn.sofifa.net/flags/au.png
183244,https://sofifa.com/player/183244/andrew-redmayne/220002,A. Redmayne,Andrew James Redmayne,GK,67,67,500000.0,3000.0,32,1989-01-13,194,89,111400.0,Sydney FC,Australian Hyundai A-League,1.0,GK,1.0,,2017-01-02,2022.0,195,Australia,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,625000.0,,GK Long Throw,,,,,,,17,11,13,21,15,12,12,14,20,20,42,47,40,64,21,47,36,34,69,14,26,19,7,36,20,50,12,15,12,67,66,63,67,67,44.0,26+2,26+2,26+2,24,25,25,25,24,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,66+1,https://cdn.sofifa.net/players/183/244/22_120.png,https://cdn.sofifa.net/teams/111400/60.png,https://cdn.sofifa.net/flags/au.png,,https://cdn.sofifa.net/flags/au.png
181481,https://sofifa.com/player/181481/danny-vukovic/220002,D. Vukovic,Daniel Vuković,GK,74,74,475000.0,6000.0,36,1985-03-27,187,95,1910.0,N.E.C. Nijmegen,Holland Eredivisie,1.0,SUB,27.0,,2021-07-01,2023.0,195,Australia,1415.0,SUB,18.0,Right,2,1,1,Medium/Medium,Stocky (185+),No,689000.0,,Cautious With Crosses,,,,,,,11,11,16,25,11,11,15,13,12,18,53,47,41,68,58,47,69,34,74,13,41,17,6,36,37,33,23,15,11,72,70,63,78,75,51.0,27+2,27+2,27+2,24,26,26,26,24,25+2,25+2,25+2,25+2,24+2,24+2,24+2,25+2,26+2,27+2,27+2,27+2,26+2,26+2,29+2,29+2,29+2,26+2,73+1,https://cdn.sofifa.net/players/181/481/22_120.png,https://cdn.sofifa.net/teams/1910/60.png,https://cdn.sofifa.net/flags/nl.png,https://cdn.sofifa.net/teams/1415/60.png,https://cdn.sofifa.net/flags/au.png
229585,https://sofifa.com/player/229585/milos-degenek/220002,M. Degenek,Miloš Degenek,"CB, CDM",73,76,,,27,1994-04-28,187,82,,,,,,,,,,195,Australia,1415.0,SUB,2.0,Right,4,2,1,High/High,Normal (185+),No,,,Dives Into Tackles (AI),78.0,62.0,68.0,64.0,71.0,83.0,67,59,70,71,62,58,69,44,72,65,79,78,78,72,66,70,81,83,84,61,81,71,55,67,58,76,67,73,76,14,12,7,10,12,,66+2,66+2,66+2,66,65,65,65,66,66+2,66+2,66+2,67+2,68+2,68+2,68+2,67+2,72+2,72+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,73+2,18+2,https://cdn.sofifa.net/players/229/585/22_120.png,,,https://cdn.sofifa.net/teams/1415/60.png,https://cdn.sofifa.net/flags/au.png
241861,https://sofifa.com/player/241861/nathaniel-atkinson/220002,N. Atkinson,Nathaniel Atkinson,"RB, RW",68,76,2600000.0,4000.0,22,1999-06-13,181,72,112224.0,Melbourne City FC,Australian Hyundai A-League,1.0,RB,13.0,,2020-09-23,2022.0,195,Australia,,,,Right,4,3,1,High/High,Normal (170-185),No,3800000.0,#Engine,"Dives Into Tackles (AI), Flair, Technical Dribbler (AI)",78.0,46.0,61.0,69.0,61.0,79.0,60,46,38,64,31,67,65,38,60,65,78,78,87,62,90,44,90,91,78,43,65,61,66,60,51,65,64,66,60,15,11,12,12,6,,57+2,57+2,57+2,64,61,61,61,64,63+2,63+2,63+2,66+2,64+2,64+2,64+2,66+2,67+2,65+2,65+2,65+2,67+2,66+2,63+2,63+2,63+2,66+2,17+2,https://cdn.sofifa.net/players/241/861/22_120.png,https://cdn.sofifa.net/teams/112224/60.png,https://cdn.sofifa.net/flags/au.png,,https://cdn.sofifa.net/flags/au.png
233931,https://sofifa.com/player/233931/kye-rowles/220002,K. Rowles,Kye Francis Rowles,CB,63,70,900000.0,600.0,23,1998-06-24,183,80,111396.0,Central Coast Mariners,Australian Hyundai A-League,1.0,LCB,15.0,,2017-06-26,2023.0,195,Australia,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,1300000.0,,,66.0,24.0,42.0,41.0,62.0,72.0,26,16,58,60,31,27,24,22,50,45,63,69,60,61,64,34,81,74,73,27,67,57,27,29,33,62,64,64,60,13,12,6,10,9,,41+2,41+2,41+2,40,40,40,40,40,41+2,41+2,41+2,43+2,47+2,47+2,47+2,43+2,56+2,58+2,58+2,58+2,56+2,58+2,63+2,63+2,63+2,58+2,16+2,https://cdn.sofifa.net/players/233/931/22_120.png,https://cdn.sofifa.net/teams/111396/60.png,https://cdn.sofifa.net/flags/au.png,,https://cdn.sofifa.net/flags/au.png
243473,https://sofifa.com/player/243473/fran-karacic/220002,F. Karačić,Fran Karačić,RB,68,73,,,25,1996-05-12,185,75,,,,,,,,,,195,Australia,1415.0,SUB,17.0,Right,3,2,1,Medium/Medium,Normal (185+),No,,,,79.0,46.0,62.0,65.0,60.0,73.0,67,41,58,66,20,65,48,48,64,64,78,79,75,64,63,58,71,83,70,50,70,66,65,56,43,63,51,63,63,9,11,9,12,7,,59+2,59+2,59+2,64,62,62,62,64,62+2,62+2,62+2,66+2,64+2,64+2,64+2,66+2,67+2,65+2,65+2,65+2,67+2,66+2,63+2,63+2,63+2,66+2,16+2,https://cdn.sofifa.net/players/243/473/22_120.png,,,https://cdn.sofifa.net/teams/1415/60.png,https://cdn.sofifa.net/flags/au.png
198810,https://sofifa.com/player/198810/bailey-wright/220002,B. Wright,Bailey Colin Wright,CB,68,69,1100000.0,6000.0,28,1992-07-28,184,79,106.0,Sunderland,English League One,3.0,SUB,26.0,,2020-08-02,2022.0,195,Australia,1415.0,SUB,5.0,Right,3,2,1,Medium/Medium,Normal (170-185),No,2000000.0,,"Long Passer (AI), Power Header",63.0,38.0,51.0,54.0,67.0,74.0,47,39,68,62,22,44,36,27,49,61,64,62,58,65,63,40,84,69,77,36,72,67,39,46,39,64,67,67,66,13,10,15,15,16,,51+2,51+2,51+2,51,51,51,51,51,52+2,52+2,52+2,53+2,55+2,55+2,55+2,53+2,62+2,64+2,64+2,64+2,62+2,64+2,68+1,68+1,68+1,64+2,19+2,https://cdn.sofifa.net/players/198/810/22_120.png,https://cdn.sofifa.net/teams/106/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1415/60.png,https://cdn.sofifa.net/flags/au.png
229901,https://sofifa.com/player/229901/harry-souttar/220002,H. Souttar,Harry James Souttar,CB,71,79,3900000.0,14000.0,22,1998-10-22,200,79,1806.0,Stoke City,English League Championship,2.0,CB,36.0,,2016-09-30,2025.0,195,Australia,1415.0,LCB,19.0,Right,3,2,1,Medium/High,Normal (185+),No,8200000.0,,"Long Passer (AI), Power Header",41.0,28.0,48.0,57.0,72.0,75.0,24,25,71,63,23,56,26,31,58,62,43,40,58,70,33,33,70,66,84,26,63,72,26,47,40,52,73,70,71,12,12,12,15,13,,46+2,46+2,46+2,46,47,47,47,46,51+2,51+2,51+2,49+2,57+2,57+2,57+2,49+2,60+2,67+2,67+2,67+2,60+2,62+2,71+2,71+2,71+2,62+2,19+2,https://cdn.sofifa.net/players/229/901/22_120.png,https://cdn.sofifa.net/teams/1806/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1415/60.png,https://cdn.sofifa.net/flags/au.png
228310,https://sofifa.com/player/228310/thomas-deng/220002,T. Deng,Thomas Jok Deng,"CB, RB",66,70,1100000.0,3000.0,24,1997-03-20,182,73,111575.0,Urawa Red Diamonds,Japanese J. League Division 1,1.0,RES,20.0,,2020-01-28,2022.0,195,Australia,,,,Right,3,2,1,Medium/High,Lean (170-185),No,1500000.0,,,79.0,43.0,50.0,55.0,66.0,70.0,42,26,65,63,48,48,26,28,60,58,77,80,74,56,61,71,82,68,73,53,64,66,37,37,39,64,66,67,60,9,9,9,8,14,,53+2,53+2,53+2,52,52,52,52,52,52+2,52+2,52+2,53+2,55+2,55+2,55+2,53+2,62+2,62+2,62+2,62+2,62+2,63+2,66+2,66+2,66+2,63+2,15+2,https://cdn.sofifa.net/players/228/310/22_120.png,https://cdn.sofifa.net/teams/111575/60.png,https://cdn.sofifa.net/flags/jp.png,,https://cdn.sofifa.net/flags/au.png
