sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
210257,https://sofifa.com/player/210257/ederson-santana-de-moraes/220002,Ederson,Ederson Santana de Moraes,GK,89,91,94000000.0,200000.0,27,1993-08-17,188,86,10.0,Manchester City,English Premier League,1.0,GK,31.0,,2017-07-01,2026.0,54,Brazil,,,,Left,3,1,3,Medium/Medium,Unique,Yes,181000000.0,,"Long Passer (AI), Rushes Out Of Goal, Comes For Crosses",,,,,,,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,64.0,40+3,40+3,40+3,41,43,43,43,41,47+3,47+3,47+3,44+3,49+3,49+3,49+3,44+3,37+3,44+3,44+3,44+3,37+3,36+3,35+3,35+3,35+3,36+3,87+3,https://cdn.sofifa.net/players/210/257/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
212462,https://sofifa.com/player/212462/alex-nicolao-telles/220002,Alex Telles,Alex Nicolao Telles,LB,82,82,27500000.0,130000.0,28,1992-12-15,181,71,11.0,Manchester United,English Premier League,1.0,SUB,27.0,,2020-10-05,2024.0,54,Brazil,,,,Left,2,3,3,High/Medium,Unique,Yes,50900000.0,#Crosser,"Solid Player, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Team Player",83.0,73.0,82.0,78.0,77.0,73.0,86,63,68,82,62,77,87,79,81,80,81,84,75,81,70,87,81,85,65,83,76,79,75,78,81,77,77,78,76,13,8,12,11,14,,75+3,75+3,75+3,78,78,78,78,78,78+3,78+3,78+3,79+3,80+2,80+2,80+2,79+3,81+1,79+3,79+3,79+3,81+1,80+2,76+3,76+3,76+3,80+2,19+3,https://cdn.sofifa.net/players/212/462/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
239580,https://sofifa.com/player/239580/gleison-bremer-silva-nascimento/220002,Bremer,Gleison Bremer Silva Nascimento,CB,76,82,11000000.0,31000.0,24,1997-03-18,188,82,54.0,Torino F.C.,Italian Serie A,1.0,CB,3.0,,2018-07-10,2023.0,54,Brazil,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,20900000.0,,,64.0,35.0,51.0,62.0,77.0,74.0,34,35,76,66,33,60,28,20,64,63,67,61,61,71,63,49,77,55,81,21,78,78,28,44,43,64,75,80,74,13,15,13,5,6,,53+2,53+2,53+2,52,52,52,52,52,54+2,54+2,54+2,55+2,58+2,58+2,58+2,55+2,65+2,70+2,70+2,70+2,65+2,67+2,76+2,76+2,76+2,67+2,17+2,https://cdn.sofifa.net/players/239/580/22_120.png,https://cdn.sofifa.net/teams/54/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/br.png
199304,https://sofifa.com/player/199304/danilo-luiz-da-silva/220002,Danilo,Danilo Luiz da Silva,"RB, LB, CB",81,81,22500000.0,83000.0,29,1991-07-15,184,78,45.0,Juventus,Italian Serie A,1.0,RB,6.0,,2019-08-07,2024.0,54,Brazil,,,,Right,4,3,2,Medium/High,Lean (170-185),Yes,37100000.0,,Solid Player,73.0,67.0,73.0,74.0,82.0,79.0,76,59,76,77,69,73,73,73,74,79,67,77,62,80,65,84,75,77,80,69,78,84,69,64,67,78,82,84,82,14,5,15,14,5,,73+2,73+2,73+2,72,72,72,72,72,72+2,72+2,72+2,73+2,75+2,75+2,75+2,73+2,79+2,79+2,79+2,79+2,79+2,79+2,81,81,81,79+2,18+2,https://cdn.sofifa.net/players/199/304/22_120.png,https://cdn.sofifa.net/teams/45/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/br.png
207865,https://sofifa.com/player/207865/marcos-aoas-correa/220002,Marquinhos,Marcos Aoás Corrêa,"CB, CDM",87,90,90500000.0,135000.0,27,1994-05-14,183,75,73.0,Paris Saint-Germain,French Ligue 1,1.0,RCB,5.0,,2013-07-19,2024.0,54,Brazil,,,,Right,3,3,3,Medium/High,Normal (170-185),Yes,174200000.0,"#Tackling, #Tactician ","Leadership, Long Passer (AI), Power Header, Team Player",81.0,53.0,75.0,74.0,89.0,81.0,68,51,88,84,35,69,58,32,85,79,81,81,69,87,67,65,92,83,78,45,81,88,68,74,52,86,89,89,89,6,6,12,10,13,,70+3,70+3,70+3,72,72,72,72,72,74+3,74+3,74+3,75+3,79+3,79+3,79+3,75+3,83+3,85+3,85+3,85+3,83+3,84+3,86+3,86+3,86+3,84+3,18+3,https://cdn.sofifa.net/players/207/865/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/br.png
191043,https://sofifa.com/player/191043/alex-sandro-lobo-silva/220002,Alex Sandro,Alex Sandro Lobo Silva,"LB, LM",83,83,31500000.0,95000.0,30,1991-01-26,180,80,45.0,Juventus,Italian Serie A,1.0,LB,12.0,,2015-08-21,2023.0,54,Brazil,,,,Left,3,3,3,High/Medium,Unique,Yes,52000000.0,,Speed Dribbler (AI),81.0,65.0,77.0,79.0,78.0,79.0,84,55,76,81,68,79,78,59,71,80,78,83,78,80,77,78,79,83,77,72,80,76,70,70,60,80,76,80,80,7,7,9,12,5,,73+3,73+3,73+3,76,75,75,75,76,75+3,75+3,75+3,77+3,76+3,76+3,76+3,77+3,80+3,78+3,78+3,78+3,80+3,80+3,78+3,78+3,78+3,80+3,16+3,https://cdn.sofifa.net/players/191/043/22_120.png,https://cdn.sofifa.net/teams/45/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/br.png
240130,https://sofifa.com/player/240130/eder-gabriel-militao/220002,Éder Militão,Éder Gabriel Militão,CB,82,89,56500000.0,130000.0,23,1998-01-18,186,78,243.0,Real Madrid CF,Spain Primera Division,1.0,RCB,3.0,,2019-07-01,2025.0,54,Brazil,,,,Right,3,2,2,Medium/Medium,Lean (170-185),Yes,127100000.0,,,83.0,50.0,69.0,71.0,83.0,82.0,72,48,81,77,34,70,60,40,70,73,81,84,69,83,63,62,86,85,80,42,82,84,64,59,60,74,83,83,82,11,8,15,12,15,,67+2,67+2,67+2,69,68,68,68,69,68+2,68+2,68+2,72+2,72+2,72+2,72+2,72+2,80+2,79+2,79+2,79+2,80+2,81+2,82+2,82+2,82+2,81+2,20+2,https://cdn.sofifa.net/players/240/130/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/br.png
209499,https://sofifa.com/player/209499/fabio-henrique-tavares/220002,Fabinho,Fábio Henrique Tavares,"CDM, CB",86,88,73500000.0,165000.0,27,1993-10-23,188,78,9.0,Liverpool,English Premier League,1.0,CDM,3.0,,2018-07-01,2026.0,54,Brazil,,,,Right,2,3,3,Medium/High,Unique,Yes,141500000.0,"#Tackling, #Tactician ","Dives Into Tackles (AI), Long Passer (AI)",67.0,69.0,78.0,78.0,85.0,83.0,75,63,75,84,47,78,71,53,82,81,65,68,64,86,64,81,75,88,81,70,85,87,70,75,90,84,86,87,85,13,12,6,8,8,,74+3,74+3,74+3,75,75,75,75,75,76+3,76+3,76+3,77+3,81+3,81+3,81+3,77+3,82+3,84+3,84+3,84+3,82+3,82+3,84+3,84+3,84+3,82+3,18+3,https://cdn.sofifa.net/players/209/499/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
247851,https://sofifa.com/player/247851/bruno-guimaraes-moura/220002,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,"CDM, CM",79,84,24500000.0,52000.0,23,1997-11-16,182,78,66.0,Olympique Lyonnais,French Ligue 1,1.0,RDM,39.0,,2020-01-30,2024.0,54,Brazil,,,,Right,3,3,2,Medium/High,Normal (170-185),Yes,48400000.0,,"Long Passer (AI), Outside Foot Shot",68.0,63.0,78.0,78.0,73.0,75.0,66,60,60,84,66,78,75,62,82,80,66,69,71,77,73,66,59,84,72,67,74,75,66,82,65,80,75,76,71,7,11,15,11,11,,69+2,69+2,69+2,73,73,73,73,73,76+2,76+2,76+2,75+2,79+2,79+2,79+2,75+2,75+2,78+2,78+2,78+2,75+2,74+2,73+2,73+2,73+2,74+2,18+2,https://cdn.sofifa.net/players/247/851/22_120.png,https://cdn.sofifa.net/teams/66/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/br.png
200145,https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/220002,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,88000000.0,310000.0,29,1992-02-23,185,84,243.0,Real Madrid CF,Spain Primera Division,1.0,CDM,14.0,,2013-07-11,2025.0,54,Brazil,,,,Right,3,2,3,High/High,Unique,Yes,180400000.0,"#Engine, #Tackling, #Tactician, #Strength, #Complete Defender","Power Free-Kick, Dives Into Tackles (AI), Long Shot Taker (AI), Team Player",65.0,73.0,76.0,73.0,86.0,90.0,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,85,88,87,13,14,16,12,12,,76+3,76+3,76+3,72,76,76,76,72,76+3,76+3,76+3,74+3,82+3,82+3,82+3,74+3,80+3,86+3,86+3,86+3,80+3,81+3,86+3,86+3,86+3,81+3,21+3,https://cdn.sofifa.net/players/200/145/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/br.png
