sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
243235,https://sofifa.com/player/243235/olivier-mbaizo/220002,O. Mbaizo,Olivier Mbaissidara Mbaizo,RB,68,73,1700000.0,3000.0,23,1997-08-15,178,70,112134.0,Philadelphia Union,USA Major League Soccer,1.0,RB,15.0,,2018-09-24,2021.0,103,Cameroon,,,,Right,2,2,1,High/Medium,Normal (170-185),Yes,2700000.0,,,80.0,36.0,57.0,67.0,62.0,65.0,66,31,58,65,41,69,51,38,57,65,82,79,77,59,69,39,70,73,61,37,65,59,49,39,44,50,60,66,64,11,13,9,9,11,,53+2,53+2,53+2,60,56,56,56,60,57+2,57+2,57+2,62+2,58+2,58+2,58+2,62+2,66+2,62+2,62+2,62+2,66+2,66+2,63+2,63+2,63+2,66+2,16+2,https://cdn.sofifa.net/players/243/235/22_120.png,https://cdn.sofifa.net/teams/112134/60.png,https://cdn.sofifa.net/flags/us.png,,https://cdn.sofifa.net/flags/cm.png
236556,https://sofifa.com/player/236556/martin-hongla/220002,M. Hongla,Martin Hongla Yma,"CM, CDM, CB",73,81,6500000.0,15000.0,23,1998-03-16,181,77,206.0,Hellas Verona,Italian Serie A,1.0,SUB,78.0,Royal Antwerp FC,,2022.0,103,Cameroon,,,,Right,3,4,1,Medium/Medium,Lean (170-185),No,,,"Finesse Shot, Flair, Long Passer (AI), Speed Dribbler (AI), Playmaker (AI)",82.0,69.0,70.0,76.0,66.0,77.0,57,67,73,77,60,76,71,39,78,76,80,83,81,62,74,78,81,84,78,73,63,70,63,71,55,80,64,66,58,14,9,5,8,13,,72+2,72+2,72+2,72,72,72,72,72,73+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,70+2,71+2,71+2,71+2,70+2,69+2,69+2,69+2,69+2,69+2,16+2,https://cdn.sofifa.net/players/236/556/22_120.png,https://cdn.sofifa.net/teams/206/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/cm.png
213868,https://sofifa.com/player/213868/jean-charles-castelletto/220002,J. Castelletto,Jean-Charles Castelletto,CB,73,75,3300000.0,19000.0,26,1995-01-26,185,76,71.0,FC Nantes,French Ligue 1,1.0,RCB,21.0,,2020-07-01,2023.0,103,Cameroon,,,,Right,2,2,1,Medium/Medium,Lean (185+),No,6800000.0,,,73.0,30.0,52.0,62.0,74.0,76.0,47,18,75,63,32,57,49,23,57,67,72,73,68,68,49,50,88,79,73,26,77,73,56,43,36,62,72,75,74,12,14,14,14,9,,54+2,54+2,54+2,55,55,55,55,55,55+2,55+2,55+2,58+2,59+2,59+2,59+2,58+2,68+2,69+2,69+2,69+2,68+2,70+2,73+2,73+2,73+2,70+2,18+2,https://cdn.sofifa.net/players/213/868/22_120.png,https://cdn.sofifa.net/teams/71/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/cm.png
237469,https://sofifa.com/player/237469/nouhou-tolo/220002,Nouhou,Nouhou Tolo,"CB, LB",68,74,1700000.0,3000.0,24,1997-06-23,178,79,111144.0,Seattle Sounders FC,USA Major League Soccer,1.0,SUB,5.0,,2017-01-25,2021.0,103,Cameroon,,,,Left,2,3,1,High/High,Stocky (170-185),Yes,2900000.0,,Long Throw-in,83.0,37.0,58.0,66.0,65.0,84.0,56,28,50,65,30,65,63,31,58,65,86,81,71,67,69,56,90,83,86,33,77,66,53,51,48,65,65,68,65,11,10,9,11,6,,56+2,56+2,56+2,60,58,58,58,60,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,68+2,16+2,https://cdn.sofifa.net/players/237/469/22_120.png,https://cdn.sofifa.net/teams/111144/60.png,https://cdn.sofifa.net/flags/us.png,,https://cdn.sofifa.net/flags/cm.png
245017,https://sofifa.com/player/245017/gael-ondoua/220002,G. Ondoua,Gaël Bella Ondoua,CDM,70,76,2200000.0,13000.0,25,1995-11-04,185,74,485.0,Hannover 96,German 2. Bundesliga,2.0,CDM,29.0,,2021-08-26,2023.0,103,Cameroon,,,,Left,3,2,1,High/High,Normal (185+),No,4000000.0,#Engine,Solid Player,72.0,46.0,64.0,60.0,66.0,77.0,55,38,55,71,47,60,39,41,70,61,70,73,56,63,59,64,67,87,75,39,71,68,60,68,49,54,65,68,65,6,9,9,8,13,,58+2,58+2,58+2,60,60,60,60,60,62+2,62+2,62+2,64+2,66+2,66+2,66+2,64+2,67+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,67+2,67+2,15+2,https://cdn.sofifa.net/players/245/017/22_120.png,https://cdn.sofifa.net/teams/485/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/cm.png
227236,https://sofifa.com/player/227236/andre-franck-zambo-anguissa/220002,A. Zambo Anguissa,André-Franck Zambo Anguissa,"CM, CDM",76,80,10500000.0,49000.0,25,1995-11-16,184,78,48.0,Napoli,Italian Serie A,1.0,LCM,29.0,Fulham,,2022.0,103,Cameroon,,,,Right,3,3,1,Medium/Low,Lean (170-185),Yes,,,"Flair, Technical Dribbler (AI)",77.0,64.0,70.0,80.0,74.0,82.0,58,58,73,78,50,84,59,46,73,78,76,78,77,74,78,75,76,79,84,66,84,78,73,74,62,79,70,79,68,11,11,9,8,11,,72+2,72+2,72+2,74,74,74,74,74,75+2,75+2,75+2,74+2,76+2,76+2,76+2,74+2,74+2,77+2,77+2,77+2,74+2,74+2,76+2,76+2,76+2,74+2,17+2,https://cdn.sofifa.net/players/227/236/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/cm.png
241093,https://sofifa.com/player/241093/samuel-oum-gouet/220002,S. Oum Gouet,Samuel Yves Oum Gouet,"CDM, CM",67,74,1900000.0,4000.0,23,1997-12-14,185,75,110724.0,KV Mechelen,Belgian Jupiler Pro League,1.0,RDM,17.0,,2021-07-01,2024.0,103,Cameroon,,,,Right,3,2,1,Medium/High,Normal (185+),No,3200000.0,,,59.0,53.0,64.0,65.0,63.0,75.0,58,47,62,68,41,64,59,46,63,67,57,61,62,70,60,70,59,80,82,57,57,65,49,67,41,69,62,64,61,10,9,5,15,10,,60+2,60+2,60+2,61,61,61,61,61,63+2,63+2,63+2,63+2,65+2,65+2,65+2,63+2,65+2,66+2,66+2,66+2,65+2,65+2,65+2,65+2,65+2,65+2,17+2,https://cdn.sofifa.net/players/241/093/22_120.png,https://cdn.sofifa.net/teams/110724/60.png,https://cdn.sofifa.net/flags/be.png,,https://cdn.sofifa.net/flags/cm.png
240190,https://sofifa.com/player/240190/kunde-malong/220002,K. Malong,Pierre Kunde Malong,"CM, CDM",73,76,4000000.0,1000.0,25,1995-07-26,180,79,280.0,Olympiacos CFP,Greek Super League,1.0,SUB,18.0,,2021-06-25,2024.0,103,Cameroon,,,,Right,4,3,1,Medium/High,Stocky (170-185),No,8700000.0,,"Long Passer (AI), Long Shot Taker (AI)",83.0,71.0,69.0,74.0,69.0,81.0,66,69,54,73,52,76,68,40,70,76,82,84,66,72,76,80,76,75,84,73,84,70,76,74,57,69,73,70,70,11,13,5,8,9,,73+2,73+2,73+2,74,75,75,75,74,74+2,74+2,74+2,74+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,72+2,72+2,17+2,https://cdn.sofifa.net/players/240/190/22_120.png,https://cdn.sofifa.net/teams/280/60.png,https://cdn.sofifa.net/flags/gr.png,,https://cdn.sofifa.net/flags/cm.png
209973,https://sofifa.com/player/209973/jean-pierre-nsame/220002,J. Nsame,Jean-Pierre Nsame,ST,78,78,14500000.0,23000.0,28,1993-05-01,188,88,900.0,BSC Young Boys,Swiss Super League,1.0,SUB,18.0,,2017-07-21,2023.0,103,Cameroon,,,,Right,4,3,2,High/Medium,Normal (185+),No,21800000.0,#Strength,Power Header,79.0,77.0,55.0,73.0,27.0,80.0,39,80,79,68,79,73,56,43,46,75,80,79,72,76,64,79,83,77,87,70,66,18,80,58,74,74,28,19,15,13,12,5,15,5,,78,78,78,71,75,75,75,71,71+2,71+2,71+2,69+2,62+2,62+2,62+2,69+2,49+2,49+2,49+2,49+2,49+2,47+2,46+2,46+2,46+2,47+2,18+2,https://cdn.sofifa.net/players/209/973/22_120.png,https://cdn.sofifa.net/teams/900/60.png,https://cdn.sofifa.net/flags/ch.png,,https://cdn.sofifa.net/flags/cm.png
235996,https://sofifa.com/player/235996/nicolas-moumi-ngamaleu/220002,N. Moumi Ngamaleu,Nicolas Brice Moumi Ngamaleu,"LM, RM",74,74,4600000.0,16000.0,26,1994-07-09,181,74,900.0,BSC Young Boys,Swiss Super League,1.0,LM,13.0,,2017-08-26,2023.0,103,Cameroon,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,6900000.0,#Speedster,Outside Foot Shot,91.0,70.0,65.0,75.0,34.0,74.0,65,73,68,69,68,75,63,48,62,75,90,92,81,72,75,73,75,79,75,65,63,32,69,65,63,65,33,27,28,7,15,10,12,9,,73+1,73+1,73+1,74,73,73,73,74,72+2,72+2,72+2,73+1,66+2,66+2,66+2,73+1,58+2,54+2,54+2,54+2,58+2,55+2,49+2,49+2,49+2,55+2,17+2,https://cdn.sofifa.net/players/235/996/22_120.png,https://cdn.sofifa.net/teams/900/60.png,https://cdn.sofifa.net/flags/ch.png,,https://cdn.sofifa.net/flags/cm.png
