sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
250955,https://sofifa.com/player/250955/josip-stanisic/220002,J. Stanišić,Josip Stanišić,"RB, CB",64,75,1300000.0,9000.0,21,2000-04-02,186,77,21.0,FC Bayern München,German 1. Bundesliga,1.0,RES,44.0,,2021-04-10,2023.0,10,Croatia,,,,Right,4,2,1,Medium/Medium,Lean (185+),No,2400000.0,,,65.0,28.0,49.0,58.0,64.0,60.0,57,25,65,56,29,57,45,23,45,59,67,64,64,58,59,36,54,59,63,24,57,63,38,38,37,48,63,66,63,11,6,10,9,12,,47+2,47+2,47+2,51,48,48,48,51,49+2,49+2,49+2,53+2,51+2,51+2,51+2,53+2,61+2,58+2,58+2,58+2,61+2,62+2,62+2,62+2,62+2,62+2,15+2,https://cdn.sofifa.net/players/250/955/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/hr.png
241673,https://sofifa.com/player/241673/borna-barisic/220002,B. Barišić,Borna Barišić,LB,75,75,5000000.0,44000.0,28,1992-11-10,186,80,86.0,Rangers FC,Scottish Premiership,1.0,LB,31.0,,2018-08-07,2024.0,10,Croatia,,,,Left,3,3,1,High/Medium,Normal (185+),No,9000000.0,,"Early Crosser, Speed Dribbler (AI)",76.0,60.0,75.0,72.0,70.0,77.0,82,55,67,73,42,71,78,77,72,73,75,77,70,67,73,72,69,84,76,59,71,72,70,70,66,73,69,72,70,12,13,6,8,9,,67+2,67+2,67+2,71,69,69,69,71,70+2,70+2,70+2,73+2,71+2,71+2,71+2,73+2,74+1,72+2,72+2,72+2,74+1,73+2,71+2,71+2,71+2,73+2,16+2,https://cdn.sofifa.net/players/241/673/22_120.png,https://cdn.sofifa.net/teams/86/60.png,https://cdn.sofifa.net/flags/gb-sct.png,,https://cdn.sofifa.net/flags/hr.png
251517,https://sofifa.com/player/251517/josko-gvardiol/220002,J. Gvardiol,Joško Gvardiol,"CB, LB",75,87,12500000.0,27000.0,19,2002-01-23,185,80,112172.0,RB Leipzig,German 1. Bundesliga,1.0,SUB,32.0,,2021-07-01,2026.0,10,Croatia,,,,Left,4,3,1,High/High,Normal (185+),No,23800000.0,,Power Header,83.0,54.0,67.0,71.0,71.0,83.0,57,42,72,74,54,73,57,59,74,72,78,87,66,72,60,76,83,79,84,56,83,69,56,65,61,75,67,75,76,5,8,6,9,11,,66+2,66+2,66+2,67,67,67,67,67,68+2,68+2,68+2,69+2,70+2,70+2,70+2,69+2,72+2,73+2,73+2,73+2,72+2,73+2,75+2,75+2,75+2,73+2,15+2,https://cdn.sofifa.net/players/251/517/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/hr.png
199206,https://sofifa.com/player/199206/domagoj-vida/220002,D. Vida,Domagoj Vida,CB,78,78,9000000.0,42000.0,32,1989-04-29,184,76,327.0,Beşiktaş JK,Turkish Süper Lig,1.0,LCB,24.0,,2018-01-03,2022.0,10,Croatia,,,,Right,3,2,3,Medium/High,Lean (170-185),No,17100000.0,,"Solid Player, Dives Into Tackles (AI), Power Header",73.0,40.0,58.0,60.0,80.0,81.0,65,41,79,62,36,53,44,35,60,62,70,76,64,72,63,54,87,82,80,22,82,79,43,50,51,78,83,77,80,16,13,10,9,8,,57+3,57+3,57+3,57,55,55,55,57,55+3,55+3,55+3,60+3,60+3,60+3,60+3,60+3,73+3,72+3,72+3,72+3,73+3,75+3,78,78,78,75+3,18+3,https://cdn.sofifa.net/players/199/206/22_120.png,https://cdn.sofifa.net/teams/327/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/hr.png
257771,https://sofifa.com/player/257771/josip-juranovic/220002,J. Juranović,Josip Juranović,RB,72,75,2900000.0,30000.0,25,1995-08-16,175,68,78.0,Celtic,Scottish Premiership,1.0,SUB,88.0,,2021-08-21,2026.0,10,Croatia,,,,Right,3,2,1,High/High,Normal (170-185),No,5400000.0,,Early Crosser,83.0,56.0,67.0,70.0,66.0,68.0,70,55,54,71,51,67,67,32,67,70,82,84,82,65,82,60,57,82,61,56,69,67,65,66,43,65,66,69,66,12,9,10,15,11,,63+2,63+2,63+2,69,67,67,67,69,68+2,68+2,68+2,70+2,68+2,68+2,68+2,70+2,71+2,69+2,69+2,69+2,71+2,70+2,66+2,66+2,66+2,70+2,18+2,https://cdn.sofifa.net/players/257/771/22_120.png,https://cdn.sofifa.net/teams/78/60.png,https://cdn.sofifa.net/flags/gb-sct.png,,https://cdn.sofifa.net/flags/hr.png
256325,https://sofifa.com/player/256325/josip-sutalo/220002,J. Šutalo,Josip Šutalo,"CB, RB",67,79,2400000.0,500.0,21,2000-02-28,190,82,211.0,Dinamo Zagreb,Croatian Prva HNL,1.0,SUB,37.0,,2018-09-01,2025.0,10,Croatia,,,,Right,3,2,1,Low/Medium,Normal (185+),No,5800000.0,,,66.0,27.0,46.0,57.0,67.0,73.0,43,22,70,60,26,51,29,22,54,65,69,64,57,65,43,38,70,69,77,23,69,66,28,29,39,63,67,65,67,8,15,7,11,14,,48+2,48+2,48+2,49,47,47,47,49,48+2,48+2,48+2,52+2,53+2,53+2,53+2,52+2,62+2,63+2,63+2,63+2,62+2,64+2,67+2,67+2,67+2,64+2,18+2,https://cdn.sofifa.net/players/256/325/22_120.png,https://cdn.sofifa.net/teams/211/60.png,https://cdn.sofifa.net/flags/hr.png,,https://cdn.sofifa.net/flags/hr.png
181458,https://sofifa.com/player/181458/ivan-perisic/220002,I. Perišić,Ivan Perišić,"LM, LW, LWB",81,81,20500000.0,105000.0,32,1989-02-02,186,80,44.0,Inter,Italian Serie A,1.0,LM,14.0,,2015-09-01,2022.0,10,Croatia,,,,Left,5,4,3,Medium/Medium,Lean (185+),Yes,34900000.0,,Flair,81.0,79.0,76.0,79.0,64.0,74.0,80,78,80,78,81,78,73,75,72,80,82,81,81,79,78,84,85,75,76,77,65,69,83,74,76,80,64,58,54,6,7,10,9,6,,80+1,80+1,80+1,79,79,79,79,79,78+3,78+3,78+3,79+2,76+3,76+3,76+3,79+2,72+3,70+3,70+3,70+3,72+3,71+3,69+3,69+3,69+3,71+3,15+3,https://cdn.sofifa.net/players/181/458/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/hr.png
244261,https://sofifa.com/player/244261/lovro-majer/220002,L. Majer,Lovro Majer,"CAM, CM, RM",76,84,16500000.0,36000.0,23,1998-01-17,179,75,74.0,Stade Rennais FC,French Ligue 1,1.0,SUB,21.0,,2021-08-26,2026.0,10,Croatia,,,,Left,3,4,1,High/Medium,Lean (170-185),No,34700000.0,,"Flair, Playmaker (AI), Technical Dribbler (AI)",69.0,69.0,78.0,83.0,54.0,59.0,81,67,49,77,67,85,86,77,77,85,78,62,86,70,70,76,50,81,49,67,57,61,65,78,78,73,53,59,28,9,12,12,5,6,,69+2,69+2,69+2,76,74,74,74,76,76+2,76+2,76+2,77+2,75+2,75+2,75+2,77+2,67+2,66+2,66+2,66+2,67+2,63+2,55+2,55+2,55+2,63+2,15+2,https://cdn.sofifa.net/players/244/261/22_120.png,https://cdn.sofifa.net/teams/74/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/hr.png
177003,https://sofifa.com/player/177003/luka-modric/220002,L. Modrić,Luka Modrić,CM,87,87,32000000.0,190000.0,35,1985-09-09,172,66,243.0,Real Madrid CF,Spain Primera Division,1.0,RCM,10.0,,2012-08-01,2022.0,10,Croatia,,,,Right,4,4,4,Medium/Medium,Lean (170-185),Yes,65600000.0,"#Playmaker, #Crosser, #Acrobat, #Complete Midfielder","Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",73.0,76.0,89.0,88.0,72.0,66.0,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,70,75,71,13,9,7,14,9,,76+3,76+3,76+3,83,82,82,82,83,85+2,85+2,85+2,84+3,86+1,86+1,86+1,84+3,81+3,81+3,81+3,81+3,81+3,78+3,72+3,72+3,72+3,78+3,19+3,https://cdn.sofifa.net/players/177/003/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/hr.png
216352,https://sofifa.com/player/216352/marcelo-brozovic/220002,M. Brozović,Marcelo Brozović,"CDM, CM",84,84,37000000.0,130000.0,28,1992-11-16,181,68,44.0,Inter,Italian Serie A,1.0,CDM,77.0,,2016-07-01,2022.0,10,Croatia,,,,Right,4,3,3,Medium/Medium,Lean (170-185),Yes,62900000.0,,"Dives Into Tackles (AI), Finesse Shot, Long Passer (AI), Long Shot Taker (AI)",69.0,74.0,80.0,79.0,79.0,78.0,72,69,70,85,65,76,79,74,84,84,70,68,79,76,84,80,70,94,67,84,85,81,70,80,69,82,77,81,80,8,8,15,11,8,,74+3,74+3,74+3,76,76,76,76,76,79+3,79+3,79+3,77+3,82+2,82+2,82+2,77+3,80+3,82+2,82+2,82+2,80+3,79+3,78+3,78+3,78+3,79+3,16+3,https://cdn.sofifa.net/players/216/352/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/hr.png
