sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
236758,https://sofifa.com/player/236758/oliver-christensen/220002,O. Christensen,Oliver Christensen,GK,70,78,3100000.0,14000.0,22,1999-03-22,190,82,166.0,Hertha BSC,German 1. Bundesliga,1.0,SUB,32.0,,2021-08-26,2026.0,13,Denmark,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,5900000.0,,,,,,,,,10,5,9,45,5,16,16,11,49,19,37,38,33,58,34,47,64,42,64,6,32,13,6,65,10,47,14,13,11,74,68,63,68,71,37.0,24+2,24+2,24+2,25,27,27,27,25,32+2,32+2,32+2,30+2,35+2,35+2,35+2,30+2,25+2,32+2,32+2,32+2,25+2,24+2,25+2,25+2,25+2,24+2,69+2,https://cdn.sofifa.net/players/236/758/22_120.png,https://cdn.sofifa.net/teams/166/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/dk.png
201269,https://sofifa.com/player/201269/frederik-ronnow/220002,F. Rønnow,Frederik Riis Rønnow,GK,74,74,3000000.0,20000.0,28,1992-08-04,190,80,1831.0,1. FC Union Berlin,German 1. Bundesliga,1.0,SUB,19.0,,2021-07-20,2025.0,13,Denmark,1331.0,SUB,22.0,Right,2,1,1,Medium/Medium,Lean (185+),No,5400000.0,,Rushes Out Of Goal,,,,,,,14,9,12,25,7,13,16,7,30,12,48,45,34,74,40,50,63,32,67,13,17,12,14,48,17,31,15,11,13,76,70,67,72,77,47.0,27+2,27+2,27+2,25,27,27,27,25,27+2,27+2,27+2,27+2,28+2,28+2,28+2,27+2,24+2,25+2,25+2,25+2,24+2,24+2,24+2,24+2,24+2,24+2,73+1,https://cdn.sofifa.net/players/201/269/22_120.png,https://cdn.sofifa.net/teams/1831/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
224221,https://sofifa.com/player/224221/joachim-andersen/220002,J. Andersen,Joachim Christian Andersen,CB,77,80,12500000.0,45000.0,25,1996-05-31,192,90,1799.0,Crystal Palace,English Premier League,1.0,RCB,16.0,,2021-07-28,2026.0,13,Denmark,1331.0,SUB,2.0,Right,3,2,2,Medium/Medium,Normal (185+),Yes,24700000.0,,Long Passer (AI),58.0,47.0,63.0,59.0,77.0,78.0,36,40,76,78,33,53,49,36,80,67,55,60,48,75,58,73,74,69,83,43,80,76,34,61,44,72,77,78,76,13,7,9,15,14,,58+2,58+2,58+2,55,58,58,58,55,60+2,60+2,60+2,58+2,67+2,67+2,67+2,58+2,67+2,76+2,76+2,76+2,67+2,69+2,77+2,77+2,77+2,69+2,19+2,https://cdn.sofifa.net/players/224/221/22_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
179645,https://sofifa.com/player/179645/simon-kjaer/220002,S. Kjær,Simon Thorup Kjær,CB,83,83,23500000.0,54000.0,32,1989-03-26,190,86,47.0,AC Milan,Italian Serie A,1.0,RCB,24.0,,2020-01-13,2022.0,13,Denmark,1331.0,CB,4.0,Right,3,2,3,Low/High,Normal (185+),Yes,40000000.0,,"Leadership, Long Passer (AI)",67.0,55.0,64.0,59.0,85.0,78.0,50,55,81,76,37,50,52,69,72,70,63,71,57,79,53,78,81,65,82,41,82,85,31,55,61,69,87,85,81,6,10,13,10,15,,63+3,63+3,63+3,58,60,60,60,58,60+3,60+3,60+3,61+3,66+3,66+3,66+3,61+3,73+3,78+3,78+3,78+3,73+3,75+3,82+1,82+1,82+1,75+3,18+3,https://cdn.sofifa.net/players/179/645/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
213661,https://sofifa.com/player/213661/andreas-christensen/220002,A. Christensen,Andreas Bødtker Christensen,CB,80,85,28000000.0,95000.0,25,1996-04-10,187,81,5.0,Chelsea,English Premier League,1.0,CB,4.0,,2013-04-10,2022.0,13,Denmark,1331.0,RCB,6.0,Right,3,2,2,Low/Medium,Lean (185+),Yes,53900000.0,,Injury Prone,65.0,31.0,65.0,68.0,83.0,72.0,49,36,79,79,25,66,41,39,71,73,60,69,61,79,60,31,75,68,73,20,73,82,32,62,36,76,83,84,82,10,12,8,6,8,,54+2,54+2,54+2,59,58,58,58,59,62+2,62+2,62+2,63+2,68+2,68+2,68+2,63+2,73+2,77+2,77+2,77+2,73+2,75+2,80+2,80+2,80+2,75+2,17+2,https://cdn.sofifa.net/players/213/661/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
235658,https://sofifa.com/player/235658/victor-nelsson/220002,V. Nelsson,Victor Enok Nelsson,CB,73,82,6500000.0,32000.0,22,1998-10-14,185,78,325.0,Galatasaray SK,Turkish Süper Lig,1.0,LCB,25.0,,2021-08-11,2026.0,13,Denmark,,,,Right,3,2,1,Low/High,Normal (185+),No,14300000.0,,Solid Player,68.0,42.0,62.0,64.0,72.0,81.0,51,36,73,71,37,60,52,38,69,68,66,69,63,67,71,60,81,83,85,41,69,71,47,59,37,67,72,73,72,10,6,12,7,14,,58+2,58+2,58+2,58,59,59,59,58,60+2,60+2,60+2,62+2,65+2,65+2,65+2,62+2,69+2,71+2,71+2,71+2,69+2,70+2,73+2,73+2,73+2,70+2,16+2,https://cdn.sofifa.net/players/235/658/22_120.png,https://cdn.sofifa.net/teams/325/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/dk.png
193283,https://sofifa.com/player/193283/thomas-delaney/220002,T. Delaney,Thomas Joseph Delaney,"CDM, CM",81,81,22000000.0,34000.0,29,1991-09-03,182,79,481.0,Sevilla FC,Spain Primera Division,1.0,SUB,18.0,,2021-08-25,2025.0,13,Denmark,1331.0,LCM,8.0,Left,4,2,2,Low/High,Normal (170-185),Yes,46200000.0,,Dives Into Tackles (AI),75.0,71.0,74.0,74.0,83.0,82.0,68,68,83,76,67,73,71,68,80,75,77,74,73,79,72,78,91,87,77,74,85,84,75,72,60,78,85,81,84,8,12,11,14,15,,75+2,75+2,75+2,74,74,74,74,74,74+2,74+2,74+2,75+2,77+2,77+2,77+2,75+2,79+2,80+1,80+1,80+1,79+2,80+1,82-1,82-1,82-1,80+1,20+2,https://cdn.sofifa.net/players/193/283/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
193133,https://sofifa.com/player/193133/jens-stryger-larsen/220002,J. Larsen,Jens Stryger Larsen,RM,75,75,5500000.0,17000.0,30,1991-02-21,180,82,55.0,Udinese Calcio,Italian Serie A,1.0,LM,19.0,,2017-08-25,2022.0,13,Denmark,1331.0,SUB,17.0,Right,3,3,1,Medium/High,Normal (170-185),No,9900000.0,,Solid Player,79.0,61.0,72.0,74.0,70.0,77.0,75,59,60,76,60,72,61,48,71,78,80,78,71,79,72,69,78,83,74,57,75,71,71,70,50,65,68,74,72,7,8,12,7,9,,69+2,69+2,69+2,73,72,72,72,73,72+2,72+2,72+2,74+1,73+2,73+2,73+2,74+1,75,74+1,74+1,74+1,75,75,72+2,72+2,72+2,75,16+2,https://cdn.sofifa.net/players/193/133/22_120.png,https://cdn.sofifa.net/teams/55/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
172522,https://sofifa.com/player/172522/daniel-wass/220002,D. Wass,Daniel Wass,"RB, RM, CM",80,80,14500000.0,38000.0,32,1989-05-31,181,74,461.0,Valencia CF,Spain Primera Division,1.0,RCM,18.0,,2018-07-10,2022.0,13,Denmark,1331.0,RWB,18.0,Right,3,3,2,Medium/Medium,Normal (170-185),Yes,30500000.0,,"Solid Player, Long Shot Taker (AI)",74.0,77.0,80.0,77.0,76.0,76.0,79,75,69,80,69,76,78,84,81,80,73,75,73,80,71,85,68,87,73,80,74,79,76,78,61,77,76,76,75,11,9,10,13,13,,77+2,77+2,77+2,77,78,78,78,77,78+2,78+2,78+2,78+2,79+1,79+1,79+1,78+2,79+1,79+1,79+1,79+1,79+1,78+2,75+2,75+2,75+2,78+2,19+2,https://cdn.sofifa.net/players/172/522/22_120.png,https://cdn.sofifa.net/teams/461/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
213648,https://sofifa.com/player/213648/pierre-emile-hojbjerg/220002,P. Højbjerg,Pierre-Emile Kordt Højbjerg,"CDM, CM",83,86,43500000.0,105000.0,25,1995-08-05,185,84,18.0,Tottenham Hotspur,English Premier League,1.0,RCM,5.0,,2020-08-11,2025.0,13,Denmark,1331.0,RCM,23.0,Right,4,3,2,Medium/High,Normal (185+),Yes,85900000.0,,"Solid Player, Leadership, Long Shot Taker (AI)",60.0,71.0,76.0,76.0,81.0,82.0,66,65,65,83,60,76,70,74,80,80,58,61,65,82,64,84,65,88,78,79,87,82,65,73,51,82,84,84,72,9,7,12,11,11,,72+2,72+2,72+2,72,74,74,74,72,75+2,75+2,75+2,74+2,79+2,79+2,79+2,74+2,77+2,82+2,82+2,82+2,77+2,77+2,79+2,79+2,79+2,77+2,18+2,https://cdn.sofifa.net/players/213/648/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1331/60.png,https://cdn.sofifa.net/flags/dk.png
