sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
237942,https://sofifa.com/player/237942/pervis-estupinan/220002,P. Estupiñán,Pervis Josué Estupiñán Tenorio,"LB, LWB",79,85,26000000.0,29000.0,23,1998-01-21,175,78,483.0,Villarreal CF,Spain Primera Division,1.0,SUB,12.0,,2020-09-16,2027.0,57,Ecuador,,,,Left,3,3,1,High/Medium,Stocky (170-185),No,59800000.0,,Speed Dribbler (AI),82.0,34.0,68.0,72.0,75.0,75.0,79,20,75,78,38,73,59,36,62,71,81,83,76,71,70,41,69,79,74,42,74,75,52,56,69,62,69,80,79,14,7,14,7,7,,57+2,57+2,57+2,65,61,61,61,65,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,77+2,73+2,73+2,73+2,77+2,77+2,75+2,75+2,75+2,77+2,16+2,https://cdn.sofifa.net/players/237/942/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ec.png
246406,https://sofifa.com/player/246406/xavier-arreaga/220002,X. Arreaga,Xavier Ricardo Arreaga Bermello,CB,67,71,1300000.0,3000.0,26,1994-09-28,183,75,111144.0,Seattle Sounders FC,USA Major League Soccer,1.0,CB,3.0,,2019-05-07,2022.0,57,Ecuador,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2000000.0,,,47.0,24.0,45.0,34.0,69.0,73.0,23,18,78,66,27,27,30,22,63,34,50,44,34,54,60,39,71,77,69,17,78,58,28,28,34,49,69,74,71,7,13,8,11,8,,40+2,40+2,40+2,35,36,36,36,35,38+2,38+2,38+2,40+2,48+2,48+2,48+2,40+2,55+2,62+2,62+2,62+2,55+2,59+2,67+2,67+2,67+2,59+2,15+2,https://cdn.sofifa.net/players/246/406/22_120.png,https://cdn.sofifa.net/teams/111144/60.png,https://cdn.sofifa.net/flags/us.png,,https://cdn.sofifa.net/flags/ec.png
245065,https://sofifa.com/player/245065/diego-palacios/220002,D. Palacios,Juan Diego Palacios Ricardo,LB,70,80,3400000.0,3000.0,21,1999-07-12,169,65,112996.0,Los Angeles FC,USA Major League Soccer,1.0,LB,12.0,,2019-08-07,2022.0,57,Ecuador,,,,Left,2,3,1,High/Medium,Normal (170-),No,5800000.0,,Speed Dribbler (AI),75.0,33.0,60.0,68.0,65.0,66.0,70,25,44,67,25,68,36,27,57,67,76,75,67,65,86,48,58,74,62,30,69,65,55,56,37,64,67,70,67,7,10,9,7,9,,52+2,52+2,52+2,61,58,58,58,61,60+2,60+2,60+2,64+2,62+2,62+2,62+2,64+2,69+2,66+2,66+2,66+2,69+2,68+2,64+2,64+2,64+2,68+2,15+2,https://cdn.sofifa.net/players/245/065/22_120.png,https://cdn.sofifa.net/teams/112996/60.png,https://cdn.sofifa.net/flags/us.png,,https://cdn.sofifa.net/flags/ec.png
260740,https://sofifa.com/player/260740/jackson-porozo/220002,J. Porozo,Jackson Gabriel Porozo Vernaza,CB,67,76,2100000.0,4000.0,20,2000-08-04,192,84,1898.0,Boavista FC,Portuguese Liga ZON SAGRES,1.0,CB,21.0,,2020-10-01,2025.0,57,Ecuador,,,,Right,2,2,1,Low/Medium,Normal (185+),No,4800000.0,,,62.0,31.0,36.0,39.0,68.0,73.0,31,29,69,47,26,29,35,35,27,48,61,63,39,60,42,40,72,64,80,26,65,72,31,28,42,47,68,66,67,8,13,8,15,8,,45+2,45+2,45+2,40,41,41,41,40,39+2,39+2,39+2,42+2,43+2,43+2,43+2,42+2,57+2,57+2,57+2,57+2,57+2,60+2,67+2,67+2,67+2,60+2,16+2,https://cdn.sofifa.net/players/260/740/22_120.png,https://cdn.sofifa.net/teams/1898/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/ec.png
221860,https://sofifa.com/player/221860/carlos-gruezo/220002,C. Gruezo,Carlos Armando Gruezo Arboleda,"CDM, CM",72,75,2800000.0,16000.0,26,1995-04-19,173,71,100409.0,FC Augsburg,German 1. Bundesliga,1.0,SUB,8.0,,2019-07-02,2024.0,57,Ecuador,,,,Right,3,2,1,Low/High,Normal (170-185),No,5300000.0,,,61.0,46.0,61.0,67.0,68.0,73.0,43,41,54,72,37,60,48,47,69,70,68,55,78,69,85,61,69,73,69,42,86,69,55,58,49,65,68,71,73,9,10,12,12,11,,57+2,57+2,57+2,59,60,60,60,59,62+2,62+2,62+2,61+2,65+2,65+2,65+2,61+2,66+2,71+2,71+2,71+2,66+2,66+2,69+2,69+2,69+2,66+2,17+2,https://cdn.sofifa.net/players/221/860/22_120.png,https://cdn.sofifa.net/teams/100409/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/ec.png
223053,https://sofifa.com/player/223053/angel-mena/220002,Á. Mena,Ángel Israel Mena Delgado,"RM, RW",78,78,9000000.0,28000.0,33,1988-01-21,168,71,110781.0,Club León,Mexican Liga MX,1.0,RM,13.0,,2019-01-01,2021.0,57,Ecuador,,,,Left,4,4,1,High/Medium,Lean (170-),No,15300000.0,#Acrobat,"Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot",81.0,74.0,72.0,82.0,45.0,49.0,75,77,69,75,71,82,64,67,71,80,81,81,91,77,85,69,33,75,47,72,27,43,78,69,72,75,38,46,41,6,10,9,10,13,,75+2,75+2,75+2,78,77,77,77,78,77+1,77+1,77+1,77+1,72+2,72+2,72+2,77+1,64+2,58+2,58+2,58+2,64+2,61+2,50+2,50+2,50+2,61+2,17+2,https://cdn.sofifa.net/players/223/053/22_120.png,https://cdn.sofifa.net/teams/110781/60.png,https://cdn.sofifa.net/flags/mx.png,,https://cdn.sofifa.net/flags/ec.png
256079,https://sofifa.com/player/256079/moises-caicedo/220002,M. Caicedo,Moisés Isaac Caicedo Corozo,"CM, CDM",64,79,1400000.0,7000.0,19,2001-11-02,178,73,675.0,K Beerschot VA,Belgian Jupiler Pro League,1.0,RES,88.0,Brighton & Hove Albion,,2022.0,57,Ecuador,,,,Right,3,3,1,High/High,Normal (170-185),No,,,,72.0,56.0,60.0,61.0,56.0,60.0,44,57,40,71,40,58,35,40,64,65,74,70,67,58,65,56,59,65,59,62,58,60,54,67,40,50,56,60,54,15,6,13,9,13,,58+2,58+2,58+2,61,61,61,61,61,64+2,64+2,64+2,62+2,64+2,64+2,64+2,62+2,60+2,62+2,62+2,62+2,60+2,59+2,57+2,57+2,57+2,59+2,16+2,https://cdn.sofifa.net/players/256/079/22_120.png,https://cdn.sofifa.net/teams/675/60.png,https://cdn.sofifa.net/flags/be.png,,https://cdn.sofifa.net/flags/ec.png
240944,https://sofifa.com/player/240944/michael-estrada/220002,M. Estrada,Michael Steveen Estrada Martínez,ST,70,75,2400000.0,13000.0,25,1996-04-07,184,78,1882.0,Deportivo Toluca,Mexican Liga MX,1.0,SUB,7.0,,2020-01-01,2022.0,57,Ecuador,,,,Right,3,2,1,High/Low,Normal (170-185),No,4300000.0,,Speed Dribbler (AI),73.0,64.0,50.0,67.0,24.0,72.0,28,73,78,68,65,70,30,30,51,63,71,75,71,68,52,64,71,54,80,43,76,16,70,51,66,60,14,23,17,14,9,8,8,6,,70+2,70+2,70+2,63,66,66,66,63,64+2,64+2,64+2,62+2,57+2,57+2,57+2,62+2,43+2,45+2,45+2,45+2,43+2,41+2,44+2,44+2,44+2,41+2,16+2,https://cdn.sofifa.net/players/240/944/22_120.png,https://cdn.sofifa.net/teams/1882/60.png,https://cdn.sofifa.net/flags/mx.png,,https://cdn.sofifa.net/flags/ec.png
247181,https://sofifa.com/player/247181/gonzalo-plata/220002,G. Plata,Gonzalo Jordy Plata Jiménez,RW,74,84,9500000.0,10000.0,20,2000-11-01,178,65,462.0,Real Valladolid CF,Spanish Segunda División,2.0,SUB,12.0,Sporting CP,,2022.0,57,Ecuador,,,,Left,3,4,1,High/Low,Normal (170-185),No,,,"Flair, Technical Dribbler (AI)",85.0,66.0,65.0,79.0,43.0,64.0,68,65,41,68,71,79,76,52,46,77,86,85,88,73,80,70,51,69,63,65,61,40,73,71,60,78,43,46,38,13,8,14,10,12,,69+2,69+2,69+2,74,73,73,73,74,73+2,73+2,73+2,73+2,66+2,66+2,66+2,73+2,61+2,56+2,56+2,56+2,61+2,58+2,51+2,51+2,51+2,58+2,18+2,https://cdn.sofifa.net/players/247/181/22_120.png,https://cdn.sofifa.net/teams/462/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ec.png
254069,https://sofifa.com/player/254069/djorkaeff-reasco/220002,D. Reasco,Djorkaeff Neicer Reasco González,"ST, LM",63,71,1100000.0,500.0,22,1999-01-18,172,75,110986.0,LDU Quito,Ecuadorian Serie A,1.0,SUB,16.0,,2017-01-01,2021.0,57,Ecuador,,,,Right,3,2,1,High/Low,Normal (170-185),No,2600000.0,,,74.0,63.0,53.0,64.0,33.0,73.0,54,70,61,52,57,63,51,52,48,63,75,74,65,55,70,55,81,79,70,55,72,34,64,60,65,74,39,20,19,7,10,12,12,6,,63+2,63+2,63+2,62,62,62,62,62,61+2,61+2,61+2,62+2,55+2,55+2,55+2,62+2,49+2,47+2,47+2,47+2,49+2,47+2,45+2,45+2,45+2,47+2,14+2,https://cdn.sofifa.net/players/254/069/22_120.png,https://cdn.sofifa.net/teams/110986/60.png,https://cdn.sofifa.net/flags/ec.png,,https://cdn.sofifa.net/flags/ec.png
