sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
204935,https://sofifa.com/player/204935/jordan-pickford/220002,J. Pickford,Jordan Pickford,GK,83,85,33000000.0,83000.0,27,1994-03-07,185,77,7.0,Everton,English Premier League,1.0,GK,1.0,,2017-06-15,2024.0,14,England,1318.0,GK,1.0,Left,4,1,3,Medium/Medium,Normal (185+),Yes,65200000.0,,"Solid Player, Long Passer (AI), Rushes Out Of Goal, Saves with Feet",,,,,,,17,19,15,55,20,14,18,16,56,40,53,44,55,80,55,65,77,45,70,13,45,24,18,69,45,65,21,20,12,83,78,87,80,86,49.0,37+3,37+3,37+3,36,39,39,39,36,43+3,43+3,43+3,39+3,45+3,45+3,45+3,39+3,34+3,42+3,42+3,42+3,34+3,33+3,34+3,34+3,34+3,33+3,82+3,https://cdn.sofifa.net/players/204/935/22_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
233934,https://sofifa.com/player/233934/aaron-ramsdale/220002,A. Ramsdale,Aaron Ramsdale,GK,74,79,5000000.0,36000.0,23,1998-05-14,188,77,1.0,Arsenal,English Premier League,1.0,SUB,32.0,,2021-08-20,2025.0,14,England,1318.0,SUB,23.0,Right,3,1,1,Medium/Medium,Lean (185+),Yes,9900000.0,,"Solid Player, Comes For Crosses",,,,,,,15,14,15,31,16,18,17,16,33,28,47,50,53,70,49,52,66,35,59,15,35,20,11,47,25,55,18,16,15,75,72,69,71,76,48.0,30+2,30+2,30+2,30,31,31,31,30,32+2,32+2,32+2,31+2,32+2,32+2,32+2,31+2,28+2,31+2,31+2,31+2,28+2,28+2,28+2,28+2,28+2,28+2,73+2,https://cdn.sofifa.net/players/233/934/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
203574,https://sofifa.com/player/203574/john-stones/220002,J. Stones,John Stones,CB,83,86,41000000.0,140000.0,27,1994-05-28,188,76,10.0,Manchester City,English Premier League,1.0,SUB,5.0,,2016-08-09,2026.0,14,England,1318.0,RCB,5.0,Right,4,3,2,High/Medium,Lean (185+),Yes,78900000.0,,Long Throw-in,70.0,51.0,71.0,74.0,84.0,78.0,62,52,84,83,44,72,52,37,75,83,67,73,61,82,59,55,83,77,78,44,80,83,52,67,52,80,84,85,82,7,15,11,10,8,,67+2,67+2,67+2,68,68,68,68,68,70+2,70+2,70+2,71+2,75+2,75+2,75+2,71+2,78+2,81+2,81+2,81+2,78+2,79+2,83+2,83+2,83+2,79+2,18+2,https://cdn.sofifa.net/players/203/574/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
186345,https://sofifa.com/player/186345/kieran-trippier/220002,K. Trippier,Kieran Trippier,"RB, RWB, RM",84,84,36500000.0,74000.0,30,1990-09-19,173,69,240.0,Atlético de Madrid,Spain Primera Division,1.0,SUB,23.0,,2019-07-17,2023.0,14,England,1318.0,SUB,12.0,Right,4,3,2,Medium/Medium,Normal (170-185),Yes,74800000.0,#Crosser,"Long Throw-in, Solid Player, Early Crosser",73.0,63.0,82.0,77.0,80.0,72.0,86,54,79,81,58,74,86,82,80,82,74,73,73,81,77,75,78,87,64,70,73,80,76,80,66,77,79,81,80,11,14,8,11,10,,72+2,72+2,72+2,76,75,75,75,76,76+2,76+2,76+2,78+2,79+2,79+2,79+2,78+2,81+2,80+2,80+2,80+2,81+2,81+2,78+2,78+2,78+2,81+2,19+2,https://cdn.sofifa.net/players/186/345/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
202048,https://sofifa.com/player/202048/conor-coady/220002,C. Coady,Conor Coady,CB,79,81,17500000.0,80000.0,28,1993-02-25,186,80,110.0,Wolverhampton Wanderers,English Premier League,1.0,CB,16.0,,2015-07-03,2025.0,14,England,,,,Right,3,2,1,Low/High,Normal (185+),Yes,34600000.0,,"Solid Player, Leadership, Long Passer (AI), Team Player",47.0,58.0,75.0,67.0,79.0,75.0,67,51,74,81,56,62,60,62,85,79,41,51,48,80,54,68,84,78,74,64,70,78,50,71,60,80,83,79,74,8,15,10,12,8,,64+2,64+2,64+2,64,65,65,65,64,68+2,68+2,68+2,67+2,75+2,75+2,75+2,67+2,73+2,79+2,79+2,79+2,73+2,74+2,77+2,77+2,77+2,74+2,18+2,https://cdn.sofifa.net/players/202/048/22_120.png,https://cdn.sofifa.net/teams/110/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
238216,https://sofifa.com/player/238216/conor-gallagher/220002,C. Gallagher,Conor Gallagher,CM,74,82,9500000.0,53000.0,21,2000-02-06,182,74,1799.0,Crystal Palace,English Premier League,1.0,LCM,23.0,Chelsea,,2022.0,14,England,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,,,,71.0,69.0,70.0,73.0,61.0,66.0,64,68,48,74,48,75,60,53,73,74,64,76,67,74,68,73,57,79,60,76,68,69,73,74,54,65,54,70,50,7,6,15,9,9,,69+2,69+2,69+2,72,72,72,72,72,73+2,73+2,73+2,72+2,74+2,74+2,74+2,72+2,68+2,69+2,69+2,69+2,68+2,66+2,63+2,63+2,63+2,66+2,15+2,https://cdn.sofifa.net/players/238/216/22_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
234378,https://sofifa.com/player/234378/declan-rice/220002,D. Rice,Declan Rice,"CDM, CM",82,87,43000000.0,69000.0,22,1999-01-14,185,80,19.0,West Ham United,English Premier League,1.0,LDM,41.0,,2016-06-29,2024.0,14,England,1318.0,CDM,4.0,Right,3,2,1,Medium/High,Normal (185+),Yes,84900000.0,,"Leadership, Long Passer (AI)",66.0,53.0,71.0,74.0,81.0,79.0,50,42,71,82,40,75,58,53,80,79,64,68,53,77,61,70,74,84,76,60,82,83,54,75,71,80,80,83,80,8,11,14,5,9,,64+2,64+2,64+2,66,68,68,68,66,71+2,71+2,71+2,70+2,76+2,76+2,76+2,70+2,76+2,81+2,81+2,81+2,76+2,76+2,79+2,79+2,79+2,76+2,16+2,https://cdn.sofifa.net/players/234/378/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
183711,https://sofifa.com/player/183711/jordan-henderson/220002,J. Henderson,Jordan Henderson,"CDM, CM",84,84,29500000.0,140000.0,31,1990-06-17,182,80,9.0,Liverpool,English Premier League,1.0,RCM,14.0,,2011-06-09,2025.0,14,England,1318.0,SUB,8.0,Right,3,3,3,High/High,Normal (170-185),Yes,54600000.0,#Engine,"Leadership, Early Crosser, Long Passer (AI), Team Player",66.0,74.0,83.0,79.0,78.0,81.0,82,73,65,85,71,78,80,74,87,83,67,66,69,85,68,77,78,86,78,75,83,81,78,80,64,82,79,81,76,7,13,7,9,13,,76+3,76+3,76+3,78,78,78,78,78,79+3,79+3,79+3,80+3,82+2,82+2,82+2,80+3,80+3,82+2,82+2,82+2,80+3,79+3,79+3,79+3,79+3,79+3,19+3,https://cdn.sofifa.net/players/183/711/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
202652,https://sofifa.com/player/202652/raheem-sterling/220002,R. Sterling,Raheem Sterling,"LW, RW",88,89,107500000.0,290000.0,26,1994-12-08,170,69,10.0,Manchester City,English Premier League,1.0,SUB,7.0,,2015-07-14,2023.0,14,England,1318.0,LW,10.0,Right,3,4,4,High/Medium,Unique,Yes,206900000.0,"#Speedster, #Dribbler, #Acrobat","Flair, Speed Dribbler (AI)",91.0,82.0,79.0,87.0,45.0,66.0,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,15,12,12,15,9,,81+3,81+3,81+3,87,86,86,86,87,86+3,86+3,86+3,85+3,78+3,78+3,78+3,85+3,69+3,64+3,64+3,64+3,69+3,65+3,55+3,55+3,55+3,65+3,21+3,https://cdn.sofifa.net/players/202/652/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
224081,https://sofifa.com/player/224081/kalvin-phillips/220002,K. Phillips,Kalvin Phillips,"CDM, CM, CB",81,85,32500000.0,82000.0,25,1995-12-02,178,72,8.0,Leeds United,English Premier League,1.0,CDM,23.0,,2014-07-01,2024.0,14,England,1318.0,RCM,14.0,Right,3,3,2,Medium/High,Stocky (170-185),Yes,64200000.0,,"Dives Into Tackles (AI), Long Passer (AI), Team Player",67.0,65.0,76.0,75.0,78.0,82.0,70,62,65,80,55,73,62,71,82,79,69,66,72,76,72,75,82,85,78,67,86,77,66,74,58,78,79,82,77,8,8,8,12,14,,70+2,70+2,70+2,72,72,72,72,72,74+2,74+2,74+2,74+2,77+2,77+2,77+2,74+2,77+2,80+2,80+2,80+2,77+2,76+2,78+2,78+2,78+2,76+2,18+2,https://cdn.sofifa.net/players/224/081/22_120.png,https://cdn.sofifa.net/teams/8/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
