sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
167495,https://sofifa.com/player/167495/manuel-neuer/220002,M. Neuer,Manuel Peter Neuer,GK,90,90,13500000.0,86000.0,35,1986-03-27,193,93,21.0,FC Bayern München,German 1. Bundesliga,1.0,GK,1.0,,2011-07-01,2023.0,21,Germany,1337.0,GK,1.0,Right,4,1,5,Medium/Medium,Unique,Yes,22300000.0,,"Leadership, GK Long Throw, Rushes Out Of Goal, Comes For Crosses",,,,,,,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,88,88,91,89,88,56.0,40+3,40+3,40+3,40,43,43,43,40,47+3,47+3,47+3,44+3,50+3,50+3,50+3,44+3,37+3,43+3,43+3,43+3,37+3,35+3,34+3,34+3,34+3,35+3,88+2,https://cdn.sofifa.net/players/167/495/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
188943,https://sofifa.com/player/188943/kevin-trapp/220002,K. Trapp,Kevin Trapp,GK,82,82,20500000.0,31000.0,30,1990-07-08,189,88,1824.0,Eintracht Frankfurt,German 1. Bundesliga,1.0,GK,1.0,,2019-08-07,2024.0,21,Germany,1337.0,SUB,22.0,Right,4,1,3,Medium/Medium,Normal (185+),Yes,34900000.0,,"Leadership, Rushes Out Of Goal, Comes For Crosses",,,,,,,13,13,11,25,12,10,14,12,12,24,45,52,42,82,37,59,75,45,73,13,30,22,12,46,17,62,15,14,10,82,78,79,82,84,48.0,30+3,30+3,30+3,27,30,30,30,27,29+3,29+3,29+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,81+1,https://cdn.sofifa.net/players/188/943/22_120.png,https://cdn.sofifa.net/teams/1824/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
192448,https://sofifa.com/player/192448/marc-andre-ter-stegen/220002,M. ter Stegen,Marc-André ter Stegen,GK,90,92,99000000.0,250000.0,29,1992-04-30,187,85,241.0,FC Barcelona,Spain Primera Division,1.0,GK,1.0,,2014-07-01,2025.0,21,Germany,,,,Right,4,1,4,Medium/Medium,Unique,Yes,210400000.0,,"Rushes Out Of Goal, Comes For Crosses, Saves with Feet",,,,,,,18,14,11,61,14,21,18,12,63,30,38,50,39,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90,43.0,35+3,35+3,35+3,35,38,38,38,35,42+3,42+3,42+3,39+3,45+3,45+3,45+3,39+3,33+3,41+3,41+3,41+3,33+3,31+3,33+3,33+3,33+3,31+3,88+3,https://cdn.sofifa.net/players/192/448/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/de.png
205452,https://sofifa.com/player/205452/antonio-rudiger/220002,A. Rüdiger,Antonio Rüdiger,CB,83,84,34500000.0,130000.0,28,1993-03-03,190,85,5.0,Chelsea,English Premier League,1.0,LCB,2.0,,2017-07-09,2022.0,21,Germany,1337.0,LCB,2.0,Right,3,2,2,Medium/High,Lean (185+),Yes,66400000.0,#Strength,Long Passer (AI),75.0,43.0,68.0,64.0,84.0,84.0,68,32,81,76,34,60,35,56,73,69,64,84,56,82,50,72,84,69,88,44,92,81,39,59,40,72,85,86,82,14,15,10,12,8,,61+2,61+2,61+2,61,61,61,61,61,62+2,62+2,62+2,65+2,68+2,68+2,68+2,65+2,76+2,79+2,79+2,79+2,76+2,78+2,83+1,83+1,83+1,78+2,20+2,https://cdn.sofifa.net/players/205/452/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
226229,https://sofifa.com/player/226229/thilo-kehrer/220002,T. Kehrer,Jan Thilo Kehrer,"CB, RB",76,81,10000000.0,49000.0,24,1996-09-21,186,76,73.0,Paris Saint-Germain,French Ligue 1,1.0,SUB,24.0,,2018-08-16,2023.0,21,Germany,1337.0,LB,4.0,Right,5,2,3,Medium/Medium,Normal (185+),Yes,19300000.0,,,68.0,44.0,65.0,66.0,77.0,78.0,64,37,76,73,32,65,54,38,66,67,68,68,68,69,64,65,84,74,80,40,76,76,53,59,41,69,75,78,79,9,9,14,10,12,,60+3,60+3,60+3,61,61,61,61,61,62+3,62+3,62+3,64+3,66+3,66+3,66+3,64+3,72+3,73+3,73+3,73+3,72+3,73+3,76+3,76+3,76+3,73+3,17+3,https://cdn.sofifa.net/players/226/229/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
212190,https://sofifa.com/player/212190/niklas-sule/220002,N. Süle,Niklas Süle,"CB, RB",82,87,40500000.0,78000.0,25,1995-09-03,195,99,21.0,FC Bayern München,German 1. Bundesliga,1.0,LCB,4.0,,2017-07-01,2022.0,21,Germany,1337.0,RCB,15.0,Right,3,2,3,Medium/Medium,Stocky (185+),Yes,69900000.0,"#Aerial Threat, #Strength",Injury Prone,65.0,42.0,59.0,51.0,83.0,81.0,34,22,84,78,33,43,28,30,69,62,48,79,33,79,32,77,39,63,93,62,85,80,26,57,32,75,81,86,82,15,7,14,7,15,,56+3,56+3,56+3,51,54,54,54,51,56+3,56+3,56+3,54+3,64+3,64+3,64+3,54+3,69+3,76+3,76+3,76+3,69+3,73+3,81+3,81+3,81+3,73+3,19+3,https://cdn.sofifa.net/players/212/190/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
247819,https://sofifa.com/player/247819/nico-schlotterbeck/220002,N. Schlotterbeck,Nico Schlotterbeck,CB,73,83,6500000.0,14000.0,21,1999-12-01,191,86,25.0,Sport-Club Freiburg,German 1. Bundesliga,1.0,LCB,4.0,,2019-03-09,2023.0,21,Germany,1337.0,SUB,5.0,Left,3,2,1,Medium/Medium,Normal (185+),No,13000000.0,,,69.0,29.0,47.0,53.0,75.0,75.0,29,21,71,59,29,47,36,35,54,58,62,75,53,73,52,51,67,68,82,26,68,75,25,42,38,59,76,77,74,8,10,8,14,13,,49+2,49+2,49+2,47,48,48,48,47,49+2,49+2,49+2,50+2,54+2,54+2,54+2,50+2,64+2,67+2,67+2,67+2,64+2,67+2,73+2,73+2,73+2,67+2,18+2,https://cdn.sofifa.net/players/247/819/22_120.png,https://cdn.sofifa.net/teams/25/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
247497,https://sofifa.com/player/247497/armel-bella-kotchap/220002,A. Bella Kotchap,Armel Bella Kotchap,CB,71,85,4200000.0,8000.0,19,2001-12-11,190,87,160.0,VfL Bochum 1848,German 1. Bundesliga,1.0,RCB,37.0,,2019-02-16,2024.0,21,Germany,,,,Right,5,2,1,Medium/Medium,Stocky (185+),No,10200000.0,,,76.0,25.0,50.0,47.0,71.0,74.0,31,20,67,66,24,33,22,22,64,60,73,79,55,59,60,38,76,61,85,20,64,73,29,46,33,57,68,75,69,12,14,5,8,13,,46+2,46+2,46+2,46,46,46,46,46,49+2,49+2,49+2,50+2,55+2,55+2,55+2,50+2,62+2,67+2,67+2,67+2,62+2,65+2,71+2,71+2,71+2,65+2,17+2,https://cdn.sofifa.net/players/247/497/22_120.png,https://cdn.sofifa.net/teams/160/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/de.png
222331,https://sofifa.com/player/222331/lukas-klostermann/220002,L. Klostermann,Lukas Manuel Klostermann,"CB, RB, RWB",80,84,26500000.0,67000.0,25,1996-06-03,187,88,112172.0,RB Leipzig,German 1. Bundesliga,1.0,SUB,16.0,,2014-08-22,2024.0,21,Germany,1337.0,SUB,26.0,Right,3,2,2,Medium/Medium,Normal (185+),Yes,47000000.0,,"Speed Dribbler (AI), Team Player",85.0,51.0,64.0,71.0,82.0,77.0,72,59,78,74,41,71,45,22,63,73,81,89,63,81,60,58,82,82,76,31,72,81,70,55,26,68,84,81,86,8,12,10,7,7,,69+2,69+2,69+2,70,69,69,69,70,68+2,68+2,68+2,72+2,69+2,69+2,69+2,72+2,80+2,76+2,76+2,76+2,80+2,81+2,80+2,80+2,80+2,81+2,17+2,https://cdn.sofifa.net/players/222/331/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
236703,https://sofifa.com/player/236703/david-raum/220002,D. Raum,David Raum,"LB, LM",73,80,6000000.0,20000.0,23,1998-04-22,180,75,10029.0,TSG Hoffenheim,German 1. Bundesliga,1.0,LB,17.0,,2021-07-01,2025.0,21,Germany,1337.0,SUB,17.0,Left,3,3,1,High/Medium,Normal (170-185),No,11400000.0,,Long Passer (AI),86.0,59.0,66.0,74.0,64.0,70.0,76,57,57,69,52,72,66,37,59,76,87,85,77,70,76,64,63,82,67,65,62,68,59,63,49,68,59,68,66,11,8,14,12,6,,66+2,66+2,66+2,71,69,69,69,71,69+2,69+2,69+2,72+2,68+2,68+2,68+2,72+2,72+2,68+2,68+2,68+2,72+2,71+2,66+2,66+2,66+2,71+2,16+2,https://cdn.sofifa.net/players/236/703/22_120.png,https://cdn.sofifa.net/teams/10029/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
