sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
217649,https://sofifa.com/player/217649/shuichi-gonda/220002,S. Gonda,権田 修一,GK,70,70,800000.0,4000.0,32,1989-03-03,187,83,101149.0,Shimizu S-Pulse,Japanese J. League Division 1,1.0,GK,37.0,Portimonense SC,,2021.0,163,Japan,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,17,16,13,27,19,19,21,13,26,20,55,43,41,68,46,48,54,43,54,18,28,11,7,68,29,30,21,16,21,69,69,64,68,71,50.0,28+2,28+2,28+2,29,31,31,31,29,32+2,32+2,32+2,31+2,32+2,32+2,32+2,31+2,28+2,28+2,28+2,28+2,28+2,28+2,26+2,26+2,26+2,28+2,69+1,https://cdn.sofifa.net/players/217/649/22_120.png,https://cdn.sofifa.net/teams/101149/60.png,https://cdn.sofifa.net/flags/jp.png,,https://cdn.sofifa.net/flags/jp.png
180739,https://sofifa.com/player/180739/eiji-kawashima/220002,E. Kawashima,川島 永嗣,GK,73,73,350000.0,9000.0,38,1983-03-20,185,82,76.0,RC Strasbourg Alsace,French Ligue 1,1.0,SUB,16.0,,2018-08-29,2023.0,163,Japan,,,,Right,3,1,2,Medium/Medium,Normal (185+),Yes,700000.0,,"Team Player, Cautious With Crosses",,,,,,,17,14,14,33,13,12,13,14,33,28,43,42,61,70,45,54,69,30,60,19,16,19,11,29,24,44,10,13,12,72,71,72,73,73,43.0,29+2,29+2,29+2,27,28,28,28,27,29+2,29+2,29+2,28+2,29+2,29+2,29+2,28+2,26+2,28+2,28+2,28+2,26+2,26+2,25+2,25+2,25+2,26+2,72+1,https://cdn.sofifa.net/players/180/739/22_120.png,https://cdn.sofifa.net/teams/76/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/jp.png
194359,https://sofifa.com/player/194359/yuto-nagatomo/220002,Y. Nagatomo,長友 佑都,"LB, LWB, RB",73,73,1100000.0,9000.0,34,1986-09-12,170,68,101150.0,FC Tokyo,Japanese J. League Division 1,1.0,SUB,50.0,,2021-09-13,2023.0,163,Japan,,,,Right,4,2,2,High/High,Lean (170-),Yes,1400000.0,,Early Crosser,70.0,49.0,65.0,69.0,72.0,65.0,66,46,61,72,45,65,64,36,63,69,71,70,82,70,88,51,78,75,58,53,67,74,67,59,44,66,70,75,73,12,13,8,13,15,,61+2,61+2,61+2,65,64,64,64,65,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,71+2,70+2,70+2,70+2,71+2,71+2,70+2,70+2,70+2,71+2,19+2,https://cdn.sofifa.net/players/194/359/22_120.png,https://cdn.sofifa.net/teams/101150/60.png,https://cdn.sofifa.net/flags/jp.png,,https://cdn.sofifa.net/flags/jp.png
191648,https://sofifa.com/player/191648/maya-yoshida/220002,M. Yoshida,吉田 麻也,CB,73,73,2000000.0,15000.0,32,1988-08-24,189,79,1837.0,U.C. Sampdoria,Italian Serie A,1.0,RCB,22.0,,2020-09-03,2022.0,163,Japan,,,,Right,4,2,1,Medium/High,Lean (185+),Yes,3400000.0,,,52.0,41.0,51.0,63.0,74.0,71.0,36,34,74,63,56,60,38,33,52,66,52,52,64,72,57,50,82,64,75,41,66,73,42,50,54,68,73,77,74,12,16,8,6,13,,54+2,54+2,54+2,53,54,54,54,53,56+2,56+2,56+2,55+2,59+2,59+2,59+2,55+2,64+2,68+2,68+2,68+2,64+2,66+2,73,73,73,66+2,18+2,https://cdn.sofifa.net/players/191/648/22_120.png,https://cdn.sofifa.net/teams/1837/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/jp.png
232487,https://sofifa.com/player/232487/wataru-endo/220002,W. Endo,遠藤 航,"CDM, CM",78,79,13500000.0,29000.0,28,1993-02-09,178,76,36.0,VfB Stuttgart,German 1. Bundesliga,1.0,LCM,3.0,,2020-07-01,2024.0,163,Japan,,,,Right,4,3,2,Medium/High,Normal (170-185),No,25300000.0,,Long Passer (AI),66.0,61.0,70.0,75.0,78.0,73.0,55,57,74,79,26,72,43,46,77,80,73,60,71,73,76,71,89,80,65,68,78,78,54,75,62,80,80,78,74,9,13,7,11,5,,66+2,66+2,66+2,69,69,69,69,69,72+2,72+2,72+2,70+2,75+2,75+2,75+2,70+2,73+2,77+2,77+2,77+2,73+2,74+2,76+2,76+2,76+2,74+2,16+2,https://cdn.sofifa.net/players/232/487/22_120.png,https://cdn.sofifa.net/teams/36/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/jp.png
233169,https://sofifa.com/player/233169/miki-yamane/220002,M. Yamane,山根 視来,RB,72,72,2300000.0,9000.0,27,1993-12-22,178,72,111730.0,Kawasaki Frontale,Japanese J. League Division 1,1.0,RB,13.0,,2020-01-04,2022.0,163,Japan,,,,Right,4,2,1,High/Medium,Normal (170-185),No,3000000.0,,Early Crosser,78.0,61.0,64.0,65.0,68.0,69.0,64,58,64,72,66,67,48,38,64,65,72,83,54,70,66,70,73,82,65,63,64,68,55,62,43,65,67,71,69,13,8,8,8,15,,65+2,65+2,65+2,66,65,65,65,66,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,71+1,69+2,69+2,69+2,71+1,70+2,68+2,68+2,68+2,70+2,17+2,https://cdn.sofifa.net/players/233/169/22_120.png,https://cdn.sofifa.net/teams/111730/60.png,https://cdn.sofifa.net/flags/jp.png,,https://cdn.sofifa.net/flags/jp.png
233225,https://sofifa.com/player/233225/shogo-taniguchi/220002,S. Taniguchi,谷口 彰悟,CB,72,72,2000000.0,9000.0,29,1991-07-15,183,75,111730.0,Kawasaki Frontale,Japanese J. League Division 1,1.0,LCB,5.0,,2014-01-01,2022.0,163,Japan,,,,Right,3,2,1,Low/High,Lean (170-185),Yes,2600000.0,,,64.0,45.0,59.0,60.0,73.0,72.0,50,35,72,74,39,56,35,32,68,64,52,73,58,72,59,63,71,82,72,48,62,76,55,47,45,61,72,74,69,8,13,11,14,14,,58+2,58+2,58+2,57,58,58,58,57,59+2,59+2,59+2,60+2,65+2,65+2,65+2,60+2,69+2,71+1,71+1,71+1,69+2,70+2,72,72,72,70+2,19+2,https://cdn.sofifa.net/players/233/225/22_120.png,https://cdn.sofifa.net/teams/111730/60.png,https://cdn.sofifa.net/flags/jp.png,,https://cdn.sofifa.net/flags/jp.png
233152,https://sofifa.com/player/233152/ko-itakura/220002,K. Itakura,板仓 晃,CB,74,80,6000000.0,64000.0,24,1997-01-27,186,75,34.0,FC Schalke 04,German 2. Bundesliga,2.0,SUB,3.0,Manchester City,,2022.0,163,Japan,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,,,,77.0,32.0,53.0,65.0,76.0,76.0,30,20,72,68,24,63,30,40,65,65,74,79,71,67,69,64,84,85,75,24,67,78,38,48,38,64,74,79,73,13,6,9,10,12,,54+2,54+2,54+2,54,55,55,55,54,56+2,56+2,56+2,58+2,62+2,62+2,62+2,58+2,69+2,71+2,71+2,71+2,69+2,70+2,74+2,74+2,74+2,70+2,16+2,https://cdn.sofifa.net/players/233/152/22_120.png,https://cdn.sofifa.net/teams/34/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/jp.png
232938,https://sofifa.com/player/232938/takehiro-tomiyasu/220002,T. Tomiyasu,冨安 健洋,"CB, RB",75,85,12000000.0,49000.0,22,1998-11-05,188,84,1.0,Arsenal,English Premier League,1.0,SUB,18.0,,2021-08-31,2026.0,163,Japan,,,,Right,5,2,1,Medium/High,Lean (185+),No,25200000.0,,,68.0,32.0,63.0,69.0,76.0,77.0,62,29,69,71,30,68,48,37,66,71,68,68,70,71,70,42,70,80,77,28,73,76,38,59,37,60,77,77,77,9,14,6,5,11,,54+2,54+2,54+2,60,57,57,57,60,60+2,60+2,60+2,63+2,65+2,65+2,65+2,63+2,73+2,73+2,73+2,73+2,73+2,73+2,75+2,75+2,75+2,73+2,16+2,https://cdn.sofifa.net/players/232/938/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/jp.png
232639,https://sofifa.com/player/232639/ritsu-doan/220002,R. Doan,堂安 律,"RM, CAM",76,82,12000000.0,15000.0,23,1998-06-16,172,70,247.0,PSV,Holland Eredivisie,1.0,SUB,25.0,,2019-08-30,2024.0,163,Japan,,,,Left,3,4,1,Medium/Low,Normal (170-185),Yes,19200000.0,,"Outside Foot Shot, Technical Dribbler (AI)",79.0,70.0,72.0,80.0,39.0,57.0,70,68,45,75,59,80,67,67,68,79,78,79,86,74,92,76,34,77,55,74,41,41,71,76,58,73,39,36,42,8,5,6,13,14,,70+2,70+2,70+2,76,75,75,75,76,76+2,76+2,76+2,75+2,71+2,71+2,71+2,75+2,62+2,58+2,58+2,58+2,62+2,58+2,47+2,47+2,47+2,58+2,17+2,https://cdn.sofifa.net/players/232/639/22_120.png,https://cdn.sofifa.net/teams/247/60.png,https://cdn.sofifa.net/flags/nl.png,,https://cdn.sofifa.net/flags/jp.png
242087,https://sofifa.com/player/242087/hidemasa-morita/220002,H. Morita,守田 英正,"CDM, CM",73,76,3600000.0,6000.0,26,1995-05-10,177,72,1438.0,Santa Clara,Portuguese Liga ZON SAGRES,1.0,LCM,25.0,,2021-01-07,2024.0,163,Japan,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,7800000.0,,,67.0,60.0,71.0,74.0,69.0,70.0,70,60,47,76,25,76,72,39,72,75,69,66,69,68,69,67,59,69,71,65,70,68,69,70,45,67,69,76,68,6,10,13,7,8,,65+2,65+2,65+2,70,70,70,70,70,71+2,71+2,71+2,71+2,72+2,72+2,72+2,71+2,71+2,72+2,72+2,72+2,71+2,69+2,68+2,68+2,68+2,69+2,15+2,https://cdn.sofifa.net/players/242/087/22_120.png,https://cdn.sofifa.net/teams/1438/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/jp.png
255565,https://sofifa.com/player/255565/kaoru-mitoma/220002,K. Mitoma,三笘 薫,"LW, LM",73,78,4600000.0,40000.0,24,1997-05-20,178,71,2014.0,Royale Union Saint-Gilloise,Belgian Jupiler Pro League,1.0,SUB,7.0,Brighton & Hove Albion,,2022.0,163,Japan,,,,Right,3,4,1,Medium/Low,Lean (170-185),No,,,"Speed Dribbler (AI), Outside Foot Shot",78.0,69.0,67.0,77.0,49.0,62.0,57,73,42,76,65,78,65,58,61,76,80,76,84,74,67,63,65,68,60,68,58,53,70,70,58,73,54,46,44,10,13,10,14,9,,69+2,69+2,69+2,73,73,73,73,73,74+2,74+2,74+2,72+2,69+2,69+2,69+2,72+2,63+2,62+2,62+2,62+2,63+2,60+2,55+2,55+2,55+2,60+2,18+2,https://cdn.sofifa.net/players/255/565/22_120.png,https://cdn.sofifa.net/teams/2014/60.png,https://cdn.sofifa.net/flags/be.png,,https://cdn.sofifa.net/flags/jp.png
237681,https://sofifa.com/player/237681/takefusa-kubo/220002,T. Kubo,久保 建英,"RM, CM, CAM",75,88,13500000.0,77000.0,20,2001-06-04,173,67,453.0,RCD Mallorca,Spain Primera Division,1.0,CAM,17.0,Real Madrid CF,,2022.0,163,Japan,,,,Left,4,4,1,High/Medium,Lean (170-185),No,,,"Flair, Technical Dribbler (AI)",81.0,66.0,68.0,82.0,39.0,56.0,61,70,39,73,57,85,68,72,58,81,89,74,86,65,83,66,54,76,52,60,43,29,68,72,61,70,40,43,48,6,7,15,10,10,,68+2,68+2,68+2,75,73,73,73,75,74+2,74+2,74+2,74+2,68+2,68+2,68+2,74+2,60+2,56+2,56+2,56+2,60+2,57+2,47+2,47+2,47+2,57+2,15+2,https://cdn.sofifa.net/players/237/681/22_120.png,https://cdn.sofifa.net/teams/453/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/jp.png
226627,https://sofifa.com/player/226627/takumi-minamino/220002,T. Minamino,南野 拓実,"RW, ST, LM",75,76,6500000.0,84000.0,26,1995-01-16,174,67,9.0,Liverpool,English Premier League,1.0,RES,18.0,,2020-01-01,2024.0,163,Japan,,,,Right,4,3,1,High/Medium,Lean (170-185),No,12500000.0,,Solid Player,79.0,73.0,69.0,81.0,36.0,63.0,66,75,50,71,70,81,73,69,63,78,83,75,89,71,86,71,76,76,55,73,61,49,70,70,72,79,32,30,26,9,12,8,15,14,,71+2,71+2,71+2,75,74,74,74,75,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,59+2,56+2,56+2,56+2,59+2,55+2,47+2,47+2,47+2,55+2,19+2,https://cdn.sofifa.net/players/226/627/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/jp.png
232905,https://sofifa.com/player/232905/junya-ito/220002,J. Ito,伊东 纯也,"RW, CF",77,77,10500000.0,21000.0,28,1993-03-09,176,66,673.0,KRC Genk,Belgian Jupiler Pro League,1.0,RW,7.0,,2020-07-01,2023.0,163,Japan,,,,Right,4,4,1,High/Medium,Lean (170-185),No,15800000.0,,Speed Dribbler (AI),89.0,71.0,73.0,77.0,58.0,70.0,76,73,44,73,69,77,63,65,66,75,91,88,82,73,77,68,87,89,61,71,64,67,76,78,57,77,54,61,56,13,12,15,5,7,,71+2,71+2,71+2,77,75,75,75,77,76+1,76+1,76+1,77,73+2,73+2,73+2,77,72+2,68+2,68+2,68+2,72+2,70+2,62+2,62+2,62+2,70+2,17+2,https://cdn.sofifa.net/players/232/905/22_120.png,https://cdn.sofifa.net/teams/673/60.png,https://cdn.sofifa.net/flags/be.png,,https://cdn.sofifa.net/flags/jp.png
245622,https://sofifa.com/player/245622/shuto-machino/220002,S. Machino,町野 脩斗,ST,62,70,900000.0,850.0,21,1999-09-30,185,77,113161.0,Shonan Bellmare,Japanese J. League Division 1,1.0,RS,33.0,,2021-01-09,2022.0,163,Japan,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1300000.0,,Long Throw-in,65.0,62.0,54.0,55.0,26.0,67.0,51,63,60,61,61,50,46,45,39,60,61,69,60,61,52,63,66,72,73,58,45,32,63,58,59,59,20,20,17,14,10,7,7,6,,62+2,62+2,62+2,59,60,60,60,59,59+2,59+2,59+2,58+2,54+2,54+2,54+2,58+2,46+2,44+2,44+2,44+2,46+2,44+2,40+2,40+2,40+2,44+2,15+2,https://cdn.sofifa.net/players/245/622/22_120.png,https://cdn.sofifa.net/teams/113161/60.png,https://cdn.sofifa.net/flags/jp.png,,https://cdn.sofifa.net/flags/jp.png
246321,https://sofifa.com/player/246321/daizen-maeda/220002,D. Maeda,前田 大然,"LM, ST",70,75,2400000.0,7000.0,23,1997-10-20,173,68,101151.0,Yokohama F. Marinos,Japanese J. League Division 1,1.0,LM,38.0,,2021-01-09,2022.0,163,Japan,,,,Right,3,3,1,High/Low,Normal (170-185),No,3300000.0,,Finesse Shot,89.0,72.0,60.0,70.0,39.0,65.0,57,71,74,65,71,66,64,57,47,72,91,87,89,64,74,73,73,78,58,74,65,31,73,64,60,65,28,44,41,5,9,5,9,12,,72+2,72+2,72+2,71,71,71,71,71,69+2,69+2,69+2,69+2,62+2,62+2,62+2,69+2,57+2,52+2,52+2,52+2,57+2,56+2,51+2,51+2,51+2,56+2,15+2,https://cdn.sofifa.net/players/246/321/22_120.png,https://cdn.sofifa.net/teams/101151/60.png,https://cdn.sofifa.net/flags/jp.png,,https://cdn.sofifa.net/flags/jp.png
