sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
186098,https://sofifa.com/player/186098/rodolfo-cota/220002,R. Cota,Rodolfo Cota Robles,GK,76,76,2400000.0,18000.0,33,1987-07-03,183,86,110781.0,Club León,Mexican Liga MX,1.0,SUB,30.0,,2018-07-06,2022.0,83,Mexico,1386.0,SUB,12.0,Right,2,1,1,Medium/Medium,Normal (170-185),No,4100000.0,,"Solid Player, Comes For Crosses",,,,,,,12,12,14,26,13,15,15,12,31,25,59,56,52,73,60,50,69,36,80,16,29,14,11,55,25,65,25,13,12,75,70,67,79,79,58.0,31+2,31+2,31+2,30,31,31,31,30,32+2,32+2,32+2,31+2,31+2,31+2,31+2,31+2,28+2,30+2,30+2,30+2,28+2,28+2,29+2,29+2,29+2,28+2,75+1,https://cdn.sofifa.net/players/186/098/22_120.png,https://cdn.sofifa.net/teams/110781/60.png,https://cdn.sofifa.net/flags/mx.png,https://cdn.sofifa.net/teams/1386/60.png,https://cdn.sofifa.net/flags/mx.png
192041,https://sofifa.com/player/192041/nestor-araujo/220002,N. Araújo,Néstor Alejandro Araújo Razo,CB,76,76,6500000.0,22000.0,29,1991-08-29,188,87,450.0,RC Celta de Vigo,Spain Primera Division,1.0,RCB,4.0,,2018-07-02,2023.0,83,Mexico,1386.0,RCB,2.0,Right,3,2,1,Low/Medium,Normal (185+),No,13700000.0,#Strength,Dives Into Tackles (AI),66.0,41.0,55.0,59.0,78.0,78.0,32,34,77,72,36,53,44,45,66,69,63,69,41,71,60,57,66,69,88,39,65,76,30,43,54,71,79,78,76,7,8,13,6,9,,56+2,56+2,56+2,52,54,54,54,52,55+2,55+2,55+2,56+2,61+2,61+2,61+2,56+2,67+2,72+2,72+2,72+2,67+2,70+2,76,76,76,70+2,15+2,https://cdn.sofifa.net/players/192/041/22_120.png,https://cdn.sofifa.net/teams/450/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1386/60.png,https://cdn.sofifa.net/flags/mx.png
229980,https://sofifa.com/player/229980/cesar-montes/220002,C. Montes,César Jasib Montes Castro,CB,75,83,11500000.0,33000.0,24,1997-02-24,191,70,1032.0,CF Monterrey,Mexican Liga MX,1.0,RCB,3.0,,2015-07-01,2022.0,83,Mexico,1386.0,LCB,3.0,Right,3,2,1,Medium/High,Normal (185+),No,20700000.0,,"Injury Prone, Long Passer (AI), Power Header",60.0,44.0,62.0,65.0,75.0,76.0,41,43,77,72,31,59,62,37,73,69,55,64,80,72,51,55,84,77,75,35,74,75,59,65,48,75,77,74,73,9,10,5,5,13,,60+2,60+2,60+2,59,61,61,61,59,63+2,63+2,63+2,62+2,68+2,68+2,68+2,62+2,68+2,73+2,73+2,73+2,68+2,69+2,75+2,75+2,75+2,69+2,16+2,https://cdn.sofifa.net/players/229/980/22_120.png,https://cdn.sofifa.net/teams/1032/60.png,https://cdn.sofifa.net/flags/mx.png,https://cdn.sofifa.net/teams/1386/60.png,https://cdn.sofifa.net/flags/mx.png
237043,https://sofifa.com/player/237043/roberto-alvarado/220002,R. Alvarado,Roberto Carlos Alvarado Hernández,"RM, LM, CAM",76,83,15000000.0,48000.0,22,1998-09-07,176,70,1878.0,Cruz Azul,Mexican Liga MX,1.0,LW,25.0,,2018-07-12,2022.0,83,Mexico,1386.0,SUB,7.0,Left,4,4,1,High/Medium,Lean (170-185),No,28500000.0,#Acrobat,"Playmaker (AI), Technical Dribbler (AI)",76.0,71.0,75.0,77.0,53.0,70.0,74,68,51,75,62,75,76,65,72,78,81,72,90,70,77,77,59,84,71,76,55,55,71,79,62,68,55,49,60,8,14,13,13,14,,71+2,71+2,71+2,75,74,74,74,75,75+2,75+2,75+2,75+2,73+2,73+2,73+2,75+2,68+2,66+2,66+2,66+2,68+2,66+2,59+2,59+2,59+2,66+2,19+2,https://cdn.sofifa.net/players/237/043/22_120.png,https://cdn.sofifa.net/teams/1878/60.png,https://cdn.sofifa.net/flags/mx.png,https://cdn.sofifa.net/teams/1386/60.png,https://cdn.sofifa.net/flags/mx.png
233493,https://sofifa.com/player/233493/jorge-sanchez/220002,J. Sánchez,Jorge Eduardo Sánchez Ramos,RB,76,79,9500000.0,33000.0,23,1997-12-10,175,80,1879.0,Club América,Mexican Liga MX,1.0,RB,3.0,,2018-07-01,2025.0,83,Mexico,1386.0,SUB,6.0,Right,3,2,1,High/High,Stocky (170-185),Yes,16900000.0,#Speedster,"Long Throw-in, Early Crosser, Speed Dribbler (AI)",92.0,45.0,61.0,72.0,72.0,77.0,70,35,63,65,33,70,54,36,54,72,90,93,77,69,79,66,75,84,78,45,64,73,49,58,54,68,72,73,72,10,10,12,12,7,,61+2,61+2,61+2,66,63,63,63,66,63+2,63+2,63+2,68+2,64+2,64+2,64+2,68+2,74+2,69+2,69+2,69+2,74+2,74+2,71+2,71+2,71+2,74+2,16+2,https://cdn.sofifa.net/players/233/493/22_120.png,https://cdn.sofifa.net/teams/1879/60.png,https://cdn.sofifa.net/flags/mx.png,https://cdn.sofifa.net/teams/1386/60.png,https://cdn.sofifa.net/flags/mx.png
253008,https://sofifa.com/player/253008/kevin-alvarez/220002,K. Álvarez,Kevin Nahin Álvarez Campos,"RB, RM",68,77,2600000.0,6000.0,22,1999-01-15,176,66,110147.0,Pachuca,Mexican Liga MX,1.0,RB,3.0,,2018-01-01,2022.0,83,Mexico,,,,Right,3,2,1,High/Medium,Lean (170-185),No,4900000.0,,Dives Into Tackles (AI),74.0,45.0,56.0,65.0,63.0,63.0,61,43,51,67,33,62,45,41,51,64,73,74,72,61,77,52,54,74,56,39,68,63,60,41,59,66,64,63,69,15,11,7,11,6,,56+2,56+2,56+2,60,58,58,58,60,58+2,58+2,58+2,61+2,58+2,58+2,58+2,61+2,66+2,62+2,62+2,62+2,66+2,66+2,62+2,62+2,62+2,66+2,16+2,https://cdn.sofifa.net/players/253/008/22_120.png,https://cdn.sofifa.net/teams/110147/60.png,https://cdn.sofifa.net/flags/mx.png,,https://cdn.sofifa.net/flags/mx.png
222382,https://sofifa.com/player/222382/luis-chavez/220002,L. Chávez,Luis Gerardo Chávez Magallón,"CM, RM",69,74,2000000.0,8000.0,25,1996-01-15,178,73,110147.0,Pachuca,Mexican Liga MX,1.0,SUB,24.0,,2019-07-01,2021.0,83,Mexico,,,,Left,3,3,1,High/High,Lean (170-185),No,3600000.0,,Long Shot Taker (AI),68.0,65.0,70.0,71.0,62.0,57.0,68,65,48,75,59,75,56,71,72,71,62,72,66,66,63,62,35,70,61,71,38,63,60,65,66,65,64,65,60,7,10,14,9,12,,64+2,64+2,64+2,69,68,68,68,69,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,67+2,66+2,66+2,66+2,67+2,66+2,60+2,60+2,60+2,66+2,16+2,https://cdn.sofifa.net/players/222/382/22_120.png,https://cdn.sofifa.net/teams/110147/60.png,https://cdn.sofifa.net/flags/mx.png,,https://cdn.sofifa.net/flags/mx.png
156519,https://sofifa.com/player/156519/hector-herrera/220002,H. Herrera,Héctor Miguel Herrera López,CM,81,81,21000000.0,63000.0,31,1990-04-19,185,78,240.0,Atlético de Madrid,Spain Primera Division,1.0,SUB,16.0,,2019-07-03,2022.0,83,Mexico,1386.0,SUB,16.0,Right,4,3,3,Medium/Medium,Normal (185+),Yes,43100000.0,,"Solid Player, Long Shot Taker (AI)",70.0,75.0,76.0,76.0,78.0,84.0,65,72,61,81,59,76,69,68,79,78,71,70,73,81,68,81,77,93,80,78,84,82,82,78,67,77,81,82,67,6,10,15,7,16,,75+3,75+3,75+3,76,77,77,77,76,78+3,78+3,78+3,77+3,80+1,80+1,80+1,77+3,77+3,81,81,81,77+3,77+3,78+3,78+3,78+3,77+3,18+3,https://cdn.sofifa.net/players/156/519/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1386/60.png,https://cdn.sofifa.net/flags/mx.png
224574,https://sofifa.com/player/224574/orbelin-pineda/220002,O. Pineda,Orbelín Pineda Alvarado,"RM, RW, CM",77,80,14000000.0,56000.0,25,1996-03-24,169,63,1878.0,Cruz Azul,Mexican Liga MX,1.0,RW,31.0,,2019-01-01,2021.0,83,Mexico,1386.0,SUB,10.0,Right,4,3,1,High/High,Normal (170-),No,24900000.0,#Acrobat,"Long Shot Taker (AI), Outside Foot Shot",86.0,73.0,72.0,79.0,62.0,66.0,70,75,41,75,67,80,68,56,70,75,84,87,91,70,83,72,64,85,57,73,67,66,70,73,63,69,63,65,65,15,14,7,10,10,,70+2,70+2,70+2,76,75,75,75,76,75+2,75+2,75+2,76+2,73+2,73+2,73+2,76+2,72+2,70+2,70+2,70+2,72+2,70+2,63+2,63+2,63+2,70+2,18+2,https://cdn.sofifa.net/players/224/574/22_120.png,https://cdn.sofifa.net/teams/1878/60.png,https://cdn.sofifa.net/flags/mx.png,https://cdn.sofifa.net/teams/1386/60.png,https://cdn.sofifa.net/flags/mx.png
171897,https://sofifa.com/player/171897/andres-guardado/220002,A. Guardado,José Andrés Guardado Hernández,"CDM, CM, LM",78,78,4800000.0,24000.0,34,1986-09-28,169,67,449.0,Real Betis Balompié,Spain Primera Division,1.0,LDM,18.0,,2017-07-07,2022.0,83,Mexico,1386.0,LCM,18.0,Left,2,3,3,Medium/Medium,Lean (170-),Yes,10100000.0,,Injury Prone,64.0,68.0,80.0,79.0,73.0,69.0,74,64,55,82,69,78,78,80,79,80,67,62,79,77,87,73,71,81,60,73,74,75,69,82,70,76,74,75,76,7,10,10,11,10,,69+3,69+3,69+3,74,74,74,74,74,77+1,77+1,77+1,75+3,78,78,78,75+3,76+2,77+1,77+1,77+1,76+2,74+3,72+3,72+3,72+3,74+3,17+3,https://cdn.sofifa.net/players/171/897/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1386/60.png,https://cdn.sofifa.net/flags/mx.png
