sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
162328,https://sofifa.com/player/162328/remko-pasveer/220002,R. Pasveer,Remko Pasveer,GK,75,75,625000.0,8000.0,37,1983-11-08,188,88,245.0,Ajax,Holland Eredivisie,1.0,SUB,32.0,,2021-07-01,2023.0,34,Netherlands,,,,Right,4,1,1,Medium/Medium,Normal (185+),No,875000.0,,Comes For Crosses,,,,,,,15,12,16,37,18,17,18,14,52,34,46,44,42,70,36,64,65,35,70,16,30,13,15,59,28,57,14,18,20,74,72,85,77,74,45.0,33+2,33+2,33+2,31,34,34,34,31,36+2,36+2,36+2,34+2,38+2,38+2,38+2,34+2,29+2,34+2,34+2,34+2,29+2,28+2,29+2,29+2,29+2,28+2,74+1,https://cdn.sofifa.net/players/162/328/22_120.png,https://cdn.sofifa.net/teams/245/60.png,https://cdn.sofifa.net/flags/nl.png,,https://cdn.sofifa.net/flags/nl.png
232229,https://sofifa.com/player/232229/justin-bijlow/220002,J. Bijlow,Justin Bijlow,GK,77,85,20000000.0,8000.0,23,1998-01-22,188,76,246.0,Feyenoord,Holland Eredivisie,1.0,GK,1.0,,2015-07-01,2025.0,34,Netherlands,105035.0,GK,1.0,Right,2,1,1,Medium/Medium,Normal (185+),No,34000000.0,,"Injury Prone, Comes For Crosses",,,,,,,10,10,11,33,10,11,10,10,44,21,58,55,56,75,32,58,67,30,70,10,22,10,10,58,16,54,16,12,14,80,75,77,73,78,57.0,30+2,30+2,30+2,29,31,31,31,29,33+2,33+2,33+2,31+2,33+2,33+2,33+2,31+2,26+2,29+2,29+2,29+2,26+2,26+2,26+2,26+2,26+2,26+2,76+2,https://cdn.sofifa.net/players/232/229/22_120.png,https://cdn.sofifa.net/teams/246/60.png,https://cdn.sofifa.net/flags/nl.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
218212,https://sofifa.com/player/218212/andries-noppert/220002,A. Noppert,Andries Noppert,GK,63,67,500000.0,2000.0,27,1994-04-07,203,94,100632.0,Go Ahead Eagles,Holland Eredivisie,1.0,SUB,23.0,,2021-01-22,2022.0,34,Netherlands,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,763000.0,,,,,,,,,14,19,19,20,19,19,41,14,39,20,45,50,40,60,60,47,66,42,66,20,21,16,15,16,19,54,10,15,13,65,61,62,64,61,47.0,30+2,30+2,30+2,25,26,26,26,25,25+2,25+2,25+2,27+2,26+2,26+2,26+2,27+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,25+2,62+2,https://cdn.sofifa.net/players/218/212/22_120.png,https://cdn.sofifa.net/teams/100632/60.png,https://cdn.sofifa.net/flags/nl.png,,https://cdn.sofifa.net/flags/nl.png
251805,https://sofifa.com/player/251805/jurrien-timber/220002,J. Timber,Jurriën David Norman Timber,"CB, RB",75,86,11500000.0,10000.0,20,2001-06-17,179,77,245.0,Ajax,Holland Eredivisie,1.0,RCB,2.0,,2019-01-01,2024.0,34,Netherlands,105035.0,SUB,2.0,Right,3,3,1,High/Medium,Normal (170-185),No,18400000.0,,,83.0,44.0,64.0,75.0,75.0,79.0,59,35,67,75,41,75,44,31,66,77,80,86,73,69,74,58,82,77,80,46,76,75,61,63,42,80,77,76,69,6,6,8,14,14,,63+2,63+2,63+2,67,66,66,66,67,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,73+2,74+2,74+2,74+2,73+2,74+2,75+2,75+2,75+2,74+2,16+2,https://cdn.sofifa.net/players/251/805/22_120.png,https://cdn.sofifa.net/teams/245/60.png,https://cdn.sofifa.net/flags/nl.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
251806,https://sofifa.com/player/251806/quinten-timber/220002,Q. Timber,Quinten Ryan Crispito Timber,"CM, RB",67,79,2400000.0,4000.0,20,2001-06-17,179,71,1903.0,FC Utrecht,Holland Eredivisie,1.0,LCM,27.0,,2021-07-01,2024.0,34,Netherlands,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,4100000.0,,,78.0,49.0,64.0,73.0,58.0,73.0,56,42,55,72,43,72,58,40,68,74,76,79,75,67,75,66,80,74,76,48,62,59,60,63,45,72,56,60,58,5,8,12,11,8,,62+2,62+2,62+2,66,65,65,65,66,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,65+2,65+2,65+2,65+2,65+2,64+2,63+2,63+2,63+2,64+2,15+2,https://cdn.sofifa.net/players/251/806/22_120.png,https://cdn.sofifa.net/teams/1903/60.png,https://cdn.sofifa.net/flags/nl.png,,https://cdn.sofifa.net/flags/nl.png
235243,https://sofifa.com/player/235243/matthijs-de-ligt/220002,M. de Ligt,Matthijs de Ligt,CB,85,90,75000000.0,81000.0,21,1999-08-12,189,89,45.0,Juventus,Italian Serie A,1.0,LCB,4.0,,2019-07-18,2024.0,34,Netherlands,105035.0,SUB,3.0,Right,3,2,3,Medium/High,Unique,Yes,129400000.0,#Strength,"Solid Player, Power Header",73.0,59.0,60.0,69.0,84.0,87.0,52,50,85,75,45,65,48,55,63,73,71,75,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,85,85,12,11,11,12,10,,68+3,68+3,68+3,64,65,65,65,64,64+3,64+3,64+3,65+3,67+3,67+3,67+3,65+3,75+3,78+3,78+3,78+3,75+3,78+3,84+3,84+3,84+3,78+3,19+3,https://cdn.sofifa.net/players/235/243/22_120.png,https://cdn.sofifa.net/teams/45/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
203376,https://sofifa.com/player/203376/virgil-van-dijk/220002,V. van Dijk,Virgil van Dijk,CB,89,89,86000000.0,230000.0,29,1991-07-08,193,92,9.0,Liverpool,English Premier League,1.0,LCB,4.0,,2018-01-01,2025.0,34,Netherlands,105035.0,LCB,4.0,Right,3,2,4,Medium/Medium,Unique,Yes,159100000.0,"#Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Power Header",78.0,60.0,71.0,72.0,91.0,84.0,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,92,86,13,10,13,11,11,,70+3,70+3,70+3,67,69,69,69,67,70+3,70+3,70+3,70+3,75+3,75+3,75+3,70+3,79+3,84+3,84+3,84+3,79+3,81+3,88+1,88+1,88+1,81+3,20+3,https://cdn.sofifa.net/players/203/376/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
208920,https://sofifa.com/player/208920/nathan-ake/220002,N. Aké,Nathan Aké,CB,78,81,16500000.0,95000.0,26,1995-02-18,180,75,10.0,Manchester City,English Premier League,1.0,SUB,6.0,,2020-08-05,2025.0,34,Netherlands,,,,Left,3,2,3,Medium/High,Normal (170-185),Yes,31800000.0,,,76.0,53.0,70.0,71.0,80.0,75.0,63,48,76,77,52,67,62,59,73,74,80,73,72,76,68,63,89,74,76,56,72,81,51,66,53,76,80,81,80,10,7,7,16,10,,65+3,65+3,65+3,67,66,66,66,67,68+3,68+3,68+3,69+3,71+3,71+3,71+3,69+3,76+3,77+3,77+3,77+3,76+3,77+3,78+3,78+3,78+3,77+3,18+3,https://cdn.sofifa.net/players/208/920/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/nl.png
198176,https://sofifa.com/player/198176/stefan-de-vrij/220002,S. de Vrij,Stefan de Vrij,CB,85,85,45000000.0,145000.0,29,1992-02-05,189,78,44.0,Inter,Italian Serie A,1.0,CB,6.0,,2018-07-01,2023.0,34,Netherlands,105035.0,RCB,6.0,Right,3,2,3,Medium/High,Unique,Yes,76500000.0,"#Tackling, #Tactician ",Long Passer (AI),72.0,41.0,64.0,70.0,87.0,79.0,49,25,84,75,27,66,45,16,71,75,69,74,61,85,59,65,79,80,79,60,77,87,31,70,41,85,89,87,85,8,10,7,14,13,,59+3,59+3,59+3,61,62,62,62,61,65+3,65+3,65+3,64+3,71+3,71+3,71+3,64+3,77+3,81+3,81+3,81+3,77+3,79+3,84+1,84+1,84+1,79+3,19+3,https://cdn.sofifa.net/players/198/176/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
228702,https://sofifa.com/player/228702/frenkie-de-jong/220002,F. de Jong,Frenkie de Jong,"CM, CDM, CB",87,92,119500000.0,210000.0,24,1997-05-12,180,74,241.0,FC Barcelona,Spain Primera Division,1.0,RCM,21.0,,2019-07-01,2026.0,34,Netherlands,105035.0,CDM,21.0,Right,3,4,3,High/Medium,Unique,Yes,253900000.0,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",81.0,69.0,85.0,88.0,77.0,78.0,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77,7,13,10,10,9,,78+3,78+3,78+3,83,82,82,82,83,85+3,85+3,85+3,85+3,86+3,86+3,86+3,85+3,83+3,83+3,83+3,83+3,83+3,82+3,78+3,78+3,78+3,82+3,18+3,https://cdn.sofifa.net/players/228/702/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
208461,https://sofifa.com/player/208461/marten-de-roon/220002,M. de Roon,Marten Elco de Roon,"CDM, CM",82,82,25500000.0,59000.0,30,1991-03-29,185,76,39.0,Atalanta,Italian Serie A,1.0,RCM,15.0,,2017-08-11,2024.0,34,Netherlands,105035.0,SUB,15.0,Right,3,3,3,Medium/High,Normal (185+),Yes,43400000.0,,Solid Player,66.0,68.0,71.0,73.0,82.0,83.0,68,60,75,78,64,71,61,48,75,76,64,68,61,82,73,76,80,92,77,77,85,84,67,69,80,81,82,84,81,14,15,7,12,12,,71+3,71+3,71+3,71,72,72,72,71,72+3,72+3,72+3,72+3,76+3,76+3,76+3,72+3,79+3,81+1,81+1,81+1,79+3,79+3,81+1,81+1,81+1,79+3,21+3,https://cdn.sofifa.net/players/208/461/22_120.png,https://cdn.sofifa.net/teams/39/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
