sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
186153,https://sofifa.com/player/186153/wojciech-szczesny/220002,W. Szczęsny,Wojciech Tomasz Szczęsny,GK,87,87,42000000.0,105000.0,31,1990-04-18,195,90,45.0,Juventus,Italian Serie A,1.0,GK,1.0,,2017-07-19,2024.0,37,Poland,1353.0,GK,1.0,Right,3,1,3,Medium/Medium,Lean (185+),Yes,69300000.0,,Comes For Crosses,,,,,,,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,86,82,73,87,88,49.0,31+3,31+3,31+3,28,31,31,31,28,32+3,32+3,32+3,31+3,33+3,33+3,33+3,31+3,28+3,31+3,31+3,31+3,28+3,28+3,29+3,29+3,29+3,28+3,85+2,https://cdn.sofifa.net/players/186/153/22_120.png,https://cdn.sofifa.net/teams/45/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
189908,https://sofifa.com/player/189908/lukasz-skorupski/220002,Ł. Skorupski,Łukasz Skorupski,GK,75,76,4200000.0,22000.0,30,1991-05-05,187,84,189.0,Bologna,Italian Serie A,1.0,GK,28.0,,2018-07-01,2023.0,37,Poland,1353.0,SUB,12.0,Right,2,1,2,Medium/Medium,Normal (185+),No,7500000.0,,Comes For Crosses,,,,,,,19,11,10,29,17,18,12,19,26,23,51,51,48,68,38,41,66,31,58,15,33,17,13,32,22,58,18,12,12,78,72,54,74,81,51.0,28+2,28+2,28+2,28,28,28,28,28,28+2,28+2,28+2,29+2,27+2,27+2,27+2,29+2,27+2,27+2,27+2,27+2,27+2,26+2,26+2,26+2,26+2,26+2,74+2,https://cdn.sofifa.net/players/189/908/22_120.png,https://cdn.sofifa.net/teams/189/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
177790,https://sofifa.com/player/177790/artur-jedrzejczyk/220002,A. Jędrzejczyk,Artur Jędrzejczyk,"CB, RB",70,70,750000.0,6000.0,33,1987-11-04,189,86,1871.0,Legia Warszawa,Polish T-Mobile Ekstraklasa,1.0,RCB,55.0,,2017-01-29,2023.0,37,Poland,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1100000.0,,"Long Throw-in, Solid Player, Leadership",57.0,48.0,56.0,61.0,68.0,79.0,61,43,67,62,52,60,47,34,62,61,62,52,56,65,61,69,80,72,82,39,81,71,58,42,34,66,65,70,65,7,8,12,16,11,,59+2,59+2,59+2,57,57,57,57,57,56+2,56+2,56+2,59+2,59+2,59+2,59+2,59+2,65+2,66+2,66+2,66+2,65+2,65+2,70,70,70,65+2,17+2,https://cdn.sofifa.net/players/177/790/22_120.png,https://cdn.sofifa.net/teams/1871/60.png,https://cdn.sofifa.net/flags/pl.png,,https://cdn.sofifa.net/flags/pl.png
224302,https://sofifa.com/player/224302/mateusz-wieteska/220002,M. Wieteska,Mateusz Wieteska,CB,68,73,1600000.0,4000.0,24,1997-02-11,187,82,1871.0,Legia Warszawa,Polish T-Mobile Ekstraklasa,1.0,CB,4.0,,2018-06-14,2023.0,37,Poland,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,2400000.0,,,62.0,33.0,46.0,49.0,67.0,72.0,33,36,71,62,32,34,29,24,49,58,58,66,65,64,56,38,88,68,72,19,72,67,41,40,39,72,64,69,65,15,12,13,16,9,,50+2,50+2,50+2,47,48,48,48,47,48+2,48+2,48+2,49+2,53+2,53+2,53+2,49+2,60+2,63+2,63+2,63+2,60+2,62+2,68+2,68+2,68+2,62+2,19+2,https://cdn.sofifa.net/players/224/302/22_120.png,https://cdn.sofifa.net/teams/1871/60.png,https://cdn.sofifa.net/flags/pl.png,,https://cdn.sofifa.net/flags/pl.png
220570,https://sofifa.com/player/220570/jan-bednarek/220002,J. Bednarek,Jan Bednarek,CB,76,82,10500000.0,42000.0,25,1996-04-12,189,77,17.0,Southampton,English Premier League,1.0,SUB,35.0,,2017-07-01,2025.0,37,Poland,1353.0,LCB,5.0,Right,3,2,1,Medium/High,Lean (185+),Yes,22100000.0,,Dives Into Tackles (AI),52.0,22.0,53.0,55.0,78.0,77.0,44,19,77,65,20,50,23,26,55,59,50,54,52,77,59,25,81,71,80,23,78,81,26,52,32,62,76,78,74,11,13,16,7,9,,46+2,46+2,46+2,48,47,47,47,48,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,66+2,71+2,71+2,71+2,66+2,69+2,76+2,76+2,76+2,69+2,18+2,https://cdn.sofifa.net/players/220/570/22_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
190547,https://sofifa.com/player/190547/kamil-glik/220002,K. Glik,Kamil Jacek Glik,CB,73,73,1500000.0,14000.0,33,1988-02-03,190,80,112026.0,Benevento,Italian Serie B,2.0,RCB,15.0,,2020-09-01,2023.0,37,Poland,1353.0,CB,15.0,Right,2,2,3,Low/High,Normal (185+),Yes,2700000.0,,"Dives Into Tackles (AI), Power Header",36.0,32.0,45.0,53.0,72.0,79.0,29,27,77,63,17,49,35,26,63,59,34,37,32,70,50,57,75,62,86,20,85,71,24,23,39,75,71,71,71,10,14,5,8,10,,48+3,48+3,48+3,42,44,44,44,42,44+3,44+3,44+3,46+3,53+3,53+3,53+3,46+3,59+3,67+3,67+3,67+3,59+3,61+3,73,73,73,61+3,17+3,https://cdn.sofifa.net/players/190/547/22_120.png,https://cdn.sofifa.net/teams/112026/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
199763,https://sofifa.com/player/199763/bartosz-bereszynski/220002,B. Bereszyński,Bartosz Bereszyński,RB,73,73,2800000.0,15000.0,28,1992-07-12,183,77,1837.0,U.C. Sampdoria,Italian Serie A,1.0,RB,24.0,,2017-01-04,2023.0,37,Poland,1353.0,RCB,18.0,Right,3,3,1,High/Medium,Normal (170-185),No,4800000.0,,,84.0,56.0,64.0,69.0,67.0,73.0,67,50,60,68,56,68,60,50,62,70,83,85,73,68,72,64,69,84,68,60,71,67,60,60,50,69,66,69,68,9,8,16,7,15,,64+2,64+2,64+2,67,66,66,66,67,66+2,66+2,66+2,68+2,66+2,66+2,66+2,68+2,71+2,68+2,68+2,68+2,71+2,71+2,68+2,68+2,68+2,71+2,16+2,https://cdn.sofifa.net/players/199/763/22_120.png,https://cdn.sofifa.net/teams/1837/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
235973,https://sofifa.com/player/235973/sebastian-szymanski/220002,S. Szymański,Sebastian Szymański,"CAM, RM",71,81,,,22,1999-05-10,174,60,,,,,,,,,,37,Poland,1353.0,SUB,19.0,Left,3,3,1,Medium/Low,Lean (170-185),No,,#Acrobat,"Long Shot Taker (AI), Technical Dribbler (AI)",84.0,65.0,68.0,75.0,30.0,47.0,69,66,40,69,47,72,69,69,65,75,86,82,91,65,84,67,59,70,36,71,45,23,62,67,54,66,36,26,32,9,10,10,14,14,,64+2,64+2,64+2,72,69,69,69,72,71+2,71+2,71+2,71+2,64+2,64+2,64+2,71+2,56+2,50+2,50+2,50+2,56+2,52+2,40+2,40+2,40+2,52+2,18+2,https://cdn.sofifa.net/players/235/973/22_120.png,,,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
251633,https://sofifa.com/player/251633/michal-skoras/220002,M. Skóraś,Michał Skóraś,RM,65,78,1800000.0,2000.0,21,2000-02-15,172,64,873.0,Lech Poznań,Polish T-Mobile Ekstraklasa,1.0,RM,21.0,,2017-10-29,2023.0,37,Poland,,,,Right,3,3,1,High/Medium,Normal (170-185),No,3600000.0,,Speed Dribbler (AI),82.0,51.0,59.0,65.0,36.0,64.0,60,56,48,62,45,65,49,40,56,61,84,80,85,57,75,51,56,83,56,39,64,41,60,60,52,55,44,23,28,7,12,9,8,8,,58+2,58+2,58+2,63,61,61,61,63,62+2,62+2,62+2,64+2,58+2,58+2,58+2,64+2,55+2,51+2,51+2,51+2,55+2,52+2,45+2,45+2,45+2,52+2,14+2,https://cdn.sofifa.net/players/251/633/22_120.png,https://cdn.sofifa.net/teams/873/60.png,https://cdn.sofifa.net/flags/pl.png,,https://cdn.sofifa.net/flags/pl.png
205175,https://sofifa.com/player/205175/arkadiusz-milik/220002,A. Milik,Arkadiusz Krystian Milik,ST,81,82,30000000.0,81000.0,27,1994-02-28,186,78,219.0,Olympique de Marseille,French Ligue 1,1.0,ST,9.0,Napoli,,2022.0,37,Poland,,,,Left,3,4,3,Medium/Medium,Normal (185+),Yes,,#Poacher,"Injury Prone, Outside Foot Shot",64.0,84.0,67.0,76.0,39.0,71.0,63,85,79,70,78,77,76,84,62,81,60,68,66,76,63,86,65,63,78,82,67,36,84,64,79,78,35,34,32,9,16,16,15,6,,80+2,80+2,80+2,74,77,77,77,74,74+3,74+3,74+3,72+3,68+3,68+3,68+3,72+3,56+3,56+3,56+3,56+3,56+3,54+3,53+3,53+3,53+3,54+3,19+3,https://cdn.sofifa.net/players/205/175/22_120.png,https://cdn.sofifa.net/teams/219/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/pl.png
