sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
178005,https://sofifa.com/player/178005/rui-pedro-dos-santos-patricio/220002,Rui Patrício,Rui Pedro dos Santos Patrício,GK,82,82,10000000.0,51000.0,33,1988-02-15,190,84,52.0,Roma,Italian Serie A,1.0,GK,1.0,,2021-07-13,2024.0,38,Portugal,1354.0,GK,1.0,Left,2,1,3,Medium/Medium,Normal (185+),Yes,17000000.0,,"Solid Player, Cautious With Crosses",,,,,,,12,12,11,34,16,20,10,16,32,25,53,57,61,76,54,58,79,45,77,11,37,23,13,64,32,66,14,13,11,82,80,77,80,83,55.0,32+3,32+3,32+3,32,34,34,34,32,36+3,36+3,36+3,34+3,35+3,35+3,35+3,34+3,30+3,33+3,33+3,33+3,30+3,29+3,30+3,30+3,30+3,29+3,80+2,https://cdn.sofifa.net/players/178/005/22_120.png,https://cdn.sofifa.net/teams/52/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
212442,https://sofifa.com/player/212442/jose-pedro-malheiro-de-sa/220002,José Sá,José Pedro Malheiro de Sá,GK,79,81,15000000.0,65000.0,28,1993-01-17,192,84,110.0,Wolverhampton Wanderers,English Premier League,1.0,GK,1.0,,2021-07-15,2026.0,38,Portugal,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,29600000.0,,Comes For Crosses,,,,,,,18,15,14,30,17,17,12,21,20,19,42,48,62,76,40,47,70,34,72,18,20,18,17,43,11,32,14,19,15,80,77,62,76,83,44.0,30+2,30+2,30+2,29,30,30,30,29,30+2,30+2,30+2,29+2,29+2,29+2,29+2,29+2,28+2,28+2,28+2,28+2,28+2,27+2,28+2,28+2,28+2,27+2,78+2,https://cdn.sofifa.net/players/212/442/22_120.png,https://cdn.sofifa.net/teams/110/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/pt.png
120533,https://sofifa.com/player/120533/kepler-laveran-lima-ferreira/220002,Pepe,Kléper Laveran de Lima Ferreira,CB,82,82,5500000.0,14000.0,38,1983-02-26,188,80,236.0,FC Porto,Portuguese Liga ZON SAGRES,1.0,LCB,3.0,,2019-01-08,2023.0,38,Portugal,1354.0,RCB,3.0,Right,3,2,4,Medium/High,Lean (185+),Yes,11000000.0,,"Dives Into Tackles (AI), Leadership",80.0,51.0,60.0,61.0,82.0,87.0,46,46,81,73,23,58,44,47,75,60,79,81,62,81,48,63,89,82,86,56,94,78,40,48,57,80,86,82,81,8,15,5,9,10,,62+3,62+3,62+3,60,60,60,60,60,61+3,61+3,61+3,62+3,66+3,66+3,66+3,62+3,73+3,77+3,77+3,77+3,73+3,76+3,82,82,82,76+3,18+3,https://cdn.sofifa.net/players/120/533/22_120.png,https://cdn.sofifa.net/teams/236/60.png,https://cdn.sofifa.net/flags/pt.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
209889,https://sofifa.com/player/209889/raphael-guerreiro/220002,R. Guerreiro,Raphaël Adelino José Guerreiro,"LB, LM",84,84,40500000.0,79000.0,27,1993-12-22,170,71,22.0,Borussia Dortmund,German 1. Bundesliga,1.0,LB,13.0,,2016-07-01,2023.0,38,Portugal,1354.0,LB,5.0,Left,2,4,3,High/Low,Normal (170-),Yes,68900000.0,"#Dribbler, #Acrobat","Flair, Outside Foot Shot, Technical Dribbler (AI)",75.0,77.0,85.0,88.0,76.0,58.0,84,77,43,88,79,88,85,82,82,87,84,67,88,86,90,79,53,79,50,80,52,83,79,85,44,86,79,79,78,12,6,8,11,8,,76+3,76+3,76+3,83,82,82,82,83,84,84,84,83+1,84,84,84,83+1,82+2,80+3,80+3,80+3,82+2,80+3,71+3,71+3,71+3,80+3,18+3,https://cdn.sofifa.net/players/209/889/22_120.png,https://cdn.sofifa.net/teams/22/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
210514,https://sofifa.com/player/210514/joao-pedro-cavaco-cancelo/220002,João Cancelo,João Pedro Cavaco Cancelo,"RB, LB",86,87,71500000.0,185000.0,27,1994-05-27,182,74,10.0,Manchester City,English Premier League,1.0,LB,27.0,,2019-08-07,2025.0,38,Portugal,1354.0,RB,20.0,Right,4,4,3,High/Medium,Unique,Yes,137600000.0,#Crosser,"Long Shot Taker (AI), Technical Dribbler (AI)",85.0,71.0,83.0,84.0,80.0,72.0,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,79,82,80,6,9,15,14,14,,78+3,78+3,78+3,82,81,81,81,82,82+3,82+3,82+3,83+3,83+3,83+3,83+3,83+3,84+3,81+3,81+3,81+3,84+3,83+3,78+3,78+3,78+3,83+3,19+3,https://cdn.sofifa.net/players/210/514/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
207566,https://sofifa.com/player/207566/william-silva-de-carvalho/220002,William Carvalho,William Silva de Carvalho,"CDM, CM",78,78,12000000.0,25000.0,29,1992-04-07,187,79,449.0,Real Betis Balompié,Spain Primera Division,1.0,SUB,14.0,,2018-07-13,2023.0,38,Portugal,,,,Right,4,3,2,Medium/Medium,Normal (185+),Yes,25200000.0,,"Long Passer (AI), Playmaker (AI)",40.0,60.0,75.0,68.0,74.0,84.0,68,58,70,79,50,71,80,50,77,72,36,43,49,71,43,71,70,81,89,56,78,76,63,79,60,86,78,72,71,6,6,5,14,14,,65+2,65+2,65+2,65,66,66,66,65,69+2,69+2,69+2,68+2,74+2,74+2,74+2,68+2,71+2,76+2,76+2,76+2,71+2,70+2,75+2,75+2,75+2,70+2,16+2,https://cdn.sofifa.net/players/207/566/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/pt.png
234574,https://sofifa.com/player/234574/jose-diogo-dalot-teixeira/220002,Diogo Dalot,José Diogo Dalot Teixeira,"RB, LB",76,82,11500000.0,68000.0,22,1999-03-18,184,75,11.0,Manchester United,English Premier League,1.0,RES,20.0,,2018-06-09,2023.0,38,Portugal,,,,Right,4,3,2,High/Medium,Normal (170-185),Yes,23600000.0,,"Injury Prone, Technical Dribbler (AI)",79.0,60.0,70.0,77.0,72.0,75.0,78,52,69,74,44,78,74,44,62,75,78,80,79,74,72,78,84,74,74,64,78,74,70,64,43,76,70,74,70,10,6,10,6,8,,69+2,69+2,69+2,72,71,71,71,72,71+2,71+2,71+2,73+2,70+2,70+2,70+2,73+2,75+2,72+2,72+2,72+2,75+2,74+2,73+2,73+2,73+2,74+2,15+2,https://cdn.sofifa.net/players/234/574/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/pt.png
239818,https://sofifa.com/player/239818/ruben-santos-gato-alves-dias/220002,Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,87,91,102500000.0,170000.0,24,1997-05-14,187,82,10.0,Manchester City,English Premier League,1.0,RCB,3.0,,2020-09-29,2027.0,38,Portugal,1354.0,LCB,4.0,Right,4,2,3,Medium/High,Normal (185+),Yes,197300000.0,#Tackling ,"Solid Player, Leadership, Power Header",61.0,38.0,65.0,68.0,88.0,88.0,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12,,61+3,61+3,61+3,59,60,60,60,59,61+3,61+3,61+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,86+3,86+3,86+3,80+3,17+3,https://cdn.sofifa.net/players/239/818/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
255253,https://sofifa.com/player/255253/vitor-machado-ferreira/220002,Vitinha,Vítor Machado Ferreira,"CAM, CM",67,81,2500000.0,3000.0,21,2000-02-13,172,64,236.0,FC Porto,Portuguese Liga ZON SAGRES,1.0,RES,20.0,,2018-07-01,2024.0,38,Portugal,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,6600000.0,#Acrobat,"Finesse Shot, Flair, Technical Dribbler (AI)",72.0,57.0,67.0,72.0,51.0,49.0,60,51,39,69,60,70,60,61,70,70,76,68,90,65,80,62,56,63,39,58,53,53,60,70,73,73,51,53,52,12,13,8,5,5,,59+2,59+2,59+2,66,65,65,65,66,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,61+2,60+2,60+2,60+2,61+2,59+2,52+2,52+2,52+2,59+2,15+2,https://cdn.sofifa.net/players/255/253/22_120.png,https://cdn.sofifa.net/teams/236/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/pt.png
212198,https://sofifa.com/player/212198/bruno-miguel-borges-fernandes/220002,Bruno Fernandes,Bruno Miguel Borges Fernandes,CAM,88,89,107500000.0,250000.0,26,1994-09-08,179,69,11.0,Manchester United,English Premier League,1.0,CAM,18.0,,2020-01-30,2025.0,38,Portugal,1354.0,LCM,11.0,Right,3,4,3,High/High,Unique,Yes,206900000.0,"#Playmaker, #Engine, #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder","Solid Player, Leadership, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",75.0,86.0,89.0,84.0,70.0,77.0,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65,12,14,15,8,14,,83+3,83+3,83+3,85,85,85,85,85,87+2,87+2,87+2,86+3,87+2,87+2,87+2,86+3,80+3,80+3,80+3,80+3,80+3,77+3,73+3,73+3,73+3,77+3,21+3,https://cdn.sofifa.net/players/212/198/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
