sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
239358,https://sofifa.com/player/239358/seny-dieng/220002,S. Dieng,Seny Timothy Dieng,GK,72,75,2400000.0,10000.0,26,1994-11-23,193,90,15.0,Queens Park Rangers,English League Championship,2.0,GK,1.0,,2016-08-26,2024.0,136,Senegal,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,4700000.0,,,,,,,,,7,9,20,31,8,10,31,8,47,20,39,41,34,72,33,53,66,26,63,5,24,11,6,47,8,44,8,9,14,70,68,70,69,75,40.0,27+2,27+2,27+2,24,26,26,26,24,28+2,28+2,28+2,26+2,30+2,30+2,30+2,26+2,22+2,27+2,27+2,27+2,22+2,23+2,24+2,24+2,24+2,23+2,71+2,https://cdn.sofifa.net/players/239/358/22_120.png,https://cdn.sofifa.net/teams/15/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
234642,https://sofifa.com/player/234642/edouard-mendy/220002,É. Mendy,Édouard Mendy,GK,83,85,30000000.0,105000.0,29,1992-03-01,197,86,5.0,Chelsea,English Premier League,1.0,GK,16.0,,2020-09-24,2025.0,136,Senegal,,,,Right,2,1,2,Medium/Medium,Lean (185+),Yes,57800000.0,,"Leadership, Comes For Crosses",,,,,,,10,5,10,39,9,13,13,14,46,31,36,33,48,80,27,59,39,35,72,9,22,13,6,44,13,57,10,11,13,83,82,78,81,84,35.0,28+2,28+2,28+2,26,29,29,29,26,31+2,31+2,31+2,29+2,34+2,34+2,34+2,29+2,26+2,31+2,31+2,31+2,26+2,25+2,25+2,25+2,25+2,25+2,82+2,https://cdn.sofifa.net/players/234/642/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
201976,https://sofifa.com/player/201976/alfred-gomis/220002,A. Gomis,Alfred Benjamin Gomis,GK,76,78,7000000.0,30000.0,27,1993-09-05,196,80,74.0,Stade Rennais FC,French Ligue 1,1.0,GK,16.0,,2020-09-29,2025.0,136,Senegal,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,13800000.0,,Long Passer (AI),,,,,,,15,16,11,34,11,15,12,12,35,24,43,41,60,73,54,53,76,33,57,15,16,21,16,61,23,57,18,14,10,76,76,70,75,76,42.0,30+2,30+2,30+2,30,32,32,32,30,34+2,34+2,34+2,31+2,34+2,34+2,34+2,31+2,27+2,30+2,30+2,30+2,27+2,26+2,26+2,26+2,26+2,26+2,75+2,https://cdn.sofifa.net/players/201/976/22_120.png,https://cdn.sofifa.net/teams/74/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/sn.png
259215,https://sofifa.com/player/259215/formose-mendy/220002,F. Mendy,Formose Mendy,"CB, RB",58,69,425000.0,750.0,20,2001-01-02,191,79,1816.0,Amiens SC,French Ligue 2,2.0,SUB,5.0,,2021-07-07,2025.0,136,Senegal,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,850000.0,,,71.0,25.0,39.0,39.0,59.0,62.0,43,23,64,48,26,35,26,25,38,41,65,75,48,45,47,32,70,60,70,20,40,56,21,29,31,38,58,62,55,8,12,7,7,15,,40+2,40+2,40+2,40,38,38,38,40,38+2,38+2,38+2,42+2,41+2,41+2,41+2,42+2,53+2,51+2,51+2,51+2,53+2,55+2,58+2,58+2,58+2,55+2,14+2,https://cdn.sofifa.net/players/259/215/22_120.png,https://cdn.sofifa.net/teams/1816/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/sn.png
186801,https://sofifa.com/player/186801/cheikhou-kouyate/220002,C. Kouyaté,Cheikhou Kouyaté,"CB, CDM",78,78,9500000.0,51000.0,31,1989-12-21,189,83,1799.0,Crystal Palace,English Premier League,1.0,CDM,8.0,,2018-08-01,2022.0,136,Senegal,,,,Right,3,3,2,High/High,Lean (185+),Yes,18100000.0,#Engine,"Leadership, Long Passer (AI)",64.0,64.0,62.0,69.0,78.0,85.0,53,63,79,69,50,68,39,47,65,73,61,66,62,79,54,74,77,87,85,63,85,77,69,65,52,72,77,79,76,15,8,9,12,9,,70+2,70+2,70+2,67,69,69,69,67,68+2,68+2,68+2,68+2,71+2,71+2,71+2,68+2,73+2,75+2,75+2,75+2,73+2,74+2,78,78,78,74+2,18+2,https://cdn.sofifa.net/players/186/801/22_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
193474,https://sofifa.com/player/193474/idrissa-gueye/220002,I. Gueye,Idrissa Gana Gueye,"CDM, CM",82,82,21500000.0,88000.0,31,1989-09-26,174,66,73.0,Paris Saint-Germain,French Ligue 1,1.0,CM,27.0,,2019-07-30,2023.0,136,Senegal,,,,Right,3,3,2,Medium/High,Lean (170-185),Yes,39800000.0,#Tactician ,"Long Shot Taker (AI), Team Player",69.0,62.0,71.0,78.0,83.0,77.0,60,54,69,80,32,76,60,66,76,79,70,69,79,81,82,80,86,85,69,68,83,86,69,68,55,79,82,87,83,8,6,8,12,13,,70+2,70+2,70+2,71,72,72,72,71,73+2,73+2,73+2,73+2,77+2,77+2,77+2,73+2,79+2,81+1,81+1,81+1,79+2,79+2,81+1,81+1,81+1,79+2,18+2,https://cdn.sofifa.net/players/193/474/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/sn.png
198861,https://sofifa.com/player/198861/nampalys-mendy/220002,N. Mendy,Nampalys Mendy,"CDM, CM",75,75,4800000.0,70000.0,29,1992-06-23,167,73,95.0,Leicester City,English Premier League,1.0,SUB,24.0,,2016-07-03,2023.0,136,Senegal,,,,Right,3,3,1,Low/High,Stocky (170-),Yes,9100000.0,,,67.0,54.0,69.0,75.0,74.0,71.0,61,49,65,77,41,71,69,54,72,78,71,64,75,73,87,61,76,70,68,59,77,72,56,64,55,75,76,75,74,14,12,9,12,15,,63+2,63+2,63+2,67,66,66,66,67,69+2,69+2,69+2,68+2,71+2,71+2,71+2,68+2,72+2,74+1,74+1,74+1,72+2,72+2,73+2,73+2,73+2,72+2,20+2,https://cdn.sofifa.net/players/198/861/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
235353,https://sofifa.com/player/235353/ismaila-sarr/220002,I. Sarr,Ismaïla Sarr,"RW, RM, ST",78,86,31000000.0,53000.0,23,1998-02-25,185,76,1795.0,Watford,English Premier League,1.0,RM,23.0,,2019-08-08,2024.0,136,Senegal,,,,Right,2,4,1,High/Medium,Lean (185+),Yes,65100000.0,#Speedster,Speed Dribbler (AI),94.0,76.0,67.0,80.0,22.0,67.0,68,75,44,69,76,82,78,55,59,79,94,94,78,76,74,82,48,73,71,78,53,17,73,68,58,78,25,16,21,14,13,7,6,9,,75+2,75+2,75+2,78,77,77,77,78,75+2,75+2,75+2,76+2,66+2,66+2,66+2,76+2,55+2,49+2,49+2,49+2,55+2,50+2,39+2,39+2,39+2,50+2,18+2,https://cdn.sofifa.net/players/235/353/22_120.png,https://cdn.sofifa.net/teams/1795/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
245021,https://sofifa.com/player/245021/mamadou-loum/220002,M. Loum,Mamadou Loum N'Diaye,"CDM, CM",71,80,3900000.0,7000.0,24,1996-12-30,188,80,463.0,Deportivo Alavés,Spain Primera Division,1.0,SUB,6.0,FC Porto,,2022.0,136,Senegal,,,,Right,2,2,1,Medium/High,Normal (185+),Yes,,,Power Header,49.0,53.0,59.0,62.0,70.0,80.0,42,40,69,71,38,61,50,42,66,65,47,51,53,68,49,78,75,76,81,63,85,72,50,56,47,72,70,71,63,11,13,11,8,6,,59+2,59+2,59+2,56,59,59,59,56,60+2,60+2,60+2,58+2,65+2,65+2,65+2,58+2,64+2,70+2,70+2,70+2,64+2,64+2,71+2,71+2,71+2,64+2,16+2,https://cdn.sofifa.net/players/245/021/22_120.png,https://cdn.sofifa.net/teams/463/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/sn.png
246242,https://sofifa.com/player/246242/boulaye-dia/220002,B. Dia,Boulaye Dia,ST,77,83,17000000.0,30000.0,24,1996-11-16,180,75,483.0,Villarreal CF,Spain Primera Division,1.0,SUB,16.0,,2021-07-13,2026.0,136,Senegal,,,,Right,3,3,1,High/Medium,Normal (170-185),No,39100000.0,,Injury Prone,78.0,77.0,55.0,74.0,27.0,75.0,37,80,74,68,67,77,56,43,44,77,79,78,65,74,62,79,74,72,83,68,60,22,79,60,77,60,28,17,14,11,10,15,14,10,,77+2,77+2,77+2,71,75,75,75,71,71+2,71+2,71+2,69+2,63+2,63+2,63+2,69+2,49+2,48+2,48+2,48+2,49+2,46+2,45+2,45+2,45+2,46+2,18+2,https://cdn.sofifa.net/players/246/242/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/sn.png
