sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
177683,https://sofifa.com/player/177683/yann-sommer/220002,Y. Sommer,Yann Sommer,GK,85,85,26500000.0,40000.0,32,1988-12-17,183,79,23.0,Borussia Mönchengladbach,German 1. Bundesliga,1.0,GK,1.0,,2014-07-01,2023.0,47,Switzerland,,,,Right,4,1,3,Medium/Medium,Normal (170-185),Yes,45100000.0,,Comes For Crosses,,,,,,,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,63,73,45,68,12,38,21,15,64,24,57,9,19,12,79,81,84,86,86,50.0,32+3,32+3,32+3,32,34,34,34,32,36+3,36+3,36+3,34+3,37+3,37+3,37+3,34+3,30+3,33+3,33+3,33+3,30+3,29+3,29+3,29+3,29+3,29+3,83+2,https://cdn.sofifa.net/players/177/683/22_120.png,https://cdn.sofifa.net/teams/23/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/ch.png
223550,https://sofifa.com/player/223550/jonas-omlin/220002,J. Omlin,Jonas Omlin,GK,77,81,11000000.0,20000.0,27,1994-01-10,189,80,70.0,Montpellier Hérault SC,French Ligue 1,1.0,GK,1.0,,2020-08-12,2024.0,47,Switzerland,,,,Right,4,1,1,Medium/Medium,Normal (185+),No,22800000.0,,"Rushes Out Of Goal, Saves with Feet",,,,,,,24,17,24,45,15,27,21,16,35,31,49,51,32,74,51,55,75,35,72,18,22,25,15,48,27,55,20,21,24,77,75,73,75,79,50.0,35+2,35+2,35+2,34,36,36,36,34,37+2,37+2,37+2,36+2,37+2,37+2,37+2,36+2,34+2,35+2,35+2,35+2,34+2,33+2,34+2,34+2,34+2,33+2,76+2,https://cdn.sofifa.net/players/223/550/22_120.png,https://cdn.sofifa.net/teams/70/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/ch.png
216158,https://sofifa.com/player/216158/silvan-widmer/220002,S. Widmer,Silvan Dominic Widmer,RB,75,75,5000000.0,22000.0,28,1993-03-05,183,79,169.0,1. FSV Mainz 05,German 1. Bundesliga,1.0,RWB,30.0,,2021-07-09,2024.0,47,Switzerland,,,,Right,4,3,2,High/Medium,Normal (170-185),No,9000000.0,,,78.0,61.0,69.0,73.0,71.0,78.0,73,57,67,71,48,73,65,56,71,73,77,79,75,72,67,73,85,88,77,62,64,70,68,65,56,72,72,72,69,10,8,7,5,14,,69+2,69+2,69+2,70,70,70,70,70,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,74+1,72+2,72+2,72+2,74+1,73+2,71+2,71+2,71+2,73+2,16+2,https://cdn.sofifa.net/players/216/158/22_120.png,https://cdn.sofifa.net/teams/169/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/ch.png
229237,https://sofifa.com/player/229237/manuel-akanji/220002,M. Akanji,Manuel Obafemi Akanji,CB,80,83,25000000.0,54000.0,25,1995-07-19,187,91,22.0,Borussia Dortmund,German 1. Bundesliga,1.0,RCB,16.0,,2018-01-15,2023.0,47,Switzerland,,,,Right,4,2,2,Medium/Medium,Normal (185+),No,44400000.0,,,81.0,48.0,67.0,74.0,81.0,77.0,53,38,78,79,42,74,54,59,69,75,77,84,69,81,65,75,83,72,80,48,74,81,37,65,40,76,82,82,76,10,9,13,6,9,,64+2,64+2,64+2,65,65,65,65,65,67+2,67+2,67+2,68+2,70+2,70+2,70+2,68+2,75+2,77+2,77+2,77+2,75+2,77+2,80+2,80+2,80+2,77+2,17+2,https://cdn.sofifa.net/players/229/237/22_120.png,https://cdn.sofifa.net/teams/22/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/ch.png
233885,https://sofifa.com/player/233885/eray-comert/220002,E. Cömert,Eray Ervin Cömert,CB,71,82,3900000.0,8000.0,23,1998-02-04,183,80,896.0,FC Basel 1893,Swiss Super League,1.0,RCB,4.0,,2016-03-13,2022.0,47,Switzerland,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,6600000.0,,Power Free-Kick,78.0,44.0,54.0,56.0,70.0,76.0,36,23,67,69,36,41,40,54,59,68,74,81,70,67,67,76,85,73,80,64,69,68,33,43,35,60,70,72,73,6,8,5,7,6,,55+2,55+2,55+2,53,54,54,54,53,55+2,55+2,55+2,55+2,59+2,59+2,59+2,55+2,66+2,68+2,68+2,68+2,66+2,68+2,71+2,71+2,71+2,68+2,13+2,https://cdn.sofifa.net/players/233/885/22_120.png,https://cdn.sofifa.net/teams/896/60.png,https://cdn.sofifa.net/flags/ch.png,,https://cdn.sofifa.net/flags/ch.png
210047,https://sofifa.com/player/210047/fabian-schar/220002,F. Schär,Fabian Lukas Schär,CB,76,77,7000000.0,36000.0,29,1991-12-20,188,84,13.0,Newcastle United,English Premier League,1.0,RCB,5.0,,2018-07-26,2022.0,47,Switzerland,,,,Right,3,2,2,High/Medium,Normal (185+),Yes,13800000.0,,"Long Passer (AI), Long Shot Taker (AI)",58.0,67.0,70.0,68.0,77.0,75.0,65,60,81,72,61,66,66,66,73,71,57,59,64,74,61,77,77,71,78,73,73,79,62,69,75,74,74,78,76,8,9,11,10,15,,68+2,68+2,68+2,66,67,67,67,66,68+2,68+2,68+2,67+2,71+2,71+2,71+2,67+2,71+2,74+2,74+2,74+2,71+2,72+2,76+1,76+1,76+1,72+2,18+2,https://cdn.sofifa.net/players/210/047/22_120.png,https://cdn.sofifa.net/teams/13/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ch.png
183346,https://sofifa.com/player/183346/fabian-frei/220002,F. Frei,Fabian Frei,CDM,72,72,1600000.0,10000.0,32,1989-01-08,183,80,896.0,FC Basel 1893,Swiss Super League,1.0,RDM,20.0,,2018-01-01,2022.0,47,Switzerland,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2400000.0,,"Leadership, Team Player",57.0,70.0,71.0,69.0,69.0,74.0,70,68,67,72,71,69,70,67,72,72,54,60,59,67,63,74,68,82,74,70,63,72,68,69,66,74,70,67,65,12,15,8,11,14,,69+2,69+2,69+2,68,68,68,68,68,69+2,69+2,69+2,69+2,71+1,71+1,71+1,69+2,69+2,71+1,71+1,71+1,69+2,69+2,69+2,69+2,69+2,69+2,19+2,https://cdn.sofifa.net/players/183/346/22_120.png,https://cdn.sofifa.net/teams/896/60.png,https://cdn.sofifa.net/flags/ch.png,,https://cdn.sofifa.net/flags/ch.png
210537,https://sofifa.com/player/210537/renato-steffen/220002,R. Steffen,Renato Steffen,"LM, RM",78,78,14000000.0,61000.0,29,1991-11-03,170,65,175.0,VfL Wolfsburg,German 1. Bundesliga,1.0,LM,11.0,,2018-01-10,2023.0,47,Switzerland,,,,Left,3,3,2,High/Medium,Normal (170-),No,23800000.0,#Acrobat,"Speed Dribbler (AI), Outside Foot Shot",79.0,75.0,74.0,80.0,48.0,65.0,76,75,70,77,77,79,79,72,67,78,84,74,90,78,91,77,90,76,57,75,67,38,75,73,55,75,54,39,52,16,13,12,8,6,,75+2,75+2,75+2,77,77,77,77,77,77+1,77+1,77+1,77+1,71+2,71+2,71+2,77+1,65+2,61+2,61+2,61+2,65+2,63+2,57+2,57+2,57+2,63+2,18+2,https://cdn.sofifa.net/players/210/537/22_120.png,https://cdn.sofifa.net/teams/175/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/ch.png
229261,https://sofifa.com/player/229261/denis-zakaria/220002,D. Zakaria,Denis Lemi Zakaria Lako Lado,"CDM, CB",80,86,30500000.0,28000.0,24,1996-11-20,191,81,23.0,Borussia Mönchengladbach,German 1. Bundesliga,1.0,SUB,8.0,,2017-07-01,2022.0,47,Switzerland,,,,Right,3,3,2,High/Medium,Normal (185+),Yes,58000000.0,,Playmaker (AI),83.0,64.0,72.0,75.0,80.0,84.0,67,66,67,79,35,76,63,46,73,76,79,86,67,82,64,73,66,81,87,63,85,80,65,73,38,83,81,82,79,12,12,7,13,11,,72+2,72+2,72+2,74,74,74,74,74,74+2,74+2,74+2,75+2,76+2,76+2,76+2,75+2,79+2,79+2,79+2,79+2,79+2,79+2,80+2,80+2,80+2,79+2,19+2,https://cdn.sofifa.net/players/229/261/22_120.png,https://cdn.sofifa.net/teams/23/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/ch.png
202024,https://sofifa.com/player/202024/remo-freuler/220002,R. Freuler,Remo Marco Freuler,CM,80,80,20500000.0,58000.0,29,1992-04-15,180,80,39.0,Atalanta,Italian Serie A,1.0,LCM,11.0,,2016-01-20,2022.0,47,Switzerland,,,,Right,3,4,2,Medium/Medium,Normal (170-185),No,34900000.0,,,69.0,71.0,77.0,78.0,75.0,73.0,72,68,41,81,68,78,60,70,80,81,68,69,69,83,62,73,55,87,69,75,72,79,78,79,61,83,80,79,73,12,8,9,14,13,,71+2,71+2,71+2,76,76,76,76,76,78+2,78+2,78+2,77+2,80,80,80,77+2,78+2,79+1,79+1,79+1,78+2,76+2,73+2,73+2,73+2,76+2,19+2,https://cdn.sofifa.net/players/202/024/22_120.png,https://cdn.sofifa.net/teams/39/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/ch.png
