sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
182494,https://sofifa.com/player/182494/fernando-muslera/220002,F. Muslera,Néstor Fernando Muslera Micol,GK,80,80,2300000.0,32000.0,35,1986-06-16,190,74,325.0,Galatasaray SK,Turkish Süper Lig,1.0,GK,1.0,,2011-08-11,2024.0,60,Uruguay,,,,Right,2,1,3,Medium/Medium,Normal (185+),No,4600000.0,,"Leadership, GK Long Throw, Team Player, Rushes Out Of Goal",,,,,,,15,10,12,44,10,25,14,10,47,27,60,62,68,78,62,54,84,40,68,10,32,23,13,62,24,60,12,16,16,78,80,72,82,79,61.0,32+3,32+3,32+3,35,36,36,36,35,39+3,39+3,39+3,37+3,39+3,39+3,39+3,37+3,32+3,35+3,35+3,35+3,32+3,31+3,30+3,30+3,30+3,31+3,79+1,https://cdn.sofifa.net/players/182/494/22_120.png,https://cdn.sofifa.net/teams/325/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/uy.png
223690,https://sofifa.com/player/223690/sergio-rochet/220002,S. Rochet,Sergio Ramón Rochet Álvarez,GK,76,78,6500000.0,1000.0,28,1993-03-23,190,82,111325.0,Club Nacional de Football,Uruguayan Primera División,1.0,GK,1.0,,2019-07-03,2023.0,60,Uruguay,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,14800000.0,,"Leadership, Cautious With Crosses",,,,,,,14,13,17,27,17,19,18,15,24,24,49,48,30,66,48,50,60,39,67,17,18,24,20,32,24,37,14,12,17,76,78,67,76,77,49.0,31+2,31+2,31+2,28,30,30,30,28,28+2,28+2,28+2,29+2,28+2,28+2,28+2,29+2,28+2,27+2,27+2,27+2,28+2,27+2,27+2,27+2,27+2,27+2,75+2,https://cdn.sofifa.net/players/223/690/22_120.png,https://cdn.sofifa.net/teams/111325/60.png,https://cdn.sofifa.net/flags/uy.png,,https://cdn.sofifa.net/flags/uy.png
240716,https://sofifa.com/player/240716/mathias-olivera/220002,M. Olivera,Mathías Olivera Miramontes,"LB, LM",76,84,16000000.0,21000.0,23,1997-10-31,184,78,1860.0,Getafe CF,Spain Primera Division,1.0,LB,17.0,,2017-08-14,2025.0,60,Uruguay,,,,Left,3,3,1,High/Medium,Normal (170-185),No,36800000.0,,,76.0,50.0,65.0,70.0,74.0,77.0,72,49,71,68,38,70,67,41,60,73,74,77,67,78,48,56,75,78,75,48,79,75,63,60,42,70,72,76,75,14,14,12,13,15,,64+2,64+2,64+2,67,66,66,66,67,66+2,66+2,66+2,69+2,67+2,67+2,67+2,69+2,74+2,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,74+2,21+2,https://cdn.sofifa.net/players/240/716/22_120.png,https://cdn.sofifa.net/teams/1860/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/uy.png
216460,https://sofifa.com/player/216460/jose-maria-gimenez/220002,J. Giménez,José María Giménez de Vargas,CB,84,88,52000000.0,74000.0,26,1995-01-20,185,79,240.0,Atlético de Madrid,Spain Primera Division,1.0,CB,2.0,,2013-07-01,2025.0,60,Uruguay,,,,Right,3,2,2,Medium/High,Normal (185+),Yes,110500000.0,#Tackling ,"Injury Prone, Dives Into Tackles (AI)",69.0,45.0,57.0,59.0,86.0,80.0,47,37,83,70,30,54,36,44,67,66,70,69,52,78,40,72,90,60,86,48,88,84,24,46,38,76,87,87,86,9,11,7,10,15,,58+2,58+2,58+2,55,56,56,56,55,56+2,56+2,56+2,57+2,62+2,62+2,62+2,57+2,72+2,76+2,76+2,76+2,72+2,75+2,84+2,84+2,84+2,75+2,18+2,https://cdn.sofifa.net/players/216/460/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/uy.png
182493,https://sofifa.com/player/182493/diego-godin/220002,D. Godín,Diego Roberto Godín Leal,CB,80,80,5500000.0,27000.0,35,1986-02-16,187,78,1842.0,Cagliari,Italian Serie A,1.0,CB,2.0,,2020-09-24,2023.0,60,Uruguay,,,,Right,3,2,3,Medium/High,Lean (185+),Yes,9400000.0,,"Dives Into Tackles (AI), Power Header",57.0,48.0,63.0,61.0,80.0,78.0,52,42,82,77,47,53,49,49,70,72,59,55,57,74,53,67,89,67,82,43,81,79,48,52,50,78,80,81,79,6,8,15,5,15,,61+3,61+3,61+3,58,59,59,59,58,60+3,60+3,60+3,60+3,66+3,66+3,66+3,60+3,70+3,76+3,76+3,76+3,70+3,72+3,79+1,79+1,79+1,72+3,16+3,https://cdn.sofifa.net/players/182/493/22_120.png,https://cdn.sofifa.net/teams/1842/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/uy.png
197655,https://sofifa.com/player/197655/sebastian-coates/220002,S. Coates,Sebastián Coates Nión,CB,83,83,30000000.0,21000.0,30,1990-10-07,196,92,237.0,Sporting CP,Portuguese Liga ZON SAGRES,1.0,CB,4.0,,2017-01-31,2023.0,60,Uruguay,,,,Right,3,2,3,Medium/Medium,Normal (185+),Yes,60000000.0,"#Aerial Threat, #Tackling, #Strength","Solid Player, Dives Into Tackles (AI), Leadership, Long Passer (AI), Team Player",68.0,49.0,55.0,63.0,84.0,87.0,17,55,82,74,48,65,39,19,72,70,65,70,37,77,31,50,57,80,94,30,84,82,49,60,72,79,85,86,85,16,13,15,16,13,,64+3,64+3,64+3,58,63,63,63,58,63+3,63+3,63+3,62+3,69+3,69+3,69+3,62+3,71+3,79+3,79+3,79+3,71+3,74+3,83,83,83,74+3,21+3,https://cdn.sofifa.net/players/197/655/22_120.png,https://cdn.sofifa.net/teams/237/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/uy.png
253306,https://sofifa.com/player/253306/manuel-ugarte/220002,M. Ugarte,Manuel Ugarte Ribeiro,"CM, CDM",72,84,5500000.0,7000.0,20,2001-04-11,182,77,237.0,Sporting CP,Portuguese Liga ZON SAGRES,1.0,SUB,15.0,,2021-08-09,2026.0,60,Uruguay,,,,Right,3,3,1,High/High,Normal (170-185),No,12100000.0,,Dives Into Tackles (AI),68.0,59.0,63.0,71.0,69.0,70.0,46,61,39,74,39,73,43,38,72,74,67,68,66,73,59,54,49,75,72,64,65,73,69,67,42,54,69,75,73,6,10,16,8,13,,64+2,64+2,64+2,68,68,68,68,68,70+2,70+2,70+2,68+2,72+2,72+2,72+2,68+2,69+2,72+2,72+2,72+2,69+2,69+2,68+2,68+2,68+2,69+2,17+2,https://cdn.sofifa.net/players/253/306/22_120.png,https://cdn.sofifa.net/teams/237/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/uy.png
219985,https://sofifa.com/player/219985/matias-vecino/220002,M. Vecino,Matías Vecino Falero,"CM, CDM",78,78,13500000.0,88000.0,29,1991-08-24,187,81,44.0,Inter,Italian Serie A,1.0,SUB,8.0,,2017-08-02,2022.0,60,Uruguay,,,,Right,3,3,2,High/Medium,Lean (185+),No,23000000.0,,,65.0,71.0,75.0,77.0,76.0,73.0,69,68,79,80,62,77,64,58,77,81,65,65,69,77,65,78,75,77,72,75,72,77,76,80,56,81,77,77,69,4,4,4,4,4,,74+2,74+2,74+2,74,76,76,76,74,77+1,77+1,77+1,75+2,78,78,78,75+2,75+2,77+1,77+1,77+1,75+2,74+2,76+2,76+2,76+2,74+2,12+2,https://cdn.sofifa.net/players/219/985/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/uy.png
240699,https://sofifa.com/player/240699/nicolas-de-la-cruz/220002,N. De la Cruz,Diego Nicolás De La Cruz Arcosa,"CM, CAM, LW",78,84,22000000.0,17000.0,24,1997-06-01,167,65,1876.0,River Plate,Argentina Primera División,1.0,RAM,11.0,,2017-08-15,2022.0,60,Uruguay,,,,Right,4,4,1,High/High,Normal (170-),No,35200000.0,"#Engine, #Acrobat","Long Shot Taker (AI), Speed Dribbler (AI)",84.0,75.0,77.0,81.0,69.0,67.0,72,73,69,79,72,81,83,76,72,78,86,83,92,77,86,80,83,93,44,75,87,71,79,80,69,82,64,74,64,9,6,9,7,9,,75+2,75+2,75+2,79,79,79,79,79,79+2,79+2,79+2,79+2,78+2,78+2,78+2,79+2,76+2,74+2,74+2,74+2,76+2,75+2,70+2,70+2,70+2,75+2,15+2,https://cdn.sofifa.net/players/240/699/22_120.png,https://cdn.sofifa.net/teams/1876/60.png,https://cdn.sofifa.net/flags/ar.png,,https://cdn.sofifa.net/flags/uy.png
253283,https://sofifa.com/player/253283/facundo-pellistri/220002,F. Pellistri,Facundo Pellistri Rebollo,RM,70,86,4100000.0,27000.0,19,2001-12-20,175,65,463.0,Deportivo Alavés,Spain Primera Division,1.0,SUB,18.0,Manchester United,,2022.0,60,Uruguay,,,,Right,3,3,1,High/Medium,Lean (170-185),No,,,Technical Dribbler (AI),79.0,63.0,65.0,74.0,27.0,61.0,67,62,50,68,56,74,61,62,58,71,78,79,84,65,84,68,73,74,61,61,42,31,66,64,66,65,35,11,18,9,12,7,8,7,,65+2,65+2,65+2,70,68,68,68,70,68+2,68+2,68+2,69+2,62+2,62+2,62+2,69+2,53+2,48+2,48+2,48+2,53+2,49+2,40+2,40+2,40+2,49+2,15+2,https://cdn.sofifa.net/players/253/283/22_120.png,https://cdn.sofifa.net/teams/463/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/uy.png
