sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
170084,https://sofifa.com/player/170084/wayne-hennessey/220002,W. Hennessey,Wayne Robert Hennessey,GK,74,74,725000.0,22000.0,34,1987-01-24,198,90,1796.0,Burnley,English Premier League,1.0,SUB,13.0,,2021-07-20,2023.0,50,Wales,1367.0,SUB,1.0,Right,3,1,2,Medium/Medium,Lean (185+),Yes,1400000.0,,"Rushes Out Of Goal, Comes For Crosses",,,,,,,11,12,14,29,10,8,12,11,41,23,40,41,48,66,51,58,41,29,68,10,21,22,14,58,17,55,13,18,13,76,74,77,74,71,40.0,28+2,28+2,28+2,26,29,29,29,26,30+2,30+2,30+2,28+2,32+2,32+2,32+2,28+2,25+2,30+2,30+2,30+2,25+2,25+2,26+2,26+2,26+2,25+2,73+1,https://cdn.sofifa.net/players/170/084/22_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
207998,https://sofifa.com/player/207998/danny-ward/220002,D. Ward,Danny Ward,GK,74,74,3000000.0,53000.0,28,1993-06-22,191,88,95.0,Leicester City,English Premier League,1.0,SUB,12.0,,2018-07-21,2022.0,50,Wales,1367.0,GK,12.0,Right,3,1,1,Medium/Medium,Normal (185+),Yes,5700000.0,,,,,,,,,13,11,13,30,13,19,15,14,42,23,46,44,38,70,53,50,67,22,60,16,32,20,7,38,20,56,8,20,18,75,72,66,73,75,45.0,28+2,28+2,28+2,27,28,28,28,27,29+2,29+2,29+2,28+2,30+2,30+2,30+2,28+2,26+2,29+2,29+2,29+2,26+2,26+2,27+2,27+2,27+2,26+2,73+1,https://cdn.sofifa.net/players/207/998/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
200715,https://sofifa.com/player/200715/adam-davies/220002,A. Davies,Adam Rhys Davies,GK,71,73,1600000.0,14000.0,28,1992-07-17,185,80,1806.0,Stoke City,English League Championship,2.0,SUB,1.0,,2019-07-01,2022.0,50,Wales,1367.0,SUB,21.0,Right,3,1,1,Medium/Medium,Normal (185+),No,3200000.0,,Cautious With Crosses,,,,,,,12,11,16,25,13,12,16,18,13,16,40,40,39,70,40,50,46,29,47,15,31,15,8,40,23,47,18,16,13,71,68,67,69,71,40.0,26+2,26+2,26+2,24,26,26,26,24,25+2,25+2,25+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,25+2,25+2,25+2,24+2,70+2,https://cdn.sofifa.net/players/200/715/22_120.png,https://cdn.sofifa.net/teams/1806/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
173752,https://sofifa.com/player/173752/chris-gunter/220002,C. Gunter,Christopher Ross Gunter,"RB, CB",64,64,425000.0,2000.0,31,1989-07-21,180,71,89.0,Charlton Athletic,English League One,3.0,LB,2.0,,2020-10-08,2022.0,50,Wales,1367.0,SUB,2.0,Right,4,2,1,Medium/High,Lean (170-185),No,744000.0,,"Solid Player, Team Player",66.0,46.0,55.0,59.0,62.0,68.0,57,44,58,55,52,55,56,23,58,60,65,67,71,60,66,48,65,76,67,41,62,62,59,58,47,62,62,63,62,12,8,16,16,9,,55+2,55+2,55+2,57,56,56,56,57,57+2,57+2,57+2,59+2,58+2,58+2,58+2,59+2,62+2,61+2,61+2,61+2,62+2,62+2,62+2,62+2,62+2,62+2,17+2,https://cdn.sofifa.net/players/173/752/22_120.png,https://cdn.sofifa.net/teams/89/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
229266,https://sofifa.com/player/229266/joe-rodon/220002,J. Rodon,Joe Rodon,CB,72,81,4900000.0,40000.0,23,1997-10-22,193,76,18.0,Tottenham Hotspur,English Premier League,1.0,RES,14.0,,2020-10-16,2025.0,50,Wales,1367.0,RCB,6.0,Right,4,2,1,Medium/Medium,Lean (185+),Yes,10300000.0,,,58.0,29.0,49.0,57.0,74.0,72.0,34,23,67,70,34,53,25,32,60,62,54,62,47,73,55,43,66,67,77,24,65,80,23,31,40,61,72,74,71,10,13,7,11,8,,48+2,48+2,48+2,48,48,48,48,48,50+2,50+2,50+2,51+2,56+2,56+2,56+2,51+2,65+2,69+2,69+2,69+2,65+2,67+2,72+2,72+2,72+2,67+2,17+2,https://cdn.sofifa.net/players/229/266/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
225147,https://sofifa.com/player/225147/connor-roberts/220002,C. Roberts,Connor Roberts,"RWB, RB",75,78,7000000.0,28000.0,25,1995-09-23,175,76,1796.0,Burnley,English Premier League,1.0,SUB,14.0,,2021-08-31,2025.0,50,Wales,1367.0,RB,14.0,Right,4,3,1,High/Medium,Normal (170-185),Yes,13800000.0,,Long Throw-in,80.0,48.0,65.0,67.0,68.0,72.0,73,48,53,71,35,67,45,47,58,67,79,80,71,68,70,50,67,91,65,50,69,69,61,62,41,62,68,72,68,6,12,8,12,13,,60+2,60+2,60+2,66,64,64,64,66,65+2,65+2,65+2,69+2,66+2,66+2,66+2,69+2,73+2,69+2,69+2,69+2,73+2,72+2,67+2,67+2,67+2,72+2,17+2,https://cdn.sofifa.net/players/225/147/22_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
233201,https://sofifa.com/player/233201/chris-mepham/220002,C. Mepham,Christopher James Mepham,CB,72,80,4900000.0,19000.0,23,1997-11-05,191,75,1943.0,AFC Bournemouth,English League Championship,2.0,SUB,6.0,,2019-01-22,2023.0,50,Wales,1367.0,LCB,22.0,Right,3,2,1,Medium/High,Normal (185+),Yes,10300000.0,,Injury Prone,60.0,37.0,55.0,61.0,73.0,73.0,38,32,71,68,33,58,41,35,63,66,57,62,51,68,64,52,74,65,77,32,73,72,39,53,44,67,72,75,73,10,10,12,14,12,,53+2,53+2,53+2,53,54,54,54,53,56+2,56+2,56+2,56+2,61+2,61+2,61+2,56+2,65+2,69+2,69+2,69+2,65+2,66+2,72+2,72+2,72+2,66+2,18+2,https://cdn.sofifa.net/players/233/201/22_120.png,https://cdn.sofifa.net/teams/1943/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
248687,https://sofifa.com/player/248687/ben-cabango/220002,B. Cabango,Benjamin Cabango,CB,72,82,4900000.0,14000.0,21,2000-05-30,188,81,1960.0,Swansea City,English League Championship,2.0,RCB,5.0,,2018-07-01,2023.0,50,Wales,,,,Right,2,2,1,Medium/Medium,Stocky (185+),No,10300000.0,,,65.0,28.0,42.0,48.0,72.0,74.0,31,24,68,61,26,38,29,25,39,57,63,67,45,71,57,36,77,63,80,26,70,74,27,29,38,55,71,74,72,8,11,7,9,9,,46+2,46+2,46+2,45,45,45,45,45,45+2,45+2,45+2,47+2,50+2,50+2,50+2,47+2,62+2,64+2,64+2,64+2,62+2,65+2,72+2,72+2,72+2,65+2,16+2,https://cdn.sofifa.net/players/248/687/22_120.png,https://cdn.sofifa.net/teams/1960/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-wls.png
184716,https://sofifa.com/player/184716/joe-allen/220002,J. Allen,Joseph Michael Allen,"CM, CDM",70,70,1300000.0,16000.0,31,1990-03-14,168,62,1806.0,Stoke City,English League Championship,2.0,CM,4.0,,2016-07-26,2022.0,50,Wales,1367.0,RDM,7.0,Right,2,3,1,High/High,Lean (170-),Yes,2500000.0,,Injury Prone,66.0,61.0,69.0,73.0,70.0,68.0,67,60,52,73,54,68,66,59,71,73,67,66,82,69,91,67,81,77,60,56,74,72,67,66,60,78,72,71,70,10,13,12,6,8,,64+2,64+2,64+2,68,67,67,67,68,69+1,69+1,69+1,69+1,70,70,70,69+1,71-1,71-1,71-1,71-1,71-1,70,69+1,69+1,69+1,70,16+2,https://cdn.sofifa.net/players/184/716/22_120.png,https://cdn.sofifa.net/teams/1806/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
233050,https://sofifa.com/player/233050/matt-smith/220002,M. Smith,Matthew Robert Smith,CDM,67,77,2200000.0,3000.0,21,1999-11-22,175,71,1952.0,Hull City,English League Championship,2.0,SUB,20.0,,2017-08-15,2023.0,50,Wales,,,,Right,2,3,1,Low/Medium,Lean (170-185),Yes,4500000.0,,"Dives Into Tackles (AI), Long Passer (AI), Playmaker (AI)",72.0,56.0,66.0,68.0,61.0,71.0,62,55,48,70,38,67,64,56,68,69,71,73,70,67,74,62,68,78,69,57,68,63,64,66,45,67,62,62,59,13,6,11,12,11,,62+2,62+2,62+2,66,65,65,65,66,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,65+2,63+2,63+2,63+2,65+2,17+2,https://cdn.sofifa.net/players/233/050/22_120.png,https://cdn.sofifa.net/teams/1952/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-wls.png
