,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
16795,259215,https://sofifa.com/player/259215/formose-mendy/220002,F. Mendy,Formose Mendy,"CB, RB",58,69,425000.0,750.0,20,2001-01-02,191,79,1816.0,Amiens SC,French Ligue 2,2.0,SUB,5.0,,2021-07-07,2025.0,136,Senegal,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,850000.0,,,71.0,25.0,39.0,39.0,59.0,62.0,43,23,64,48,26,35,26,25,38,41,65,75,48,45,47,32,70,60,70,20,40,56,21,29,31,38,58,62,55,8,12,7,7,15,,40+2,40+2,40+2,40,38,38,38,40,38+2,38+2,38+2,42+2,41+2,41+2,41+2,42+2,53+2,51+2,51+2,51+2,53+2,55+2,58+2,58+2,58+2,55+2,14+2,https://cdn.sofifa.net/players/259/215/22_120.png,https://cdn.sofifa.net/teams/1816/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/sn.png
56,201024,https://sofifa.com/player/201024/kalidou-koulibaly/220002,K. Koulibaly,Kalidou Koulibaly,CB,86,86,55500000.0,105000.0,30,1991-06-20,187,89,48.0,Napoli,Italian Serie A,1.0,LCB,26.0,,2014-07-01,2023.0,136,Senegal,,,,Right,3,2,3,Medium/High,Unique,Yes,94400000.0,"#Tackling, #Strength",Power Header,81.0,28.0,51.0,65.0,87.0,85.0,30,22,84,63,14,69,28,28,63,64,74,87,51,83,34,55,82,70,94,15,83,85,35,52,33,82,90,88,86,7,11,7,13,5,,56+3,56+3,56+3,55,57,57,57,55,57+3,57+3,57+3,59+3,62+3,62+3,62+3,59+3,73+3,76+3,76+3,76+3,73+3,76+3,85+1,85+1,85+1,76+3,17+3,https://cdn.sofifa.net/players/201/024/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/sn.png
3684,236723,https://sofifa.com/player/236723/fode-ballo-toure/220002,F. Ballo-Touré,Fodé Ballo-Touré,"LB, LM",72,76,3100000.0,20000.0,24,1997-01-03,182,70,47.0,AC Milan,Italian Serie A,1.0,SUB,5.0,,2021-07-19,2025.0,136,Senegal,,,,Left,2,3,1,High/Medium,Normal (170-185),No,5500000.0,,,85.0,51.0,67.0,70.0,66.0,72.0,71,49,58,71,39,72,68,49,65,71,86,85,69,65,69,56,62,76,71,52,74,65,64,64,53,63,66,70,68,14,14,7,11,8,,63+2,63+2,63+2,69,66,66,66,69,67+2,67+2,67+2,70+2,67+2,67+2,67+2,70+2,71+2,69+2,69+2,69+2,71+2,70+2,68+2,68+2,68+2,70+2,17+2,https://cdn.sofifa.net/players/236/723/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/sn.png
1307,215699,https://sofifa.com/player/215699/youssouf-sabaly/220002,Y. Sabaly,Youssouf Sabaly,"RB, RM",76,76,7000000.0,22000.0,28,1993-03-05,173,67,449.0,Real Betis Balompié,Spain Primera Division,1.0,SUB,23.0,,2021-07-01,2026.0,136,Senegal,,,,Right,3,3,2,Medium/Medium,Normal (170-185),No,14700000.0,,Early Crosser,78.0,46.0,63.0,71.0,73.0,70.0,74,43,55,73,37,71,59,38,60,69,77,78,73,73,82,53,70,77,68,44,67,75,72,45,43,70,75,75,73,9,11,8,15,11,,62+2,62+2,62+2,67,64,64,64,67,64+2,64+2,64+2,69+2,66+2,66+2,66+2,69+2,74+2,71+2,71+2,71+2,74+2,74+2,71+2,71+2,71+2,74+2,18+2,https://cdn.sofifa.net/players/215/699/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/sn.png
794,225711,https://sofifa.com/player/225711/abdou-diallo/220002,A. Diallo,Abdou Diallo,"CB, LB",78,82,17500000.0,62000.0,25,1996-05-04,187,79,73.0,Paris Saint-Germain,French Ligue 1,1.0,SUB,22.0,,2019-07-16,2024.0,136,Senegal,,,,Left,3,3,2,Medium/Medium,Normal (185+),Yes,33700000.0,,Injury Prone,74.0,39.0,71.0,76.0,78.0,77.0,69,38,78,78,39,75,58,32,76,78,72,76,73,77,71,51,84,74,77,24,77,78,61,69,41,81,77,78,81,12,7,7,7,8,,63+2,63+2,63+2,68,66,66,66,68,69+2,69+2,69+2,71+2,72+2,72+2,72+2,71+2,76+2,77+2,77+2,77+2,76+2,77+2,78+2,78+2,78+2,77+2,16+2,https://cdn.sofifa.net/players/225/711/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/sn.png
1586,198861,https://sofifa.com/player/198861/nampalys-mendy/220002,N. Mendy,Nampalys Mendy,"CDM, CM",75,75,4800000.0,70000.0,29,1992-06-23,167,73,95.0,Leicester City,English Premier League,1.0,SUB,24.0,,2016-07-03,2023.0,136,Senegal,,,,Right,3,3,1,Low/High,Stocky (170-),Yes,9100000.0,,,67.0,54.0,69.0,75.0,74.0,71.0,61,49,65,77,41,71,69,54,72,78,71,64,75,73,87,61,76,70,68,59,77,72,56,64,55,75,76,75,74,14,12,9,12,15,,63+2,63+2,63+2,67,66,66,66,67,69+2,69+2,69+2,68+2,71+2,71+2,71+2,68+2,72+2,74+1,74+1,74+1,72+2,72+2,73+2,73+2,73+2,72+2,20+2,https://cdn.sofifa.net/players/198/861/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
5380,250858,https://sofifa.com/player/250858/pathe-ciss/220002,P. Ciss,Ismaila Pathé Ciss,"CDM, CM",70,73,1800000.0,10000.0,27,1994-03-16,185,71,480.0,Rayo Vallecano,Spain Primera Division,1.0,SUB,21.0,,2021-07-28,2025.0,136,Senegal,,,,Right,3,2,1,Low/High,Lean (185+),No,4100000.0,,Solid Player,66.0,51.0,57.0,55.0,70.0,83.0,48,45,74,66,32,48,33,30,62,62,67,65,58,69,59,70,83,89,81,51,78,70,60,60,40,55,67,71,68,13,5,11,14,13,,61+2,61+2,61+2,57,59,59,59,57,59+2,59+2,59+2,60+2,64+2,64+2,64+2,60+2,66+2,69+2,69+2,69+2,66+2,68+2,71+2,71+2,71+2,68+2,18+2,https://cdn.sofifa.net/players/250/858/22_120.png,https://cdn.sofifa.net/teams/480/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/sn.png
1125,246242,https://sofifa.com/player/246242/boulaye-dia/220002,B. Dia,Boulaye Dia,ST,77,83,17000000.0,30000.0,24,1996-11-16,180,75,483.0,Villarreal CF,Spain Primera Division,1.0,SUB,16.0,,2021-07-13,2026.0,136,Senegal,,,,Right,3,3,1,High/Medium,Normal (170-185),No,39100000.0,,Injury Prone,78.0,77.0,55.0,74.0,27.0,75.0,37,80,74,68,67,77,56,43,44,77,79,78,65,74,62,79,74,72,83,68,60,22,79,60,77,60,28,17,14,11,10,15,14,10,,77+2,77+2,77+2,71,75,75,75,71,71+2,71+2,71+2,69+2,63+2,63+2,63+2,69+2,49+2,48+2,48+2,48+2,49+2,46+2,45+2,45+2,45+2,46+2,18+2,https://cdn.sofifa.net/players/246/242/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/sn.png
1417,238227,https://sofifa.com/player/238227/krepin-diatta/220002,K. Diatta,Krépin Diatta,RM,76,83,15000000.0,38000.0,22,1999-02-25,175,69,69.0,AS Monaco,French Ligue 1,1.0,SUB,27.0,,2021-01-22,2025.0,136,Senegal,,,,Right,4,4,1,High/Medium,Lean (170-185),No,31500000.0,"#Speedster, #Acrobat",Speed Dribbler (AI),93.0,69.0,66.0,78.0,47.0,69.0,67,68,62,69,68,79,62,42,65,74,92,94,91,70,78,73,94,89,62,73,57,48,65,69,59,71,55,32,50,10,8,11,11,12,,71+2,71+2,71+2,75,73,73,73,75,73+2,73+2,73+2,75+2,68+2,68+2,68+2,75+2,66+2,60+2,60+2,60+2,66+2,63+2,55+2,55+2,55+2,63+2,17+2,https://cdn.sofifa.net/players/238/227/22_120.png,https://cdn.sofifa.net/teams/69/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/sn.png
5878,223283,https://sofifa.com/player/223283/famara-diedhiou/220002,F. Diédhiou,Famara Diédhiou,ST,69,69,1400000.0,8000.0,28,1992-12-15,189,80,113142.0,Aytemiz Alanyaspor,Turkish Süper Lig,1.0,ST,14.0,,2021-07-20,2025.0,136,Senegal,,,,Right,3,3,1,High/High,Normal (185+),No,2800000.0,,Power Header,59.0,69.0,47.0,66.0,31.0,73.0,33,71,76,57,63,66,53,33,42,69,52,65,60,65,58,75,65,59,85,58,61,22,71,50,75,63,37,22,16,7,10,15,11,12,,69,69,69,61,65,65,65,61,61+2,61+2,61+2,59+2,55+2,55+2,55+2,59+2,44+2,45+2,45+2,45+2,44+2,42+2,46+2,46+2,46+2,42+2,16+2,https://cdn.sofifa.net/players/223/283/22_120.png,https://cdn.sofifa.net/teams/113142/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/sn.png
