,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,Qatar : Players,Saad Al Sheeb,Yousef Hassan,Meshaal Barsham,Ró-Ró,Abdelkarim Hassan,Tarek Salman,Musab Khoder,Homam Ahmed,Bassam Al-Rawi,Assim Madibo,Jassem Ghaber,Mohammed Abdulwahab,Salem Al-Hajri,Abdulaziz Hatem,Karim Boudiaf,Boualem Khoukhi,Mashaal Tarek,Ali Assadalla,Ismaeel Mohammed,Mazeed,Naif Al-Hadhrami,Ahmed Alaaeldin,Mohammed Muntari,Hassan Al-Haydos,Afif Ak.,Almoez Ali,
1,Senegal : Players,Seny Dieng,Edouard Mendy,Gomis A.,Formose Mendy,Kalidou Koulibaly,Cissé Pape,Cheikhou Kouyate,Moussa N'Diaye,Fodé Ballo-Touré,Ismail Jakobs,Youssouf Sabaly,Abdou Diallo,Gueye P.A.,Gueye I.,Nampalys Mendy,Pathé Ciss,Pape Sarr,Ismaila Sarr,Loum Ndiaye,Nicolas Jackson,Iliman Ndiaye,Boulaye Dia,Krépin Diatta,Famara Diédhiou,Dieng A.,Moustapha Name,
2,Morocco : Players,Yassine Bounou,Munir,Ahmed Tagnaouti,Achraf Hakimi,Nayef Aguerd,Jawad El Yamiq,Achraf Dari,Badr Benoun,Azzedine Ounahi,Noussair Mazraoui,Sofyan Amrabat,Romain Saiss,Abdelhamid Sabiri,Ilias Chair,Abde Ezzalzouli,Sofiane Boufal,Yahya Jabrane,Hakim Ziyech,Selim Amallah,Bilal El Khannouss,Abderrazak Hamed-Allah,Anass Zaroury,Zakaria Aboukhlal,Youssef En Nesyri,Walid Cheddira,Yahia Attiyat-Allah,
3,Japan : Players,Shuichi Gonda,Daniel Schmidt,Eiji Kawashima,Yuto Nagatomo,Hiroki Sakai,Maya Yoshida,Wataru Endo,Hiroki Ito,Miki Yamane,Shogo Taniguchi,Ko Itakura,Takehiro Tomiyasu,Ritsu Doan,Hidemasa Morita,Ao Tanaka,Kaoru Mitoma,Gaku Shibasaki,Takefusa Kubo,Daichi Kamada,Yuki Soma,Takuma Asano,Takumi Minamino,Junya Ito,Shuto Machino,Daizen Maeda,Ayase Ueda,
4,Netherlands : Players,Remko Pasveer,Justin Bijlow,Andries Noppert,Jurrien Timber,Matthijs de Ligt,van Dijk,Nathan Ake,Stefan de Vrij,Tyrell Malacia,Daley Blind,Denzel Dumfries,Jeremie Frimpong,Teun Koopmeiners,Frenkie de Jong,Marten de Roon,Kenneth Taylor,Xavi Simons,Memphis Depay,Lang N.,Steven Bergwijn,Cody Gakpo,Luuk de Jong,Steven Berghuis,Davy Klaassen,Vincent Janssen,Wout Weghorst,
5,Iran : Players,Alireza Beiranvand,Payam Niazmand,Amir Abedzadeh,Hossein Hosseini,Sadegh Moharrami,Shoja Khalilzadeh,Milad Mohammadi,Morteza Pouraliganji,Hossein Kanaani,Rouzbeh Cheshmi,Majid Hosseini,Ramin Rezaeian,Abolfazl Jalali,Ali Karimi,Ehsan Hajsafi,Saeid Ezatolahi,Vahid Amiri,Mehdi Torabi,Ali Gholizadeh,Ahmad Nourollahi,Alireza Jahanbakhsh,Mehdi Taremi,Karim Ansarifard,Saman Ghoddos,Sardar Azmoun,,
6,Serbia : Players,Marko Dmitrović,Marko Ilić,Predrag Rajković,Vanja Milinkovic-Savic,Strahinja Pavlović,Filip Mladenovic,Nikola Milenković,Srđan Babić,Strahinja Erakovic,Stefan Mitrovic,Milos Veljkovic,Uroš Račić,Nemanja Maksimovic,Nemanja Gudelj,Marko Grujic,Sasa Lukic,Sergej Milinković-Savić,Filip Djuricic,Darko Lazović,Nemanja Radonjić,Aleksandar Mitrovic,Dusan Tadic,Andrija Živković,Filip Kostic,Luka Jovic,Dušan Vlahović,
7,France : Players,Hugo Lloris,Steve Mandanda,Alphonse Areola,Benjamin Pavard,Axel Disasi,Raphael Varane,Jules Kounde,William Saliba,Dayot Upamecano,Lucas Hernandez,Theo Hernández,Ibrahima Konaté,Youssouf Fofana,Matteo Guendouzi,Aurélien Tchouaméni,Adrien Rabiot,Jordan Veretout,Kingsley Coman,Eduardo Camavinga,Antoine Griezmann,Olivier Giroud,Kylian Mbappé,Ousmane Dembele,Kolo Muani,Karim Benzema,Marcus Thuram,
8,Croatia : Players,Dominik Livaković,Ivo Grbić,Ivica Ivušić,Josip Stanišić,Borna Barišić,Martin Erlić,Dejan Lovren,Borna Sosa,Josko Gvardiol,Domagoj Vida,Josip Juranović,Josip Šutalo,Ivan Perišić,Lovro Majer,Mateo Kovacic,Luka Modric,Marcelo Brozovic,Nikola Vlasic,Mario Pasalic,Luka Sucic,Kristijan Jakić,Andrej Kramaric,Marko Livaja,Bruno Petković,Mario Budimir,Mislav Oršić,
9,England : Players,Jordan Pickford,Nick Pope,Aaron Ramsdale,Kyle Walker,Luke Shaw,John Stones,Harry Maguire,Kieran Trippier,Eric Dier,Conor Coady,Trent Alexander-Arnold,Ben White,Conor Gallagher,Declan Rice,Jack Grealish,Jordan Henderson,Raheem Sterling,Kalvin Phillips,Bukayo Saka,Mason Mount,Philip Foden,Jude Bellingham,Maddison,Harry Kane,Marcus Rashford,Callum Wilson,
10,Wales : Players,Wayne Hennessey,Danny Ward,Adam Davies,Chris Gunter,Neco Williams,Ben Davies,Joseph Rodon,Connor Roberts,Lockyer,Chris Mepham,Benjamin Cabango,Joe Allen,Matthew Smith,Brennan Johnson,Aaron Ramsey,Ethan Ampadu,Joseff Morrell,Jonathan Williams,Daniel James,Dylan Levitt,Rubin Colwill,Harry Wilson,Gareth Bale,Kieffer Moore,Harris M.,Sorba Thomas,
11,Germany : Players,Manuel Neuer,Kevin Trapp,ter Stegen,Antonio Rüdiger,Thilo Kehrer,Niklas Süle,Christian Günter,Nico Schlotterbeck,Armel Bella-Kotchap,Lukas Klostermann,David Raum,Matthias Ginter,Joshua Kimmich,Kai Havertz,Leon Goretzka,Serge Gnabry,Mario Götze,Thomas Muller,Julian Brandt,Jonas Hofmann,Leroy Sane,Ilkay Gundogan,Jamal Musiala,Niclas Füllkrug,Karim Adeyemi,Youssoufa Moukoko,
12,Portugal : Players,Rui Patricio,José Sá,Costa D.,Pepe,Raphael Guerreiro,Joao Cancelo,William Carvalho,Diogo Dalot,Nuno Mendes,Rúben Dias,Antonio Silva,Vitinha F.,Bruno Fernandes,Bernardo Silva,Ruben Neves,Danilo Pereira,Otávio,João Palhinha,Matheus Nunes,Joao Mario,Félix J.,Cristiano Ronaldo,Horta R.,Rafael Leão,André Silva,Ramos G.,
13,Spain : Players,Sanchez Ro.,David Raya,Unai Simón,Cesar Azpilicueta,Eric Garcia,Pau Torres,Balde Al.,Guillamon,Jordi Alba,Daniel Carvajal,Pablo Sarabia,Aymeric Laporte,Sergio Busquets,Marcos Llorente,Koke,Gavi,Marco Asensio,Rodri,Yeremi Pino,Soler,Olmo,Alvaro Morata,Ferrán Torres,Nico Williams,Fati An.,Pedri,
14,Mexico : Players,Alfredo Talavera,Rodolfo Cota,Ochoa,Araujo N.,César Montes,Edson Alvarez,Johan Vasquez,Arteaga G.,Hector Moreno,Sanchez Jorge,Kevin Álvarez,Luis Chávez,Luis Romo,Carlos Rodríguez,Erick Gutierrez,Hector Herrera,Orbelin Pineda,Guardado,Hirving Lozano,Jesus Gallardo,Alexis Vega,Roberto Alvarado,Raul Jimenez,Funes Mori,Henry Martín,Antuna,
15,Uruguay : Players,Sebastian Sosa,Fernando Muslera,Sergio Rochet,Guillermo Varela,Mathias Olivera,Rodriguez J. L.,Gimenez Jose,Diego Godin,Ronald Araujo,Matías Viña,Sebastian Coates,Martín Cáceres,Manuel Ugarte,Matias Vecino,Rodrigo Bentancur,Nicolás De La Cruz,Facundo Pellistri,Giorgian De Arrascaeta,Torreira,Edinson Cavani,Agustin Canobbio,Federico Valverde,Núñez D.,Luis Suarez,Maxi Gómez,Facundo Torres,
16,Argentina : Players,Franco Armani,Geronimo Rulli,Emiliano Martinez,Juan Foyth,Nicolás Tagliafico,Gonzalo Montiel,Germán Pezzella,Romero C.,Nicolas Otamendi,Lisandro Martínez,Nahuel Molina,Guido Rodríguez,Leandro Paredes,Rodrigo De Paul,Marcos Acuña,Angel Di Maria,Exequiel Palacios,Ángel Correa,Mac Allister A.,Enzo Fernandez,Almada,Julián Álvarez,Lionel Messi,Alejandro Gomez,Paulo Dybala,Lautaro Martínez,
