,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
12,192119,https://sofifa.com/player/192119/thibaut-courtois/220002,T. Courtois,Thibaut Courtois,GK,89,91,85500000.0,250000.0,29,1992-05-11,199,96,243.0,Real Madrid CF,Spain Primera Division,1.0,GK,1.0,,2018-08-09,2026.0,7,Belgium,1325.0,GK,1.0,Left,3,1,4,Medium/Medium,Unique,Yes,181700000.0,,"GK Long Throw, Comes For Crosses",,,,,,,14,14,13,33,12,13,19,20,35,23,42,52,62,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,74,86,88,46.0,31+3,31+3,31+3,29,31,31,31,29,32+3,32+3,32+3,31+3,32+3,32+3,32+3,31+3,29+3,31+3,31+3,31+3,29+3,29+3,29+3,29+3,29+3,29+3,86+3,https://cdn.sofifa.net/players/192/119/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
54,192984,https://sofifa.com/player/192984/koen-casteels/220002,K. Casteels,Koen Casteels,GK,86,87,52000000.0,88000.0,29,1992-06-25,197,86,175.0,VfL Wolfsburg,German 1. Bundesliga,1.0,GK,1.0,,2015-01-21,2024.0,7,Belgium,,,,Left,2,1,3,Medium/Medium,Normal (185+),Yes,92300000.0,,Comes For Crosses,,,,,,,15,15,14,35,13,14,20,13,37,23,44,46,50,83,43,60,58,44,72,18,33,16,15,42,20,40,11,19,17,85,83,80,84,87,45.0,32+3,32+3,32+3,29,31,31,31,29,32+3,32+3,32+3,31+3,33+3,33+3,33+3,31+3,29+3,32+3,32+3,32+3,29+3,29+3,29+3,29+3,29+3,29+3,84+3,https://cdn.sofifa.net/players/192/984/22_120.png,https://cdn.sofifa.net/teams/175/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/be.png
147,184087,https://sofifa.com/player/184087/toby-alderweireld/220002,T. Alderweireld,Toby Alderweireld,CB,83,83,,,32,1989-03-02,186,81,,,,,,,,,,7,Belgium,1325.0,RCB,2.0,Right,3,2,3,Medium/Medium,Normal (185+),Yes,,,Long Passer (AI),58.0,55.0,70.0,67.0,86.0,77.0,64,45,81,77,38,62,63,59,81,75,55,60,54,85,62,78,81,76,77,58,79,85,52,62,58,86,87,87,84,16,6,14,16,14,,65+3,65+3,65+3,63,65,65,65,63,66+3,66+3,66+3,66+3,73+3,73+3,73+3,66+3,77+3,81+2,81+2,81+2,77+3,78+3,82+1,82+1,82+1,78+3,21+3,https://cdn.sofifa.net/players/184/087/22_120.png,,,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
2935,235036,https://sofifa.com/player/235036/wout-faes/220002,W. Faes,Wout Faes,CB,73,80,5500000.0,16000.0,23,1998-04-03,187,82,379.0,Stade de Reims,French Ligue 1,1.0,CB,2.0,,2020-01-31,2024.0,7,Belgium,,,,Right,3,2,1,Low/Medium,Normal (185+),No,12100000.0,,Long Passer (AI),55.0,37.0,54.0,57.0,73.0,75.0,32,31,73,70,24,53,41,35,70,65,62,50,42,69,58,60,70,70,79,27,74,72,39,42,42,69,72,75,74,12,10,8,7,7,,53+2,53+2,53+2,50,53,53,53,50,54+2,54+2,54+2,54+2,60+2,60+2,60+2,54+2,64+2,70+2,70+2,70+2,64+2,66+2,73+2,73+2,73+2,66+2,16+2,https://cdn.sofifa.net/players/235/036/22_120.png,https://cdn.sofifa.net/teams/379/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/be.png
293,172871,https://sofifa.com/player/172871/jan-vertonghen/220002,J. Vertonghen,Jan Vertonghen,CB,81,81,8500000.0,18000.0,34,1987-04-24,189,86,234.0,SL Benfica,Portuguese Liga ZON SAGRES,1.0,LCB,5.0,,2020-08-14,2023.0,7,Belgium,1325.0,LCB,5.0,Left,3,3,3,High/High,Normal (185+),Yes,17000000.0,,Power Free-Kick,76.0,62.0,72.0,67.0,83.0,78.0,70,54,78,76,52,64,66,70,74,70,74,78,56,81,60,80,89,72,80,66,80,79,56,66,66,81,84,84,85,6,10,9,12,7,,68+3,68+3,68+3,67,68,68,68,67,68+3,68+3,68+3,69+3,71+3,71+3,71+3,69+3,77+3,78+3,78+3,78+3,77+3,78+3,81,81,81,78+3,17+3,https://cdn.sofifa.net/players/172/871/22_120.png,https://cdn.sofifa.net/teams/234/60.png,https://cdn.sofifa.net/flags/pt.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
936,202371,https://sofifa.com/player/202371/thomas-meunier/220002,T. Meunier,Thomas Meunier,"RB, RM",77,77,9500000.0,48000.0,29,1991-09-12,191,90,22.0,Borussia Dortmund,German 1. Bundesliga,1.0,RB,24.0,,2020-07-01,2024.0,7,Belgium,1325.0,RM,15.0,Right,4,3,2,High/Medium,Normal (185+),Yes,16200000.0,,Outside Foot Shot,73.0,74.0,72.0,72.0,73.0,80.0,77,70,72,71,77,75,75,56,72,73,67,77,63,72,47,80,72,83,83,77,73,75,75,71,65,74,69,75,80,8,13,15,6,9,,74+2,74+2,74+2,73,73,73,73,73,72+2,72+2,72+2,74+2,73+2,73+2,73+2,74+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,75+2,16+2,https://cdn.sofifa.net/players/202/371/22_120.png,https://cdn.sofifa.net/teams/22/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
970,212501,https://sofifa.com/player/212501/leander-dendoncker/220002,L. Dendoncker,Leander Dendoncker,"CM, CB",77,80,13500000.0,71000.0,26,1995-04-15,189,88,110.0,Wolverhampton Wanderers,English Premier League,1.0,SUB,32.0,,2019-07-01,2023.0,7,Belgium,1325.0,SUB,22.0,Right,4,2,2,High/High,Normal (185+),Yes,26700000.0,,"Solid Player, Long Shot Taker (AI)",61.0,72.0,77.0,71.0,78.0,82.0,75,66,79,81,71,73,73,71,78,76,53,68,55,73,54,85,73,83,85,76,75,77,76,75,55,77,78,78,75,14,8,14,14,6,,74+2,74+2,74+2,72,74,74,74,72,74+2,74+2,74+2,73+2,77+2,77+2,77+2,73+2,76+2,78+2,78+2,78+2,76+2,75+2,78+2,78+2,78+2,75+2,18+2,https://cdn.sofifa.net/players/212/501/22_120.png,https://cdn.sofifa.net/teams/110/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
607,222501,https://sofifa.com/player/222501/timothy-castagne/220002,T. Castagne,Timothy Castagne,"RB, RM",79,82,21500000.0,84000.0,25,1995-12-05,180,80,95.0,Leicester City,English Premier League,1.0,SUB,27.0,,2020-09-03,2025.0,7,Belgium,1325.0,SUB,21.0,Right,3,3,1,High/High,Lean (170-185),No,42500000.0,,Early Crosser,78.0,57.0,71.0,76.0,75.0,70.0,79,59,69,75,40,77,58,33,70,78,77,78,71,78,66,62,72,84,64,52,68,78,77,69,27,68,77,75,72,14,9,15,10,15,,69+2,69+2,69+2,74,73,73,73,74,73+2,73+2,73+2,76+2,74+2,74+2,74+2,76+2,77+2,75+2,75+2,75+2,77+2,77+2,73+2,73+2,73+2,77+2,19+2,https://cdn.sofifa.net/players/222/501/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
14854,254262,https://sofifa.com/player/254262/zeno-debast/220002,Z. Debast,Zeno Debast,"CB, CDM",61,81,850000.0,500.0,17,2003-10-24,191,83,229.0,RSC Anderlecht,Belgian Jupiler Pro League,1.0,RES,56.0,,2019-10-28,2023.0,7,Belgium,,,,Right,4,2,1,Medium/Medium,Lean (185+),No,2100000.0,,,62.0,26.0,47.0,56.0,59.0,65.0,35,21,59,60,27,52,28,29,58,62,58,66,52,56,48,35,63,51,73,26,62,63,23,35,32,62,56,61,56,6,6,15,6,5,,44+2,44+2,44+2,46,45,45,45,46,48+2,48+2,48+2,49+2,51+2,51+2,51+2,49+2,56+2,59+2,59+2,59+2,56+2,57+2,61+2,61+2,61+2,57+2,12+2,https://cdn.sofifa.net/players/254/262/22_120.png,https://cdn.sofifa.net/teams/229/60.png,https://cdn.sofifa.net/flags/be.png,,https://cdn.sofifa.net/flags/be.png
142,177413,https://sofifa.com/player/177413/axel-witsel/220002,A. Witsel,Axel Witsel,"CDM, CM",83,83,24000000.0,72000.0,32,1989-01-12,186,81,22.0,Borussia Dortmund,German 1. Bundesliga,1.0,SUB,28.0,,2018-08-17,2022.0,7,Belgium,1325.0,SUB,6.0,Right,4,4,3,Medium/Medium,Unique,Yes,40800000.0,,"Solid Player, Leadership",61.0,72.0,81.0,79.0,82.0,79.0,69,71,84,90,77,78,71,68,83,81,60,61,71,85,70,75,78,76,82,71,75,83,73,79,76,90,82,80,80,5,7,7,10,7,,76+3,76+3,76+3,75,77,77,77,75,78+3,78+3,78+3,76+3,81+2,81+2,81+2,76+3,78+3,82+1,82+1,82+1,78+3,78+3,81+2,81+2,81+2,78+3,16+3,https://cdn.sofifa.net/players/177/413/22_120.png,https://cdn.sofifa.net/teams/22/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
