,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
282,241671,https://sofifa.com/player/241671/dominik-livakovic/220002,D. Livaković,Dominik Livaković,GK,82,87,35000000.0,1000.0,26,1995-01-09,187,79,211.0,Dinamo Zagreb,Croatian Prva HNL,1.0,GK,40.0,,2015-08-31,2024.0,10,Croatia,,,,Right,3,1,2,Medium/Medium,Normal (185+),No,79600000.0,,Saves with Feet,,,,,,,13,12,13,46,10,19,12,11,56,28,57,54,65,80,30,56,61,32,75,9,26,21,11,60,15,64,24,20,21,81,78,74,80,85,56.0,33+2,33+2,33+2,33,35,35,35,33,38+2,38+2,38+2,36+2,40+2,40+2,40+2,36+2,32+2,38+2,38+2,38+2,32+2,32+2,33+2,33+2,33+2,32+2,81+2,https://cdn.sofifa.net/players/241/671/22_120.png,https://cdn.sofifa.net/teams/211/60.png,https://cdn.sofifa.net/flags/hr.png,,https://cdn.sofifa.net/flags/hr.png
3084,258390,https://sofifa.com/player/258390/ivo-grbic/220002,I. Grbić,Ivo Grbić,GK,73,79,3800000.0,25000.0,25,1996-01-18,195,93,65.0,LOSC Lille,French Ligue 1,1.0,GK,1.0,Atlético de Madrid,,2022.0,10,Croatia,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,14,9,11,33,8,15,20,13,30,21,31,23,24,69,24,53,38,25,59,7,26,12,9,35,19,30,11,13,12,70,72,70,71,75,28.0,25+2,25+2,25+2,23,25,25,25,23,26+2,26+2,26+2,25+2,27+2,27+2,27+2,25+2,22+2,26+2,26+2,26+2,22+2,22+2,23+2,23+2,23+2,22+2,72+2,https://cdn.sofifa.net/players/258/390/22_120.png,https://cdn.sofifa.net/teams/65/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/hr.png
11881,250955,https://sofifa.com/player/250955/josip-stanisic/220002,J. Stanišić,Josip Stanišić,"RB, CB",64,75,1300000.0,9000.0,21,2000-04-02,186,77,21.0,FC Bayern München,German 1. Bundesliga,1.0,RES,44.0,,2021-04-10,2023.0,10,Croatia,,,,Right,4,2,1,Medium/Medium,Lean (185+),No,2400000.0,,,65.0,28.0,49.0,58.0,64.0,60.0,57,25,65,56,29,57,45,23,45,59,67,64,64,58,59,36,54,59,63,24,57,63,38,38,37,48,63,66,63,11,6,10,9,12,,47+2,47+2,47+2,51,48,48,48,51,49+2,49+2,49+2,53+2,51+2,51+2,51+2,53+2,61+2,58+2,58+2,58+2,61+2,62+2,62+2,62+2,62+2,62+2,15+2,https://cdn.sofifa.net/players/250/955/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/hr.png
1916,241673,https://sofifa.com/player/241673/borna-barisic/220002,B. Barišić,Borna Barišić,LB,75,75,5000000.0,44000.0,28,1992-11-10,186,80,86.0,Rangers FC,Scottish Premiership,1.0,LB,31.0,,2018-08-07,2024.0,10,Croatia,,,,Left,3,3,1,High/Medium,Normal (185+),No,9000000.0,,"Early Crosser, Speed Dribbler (AI)",76.0,60.0,75.0,72.0,70.0,77.0,82,55,67,73,42,71,78,77,72,73,75,77,70,67,73,72,69,84,76,59,71,72,70,70,66,73,69,72,70,12,13,6,8,9,,67+2,67+2,67+2,71,69,69,69,71,70+2,70+2,70+2,73+2,71+2,71+2,71+2,73+2,74+1,72+2,72+2,72+2,74+1,73+2,71+2,71+2,71+2,73+2,16+2,https://cdn.sofifa.net/players/241/673/22_120.png,https://cdn.sofifa.net/teams/86/60.png,https://cdn.sofifa.net/flags/gb-sct.png,,https://cdn.sofifa.net/flags/hr.png
4508,244456,https://sofifa.com/player/244456/martin-erlic/220002,M. Erlić,Martin Erlić,CB,71,75,2400000.0,15000.0,23,1998-01-24,193,88,110741.0,Spezia,Italian Serie A,1.0,RCB,28.0,U.S. Sassuolo Calcio,,2022.0,10,Croatia,,,,Right,2,2,1,Low/Medium,Normal (185+),No,,,Power Header,56.0,33.0,49.0,51.0,71.0,73.0,31,29,72,67,33,48,32,28,62,54,55,56,42,68,45,48,60,57,82,21,75,69,31,33,49,60,70,74,72,9,9,7,13,8,,49+2,49+2,49+2,46,47,47,47,46,48+2,48+2,48+2,49+2,54+2,54+2,54+2,49+2,60+2,66+2,66+2,66+2,60+2,63+2,71+2,71+2,71+2,63+2,16+2,https://cdn.sofifa.net/players/244/456/22_120.png,https://cdn.sofifa.net/teams/110741/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/hr.png
1114,243388,https://sofifa.com/player/243388/borna-sosa/220002,B. Sosa,Borna Sosa,"LWB, LM",77,82,15000000.0,23000.0,23,1998-01-21,187,79,36.0,VfB Stuttgart,German 1. Bundesliga,1.0,LM,24.0,,2018-07-01,2025.0,10,Croatia,,,,Left,2,3,2,High/Low,Normal (185+),Yes,28100000.0,,"Injury Prone, Early Crosser, Speed Dribbler (AI)",79.0,43.0,75.0,75.0,71.0,69.0,86,36,64,74,35,76,75,55,72,76,78,79,72,74,68,58,67,78,67,44,65,71,64,73,31,69,71,72,70,10,6,6,8,9,,62+2,62+2,62+2,70,67,67,67,70,70+2,70+2,70+2,73+2,71+2,71+2,71+2,73+2,75+2,72+2,72+2,72+2,75+2,74+2,70+2,70+2,70+2,74+2,15+2,https://cdn.sofifa.net/players/243/388/22_120.png,https://cdn.sofifa.net/teams/36/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/hr.png
718,199206,https://sofifa.com/player/199206/domagoj-vida/220002,D. Vida,Domagoj Vida,CB,78,78,9000000.0,42000.0,32,1989-04-29,184,76,327.0,Beşiktaş JK,Turkish Süper Lig,1.0,LCB,24.0,,2018-01-03,2022.0,10,Croatia,,,,Right,3,2,3,Medium/High,Lean (170-185),No,17100000.0,,"Solid Player, Dives Into Tackles (AI), Power Header",73.0,40.0,58.0,60.0,80.0,81.0,65,41,79,62,36,53,44,35,60,62,70,76,64,72,63,54,87,82,80,22,82,79,43,50,51,78,83,77,80,16,13,10,9,8,,57+3,57+3,57+3,57,55,55,55,57,55+3,55+3,55+3,60+3,60+3,60+3,60+3,60+3,73+3,72+3,72+3,72+3,73+3,75+3,78,78,78,75+3,18+3,https://cdn.sofifa.net/players/199/206/22_120.png,https://cdn.sofifa.net/teams/327/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/hr.png
3812,257771,https://sofifa.com/player/257771/josip-juranovic/220002,J. Juranović,Josip Juranović,RB,72,75,2900000.0,30000.0,25,1995-08-16,175,68,78.0,Celtic,Scottish Premiership,1.0,SUB,88.0,,2021-08-21,2026.0,10,Croatia,,,,Right,3,2,1,High/High,Normal (170-185),No,5400000.0,,Early Crosser,83.0,56.0,67.0,70.0,66.0,68.0,70,55,54,71,51,67,67,32,67,70,82,84,82,65,82,60,57,82,61,56,69,67,65,66,43,65,66,69,66,12,9,10,15,11,,63+2,63+2,63+2,69,67,67,67,69,68+2,68+2,68+2,70+2,68+2,68+2,68+2,70+2,71+2,69+2,69+2,69+2,71+2,70+2,66+2,66+2,66+2,70+2,18+2,https://cdn.sofifa.net/players/257/771/22_120.png,https://cdn.sofifa.net/teams/78/60.png,https://cdn.sofifa.net/flags/gb-sct.png,,https://cdn.sofifa.net/flags/hr.png
8560,256325,https://sofifa.com/player/256325/josip-sutalo/220002,J. Šutalo,Josip Šutalo,"CB, RB",67,79,2400000.0,500.0,21,2000-02-28,190,82,211.0,Dinamo Zagreb,Croatian Prva HNL,1.0,SUB,37.0,,2018-09-01,2025.0,10,Croatia,,,,Right,3,2,1,Low/Medium,Normal (185+),No,5800000.0,,,66.0,27.0,46.0,57.0,67.0,73.0,43,22,70,60,26,51,29,22,54,65,69,64,57,65,43,38,70,69,77,23,69,66,28,29,39,63,67,65,67,8,15,7,11,14,,48+2,48+2,48+2,49,47,47,47,49,48+2,48+2,48+2,52+2,53+2,53+2,53+2,52+2,62+2,63+2,63+2,63+2,62+2,64+2,67+2,67+2,67+2,64+2,18+2,https://cdn.sofifa.net/players/256/325/22_120.png,https://cdn.sofifa.net/teams/211/60.png,https://cdn.sofifa.net/flags/hr.png,,https://cdn.sofifa.net/flags/hr.png
296,181458,https://sofifa.com/player/181458/ivan-perisic/220002,I. Perišić,Ivan Perišić,"LM, LW, LWB",81,81,20500000.0,105000.0,32,1989-02-02,186,80,44.0,Inter,Italian Serie A,1.0,LM,14.0,,2015-09-01,2022.0,10,Croatia,,,,Left,5,4,3,Medium/Medium,Lean (185+),Yes,34900000.0,,Flair,81.0,79.0,76.0,79.0,64.0,74.0,80,78,80,78,81,78,73,75,72,80,82,81,81,79,78,84,85,75,76,77,65,69,83,74,76,80,64,58,54,6,7,10,9,6,,80+1,80+1,80+1,79,79,79,79,79,78+3,78+3,78+3,79+2,76+3,76+3,76+3,79+2,72+3,70+3,70+3,70+3,72+3,71+3,69+3,69+3,69+3,71+3,15+3,https://cdn.sofifa.net/players/181/458/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/hr.png
