,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
169,204935,https://sofifa.com/player/204935/jordan-pickford/220002,J. Pickford,Jordan Pickford,GK,83,85,33000000.0,83000.0,27,1994-03-07,185,77,7.0,Everton,English Premier League,1.0,GK,1.0,,2017-06-15,2024.0,14,England,1318.0,GK,1.0,Left,4,1,3,Medium/Medium,Normal (185+),Yes,65200000.0,,"Solid Player, Long Passer (AI), Rushes Out Of Goal, Saves with Feet",,,,,,,17,19,15,55,20,14,18,16,56,40,53,44,55,80,55,65,77,45,70,13,45,24,18,69,45,65,21,20,12,83,78,87,80,86,49.0,37+3,37+3,37+3,36,39,39,39,36,43+3,43+3,43+3,39+3,45+3,45+3,45+3,39+3,34+3,42+3,42+3,42+3,34+3,33+3,34+3,34+3,34+3,33+3,82+3,https://cdn.sofifa.net/players/204/935/22_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
167,203841,https://sofifa.com/player/203841/nick-pope/220002,N. Pope,Nick Pope,GK,83,83,25000000.0,45000.0,29,1992-04-19,199,76,1796.0,Burnley,English Premier League,1.0,GK,1.0,,2016-07-20,2023.0,14,England,,,,Right,3,1,1,Medium/Medium,Lean (185+),Yes,47500000.0,,"Comes For Crosses, Saves with Feet",,,,,,,11,14,11,32,14,15,13,12,35,24,50,47,36,78,42,56,72,37,75,15,36,21,13,45,22,63,14,15,14,81,83,75,83,84,49.0,31+2,31+2,31+2,28,31,31,31,28,31+2,31+2,31+2,30+2,32+2,32+2,32+2,30+2,28+2,31+2,31+2,31+2,28+2,28+2,29+2,29+2,29+2,28+2,82+1,https://cdn.sofifa.net/players/203/841/22_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
2307,233934,https://sofifa.com/player/233934/aaron-ramsdale/220002,A. Ramsdale,Aaron Ramsdale,GK,74,79,5000000.0,36000.0,23,1998-05-14,188,77,1.0,Arsenal,English Premier League,1.0,SUB,32.0,,2021-08-20,2025.0,14,England,1318.0,SUB,23.0,Right,3,1,1,Medium/Medium,Lean (185+),Yes,9900000.0,,"Solid Player, Comes For Crosses",,,,,,,15,14,15,31,16,18,17,16,33,28,47,50,53,70,49,52,66,35,59,15,35,20,11,47,25,55,18,16,15,75,72,69,71,76,48.0,30+2,30+2,30+2,30,31,31,31,30,32+2,32+2,32+2,31+2,32+2,32+2,32+2,31+2,28+2,31+2,31+2,31+2,28+2,28+2,28+2,28+2,28+2,28+2,73+2,https://cdn.sofifa.net/players/233/934/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
80,188377,https://sofifa.com/player/188377/kyle-walker/220002,K. Walker,Kyle Walker,RB,85,85,39000000.0,170000.0,31,1990-05-28,183,83,10.0,Manchester City,English Premier League,1.0,RB,2.0,,2017-07-14,2024.0,14,England,1318.0,RB,2.0,Right,2,3,3,High/High,Unique,Yes,72200000.0,"#Speedster, #Engine","Long Throw-in, Speed Dribbler (AI)",92.0,63.0,76.0,78.0,80.0,82.0,77,51,74,79,57,79,76,71,77,81,89,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,77,84,83,12,6,16,15,8,,74+3,74+3,74+3,76,76,76,76,76,75+3,75+3,75+3,78+3,77+3,77+3,77+3,78+3,82+3,80+3,80+3,80+3,82+3,82+3,81+3,81+3,81+3,82+3,19+3,https://cdn.sofifa.net/players/188/377/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
1027,227927,https://sofifa.com/player/227927/kyle-walker-peters/220002,K. Walker-Peters,Kyle Walker-Peters,RB,77,82,15000000.0,41000.0,24,1997-04-13,174,64,17.0,Southampton,English Premier League,1.0,SUB,2.0,,2020-08-11,2025.0,14,England,,,,Right,4,3,1,High/Medium,Lean (170-185),Yes,29600000.0,,,76.0,38.0,68.0,75.0,73.0,68.0,78,35,64,73,25,74,54,31,62,77,78,74,72,75,80,38,75,78,61,41,70,72,65,64,32,73,73,77,74,9,8,7,11,12,,59+2,59+2,59+2,68,65,65,65,68,67+2,67+2,67+2,71+2,69+2,69+2,69+2,71+2,75+2,72+2,72+2,72+2,75+2,75+2,72+2,72+2,72+2,75+2,17+2,https://cdn.sofifa.net/players/227/927/22_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
117,205988,https://sofifa.com/player/205988/luke-shaw/220002,L. Shaw,Luke Shaw,LB,84,86,48500000.0,140000.0,25,1995-07-12,181,75,11.0,Manchester United,English Premier League,1.0,LB,23.0,,2014-06-27,2023.0,14,England,1318.0,LB,3.0,Left,2,3,2,High/Medium,Stocky (170-185),Yes,93400000.0,,"Injury Prone, Early Crosser, Speed Dribbler (AI)",79.0,54.0,79.0,80.0,81.0,80.0,85,44,78,82,56,80,83,54,69,82,76,81,75,82,77,70,83,80,79,54,84,79,78,81,44,83,83,83,79,10,12,13,7,7,,71+2,71+2,71+2,76,75,75,75,76,76+2,76+2,76+2,78+2,78+2,78+2,78+2,78+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,81+2,81+2,17+2,https://cdn.sofifa.net/players/205/988/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
166,203574,https://sofifa.com/player/203574/john-stones/220002,J. Stones,John Stones,CB,83,86,41000000.0,140000.0,27,1994-05-28,188,76,10.0,Manchester City,English Premier League,1.0,SUB,5.0,,2016-08-09,2026.0,14,England,1318.0,RCB,5.0,Right,4,3,2,High/Medium,Lean (185+),Yes,78900000.0,,Long Throw-in,70.0,51.0,71.0,74.0,84.0,78.0,62,52,84,83,44,72,52,37,75,83,67,73,61,82,59,55,83,77,78,44,80,83,52,67,52,80,84,85,82,7,15,11,10,8,,67+2,67+2,67+2,68,68,68,68,68,70+2,70+2,70+2,71+2,75+2,75+2,75+2,71+2,78+2,81+2,81+2,81+2,78+2,79+2,83+2,83+2,83+2,79+2,18+2,https://cdn.sofifa.net/players/203/574/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
114,203263,https://sofifa.com/player/203263/harry-maguire/220002,H. Maguire,Harry Maguire,CB,84,86,42500000.0,155000.0,28,1993-03-05,194,100,11.0,Manchester United,English Premier League,1.0,LCB,5.0,,2019-08-05,2024.0,14,England,1318.0,LCB,6.0,Right,3,2,3,High/High,Stocky (185+),Yes,81800000.0,"#Aerial Threat, #Tactician, #Strength","Solid Player, Leadership, Long Passer (AI), Power Header",50.0,55.0,69.0,70.0,85.0,87.0,51,48,87,78,47,71,48,46,84,76,47,53,50,84,41,75,85,82,90,52,84,86,61,70,44,85,87,83,78,14,16,9,14,9,,67+3,67+3,67+3,64,67,67,67,64,69+3,69+3,69+3,68+3,76+3,76+3,76+3,68+3,74+3,82+3,82+3,82+3,74+3,76+3,84+2,84+2,84+2,76+3,21+3,https://cdn.sofifa.net/players/203/263/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
104,186345,https://sofifa.com/player/186345/kieran-trippier/220002,K. Trippier,Kieran Trippier,"RB, RWB, RM",84,84,36500000.0,74000.0,30,1990-09-19,173,69,240.0,Atlético de Madrid,Spain Primera Division,1.0,SUB,23.0,,2019-07-17,2023.0,14,England,1318.0,SUB,12.0,Right,4,3,2,Medium/Medium,Normal (170-185),Yes,74800000.0,#Crosser,"Long Throw-in, Solid Player, Early Crosser",73.0,63.0,82.0,77.0,80.0,72.0,86,54,79,81,58,74,86,82,80,82,74,73,73,81,77,75,78,87,64,70,73,80,76,80,66,77,79,81,80,11,14,8,11,10,,72+2,72+2,72+2,76,75,75,75,76,76+2,76+2,76+2,78+2,79+2,79+2,79+2,78+2,81+2,80+2,80+2,80+2,81+2,81+2,78+2,78+2,78+2,81+2,19+2,https://cdn.sofifa.net/players/186/345/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
557,202335,https://sofifa.com/player/202335/eric-dier/220002,E. Dier,Eric Dier,"CB, CDM",79,80,17500000.0,81000.0,27,1994-01-15,190,90,18.0,Tottenham Hotspur,English Premier League,1.0,LCB,15.0,,2014-08-02,2024.0,14,England,,,,Right,2,2,2,Medium/High,Stocky (185+),Yes,34600000.0,#Strength,"Dives Into Tackles (AI), Long Passer (AI), Power Header",53.0,64.0,69.0,64.0,79.0,83.0,64,52,81,71,51,65,68,73,75,72,51,55,35,79,41,84,71,67,91,74,88,76,53,64,74,74,77,80,81,11,14,6,13,9,,67+2,67+2,67+2,63,65,65,65,63,65+2,65+2,65+2,65+2,70+2,70+2,70+2,65+2,71+2,76+2,76+2,76+2,71+2,73+2,79+1,79+1,79+1,73+2,19+2,https://cdn.sofifa.net/players/202/335/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
