,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
12746,239076,https://sofifa.com/player/239076/abdul-manaf-nurudeen/220002,A. Nurudeen,Abdul Manaf Nurudeen,GK,63,75,1000000.0,2000.0,22,1999-02-08,190,77,2013.0,KAS Eupen,Belgian Jupiler Pro League,1.0,GK,33.0,,2017-07-01,2022.0,117,Ghana,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1700000.0,,,,,,,,,11,7,12,23,7,10,12,11,19,16,18,29,26,46,44,44,63,20,38,6,26,13,4,27,19,23,9,13,12,72,57,58,60,70,22.0,19+2,19+2,19+2,17,18,18,18,17,19+2,19+2,19+2,18+2,20+2,20+2,20+2,18+2,18+2,20+2,20+2,20+2,18+2,18+2,20+2,20+2,20+2,18+2,62+2,https://cdn.sofifa.net/players/239/076/22_120.png,https://cdn.sofifa.net/teams/2013/60.png,https://cdn.sofifa.net/flags/be.png,,https://cdn.sofifa.net/flags/gh.png
2241,230021,https://sofifa.com/player/230021/joseph-aidoo/220002,J. Aidoo,Joseph Aidoo,CB,74,79,5500000.0,17000.0,25,1995-09-29,184,80,450.0,RC Celta de Vigo,Spain Primera Division,1.0,SUB,15.0,,2019-07-11,2024.0,117,Ghana,,,,Right,2,2,1,Medium/High,Normal (170-185),No,12000000.0,#Strength,,73.0,25.0,40.0,46.0,73.0,87.0,29,18,76,59,21,35,24,28,42,48,69,76,62,65,69,40,85,77,91,23,88,71,25,23,31,63,70,76,72,11,6,9,13,6,,46+2,46+2,46+2,42,42,42,42,42,42+2,42+2,42+2,45+2,48+2,48+2,48+2,45+2,62+2,64+2,64+2,64+2,62+2,66+2,74+2,74+2,74+2,66+2,15+2,https://cdn.sofifa.net/players/230/021/22_120.png,https://cdn.sofifa.net/teams/450/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/gh.png
4525,247124,https://sofifa.com/player/247124/gideon-mensah/220002,G. Mensah,Gideon Mensah,"LB, LWB",71,78,3600000.0,13000.0,22,1998-07-18,178,64,59.0,FC Girondins de Bordeaux,French Ligue 1,1.0,LWB,14.0,FC Red Bull Salzburg,,2022.0,117,Ghana,,,,Left,2,3,1,Medium/Medium,Lean (170-185),No,,,Early Crosser,75.0,56.0,64.0,71.0,65.0,65.0,71,53,62,68,56,71,66,49,61,71,77,74,71,68,77,65,73,71,57,53,77,64,66,54,46,63,60,70,71,8,14,8,11,7,,64+2,64+2,64+2,67,66,66,66,67,65+2,65+2,65+2,68+2,65+2,65+2,65+2,68+2,69+2,66+2,66+2,66+2,69+2,69+2,66+2,66+2,66+2,69+2,16+2,https://cdn.sofifa.net/players/247/124/22_120.png,https://cdn.sofifa.net/teams/59/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/gh.png
15677,258243,https://sofifa.com/player/258243/gideon-mensah/220002,G. Mensah,Gideon Mensah,"CB, RB",60,68,500000.0,500.0,20,2000-10-09,183,75,113743.0,Varbergs BoIS FC,Swedish Allsvenskan,1.0,RWB,15.0,,2021-01-01,2023.0,117,Ghana,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,725000.0,,,66.0,29.0,44.0,49.0,58.0,68.0,44,25,59,53,25,45,26,27,42,53,67,65,48,50,59,44,77,60,74,21,61,57,39,40,36,44,56,60,58,13,12,8,7,13,,46+2,46+2,46+2,46,45,45,45,46,45+2,45+2,45+2,48+2,47+2,47+2,47+2,48+2,55+2,55+2,55+2,55+2,55+2,56+2,60+2,60+2,60+2,56+2,15+2,https://cdn.sofifa.net/players/258/243/22_120.png,https://cdn.sofifa.net/teams/113743/60.png,https://cdn.sofifa.net/flags/se.png,,https://cdn.sofifa.net/flags/gh.png
2118,209620,https://sofifa.com/player/209620/baba-rahman/220002,B. Rahman,Abdul Rahman Baba,"LB, LWB",74,75,4500000.0,66000.0,26,1994-07-02,180,72,1793.0,Reading,English League Championship,2.0,LB,21.0,Chelsea,,2022.0,117,Ghana,,,,Left,3,3,1,High/Medium,Lean (170-185),Yes,,,"Long Throw-in, Injury Prone, Early Crosser",77.0,53.0,66.0,73.0,70.0,72.0,74,52,67,70,41,73,70,23,67,74,75,78,74,73,72,61,74,68,73,48,74,72,63,59,42,69,68,71,71,12,11,6,11,10,,65+2,65+2,65+2,69,67,67,67,69,67+2,67+2,67+2,70+2,68+2,68+2,68+2,70+2,72+2,70+2,70+2,70+2,72+2,72+2,71+2,71+2,71+2,72+2,18+2,https://cdn.sofifa.net/players/209/620/22_120.png,https://cdn.sofifa.net/teams/1793/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gh.png
1282,212219,https://sofifa.com/player/212219/alexander-djiku/220002,A. Djiku,Alexander Djiku,CB,76,79,8500000.0,21000.0,26,1994-08-09,182,81,76.0,RC Strasbourg Alsace,French Ligue 1,1.0,RCB,24.0,,2019-07-05,2023.0,117,Ghana,,,,Right,3,2,2,Low/High,Normal (170-185),No,17600000.0,,,71.0,42.0,66.0,69.0,75.0,81.0,64,34,73,74,35,67,57,43,65,71,61,80,68,72,64,58,83,81,82,42,78,74,55,61,43,74,75,76,74,11,7,9,10,11,,60+2,60+2,60+2,63,62,62,62,63,64+2,64+2,64+2,66+2,67+2,67+2,67+2,66+2,73+2,73+2,73+2,73+2,73+2,73+2,76+2,76+2,76+2,73+2,17+2,https://cdn.sofifa.net/players/212/219/22_120.png,https://cdn.sofifa.net/teams/76/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/gh.png
1292,212883,https://sofifa.com/player/212883/daniel-amartey/220002,D. Amartey,Daniel Amartey,"CB, RB, CDM",76,79,8500000.0,70000.0,26,1994-12-21,186,79,95.0,Leicester City,English Premier League,1.0,SUB,18.0,,2016-02-05,2022.0,117,Ghana,,,,Right,3,3,1,Medium/High,Normal (185+),Yes,16800000.0,,"Injury Prone, Team Player",65.0,55.0,65.0,69.0,76.0,75.0,68,46,73,75,68,69,44,32,66,71,63,67,64,72,64,71,77,66,78,59,80,75,47,58,51,69,76,78,75,13,13,13,8,15,,63+2,63+2,63+2,64,63,63,63,64,64+2,64+2,64+2,65+2,67+2,67+2,67+2,65+2,72+2,73+2,73+2,73+2,72+2,72+2,76+2,76+2,76+2,72+2,19+2,https://cdn.sofifa.net/players/212/883/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gh.png
5309,244853,https://sofifa.com/player/244853/kamal-sowah/220002,K. Sowah,Kamal Sowah,"CF, CAM, LM",70,79,3600000.0,11000.0,21,2000-01-09,179,66,231.0,Club Brugge KV,Belgian Jupiler Pro League,1.0,RES,19.0,,2021-08-27,2025.0,117,Ghana,,,,Left,3,3,1,High/High,Lean (170-185),No,5800000.0,#Engine,Long Shot Taker (AI),81.0,69.0,65.0,71.0,44.0,63.0,59,68,48,69,71,71,64,64,59,73,78,83,75,65,75,73,72,88,59,71,40,46,69,67,59,54,38,46,45,10,13,10,9,7,,68+2,68+2,68+2,70,70,70,70,70,70+2,70+2,70+2,70+2,67+2,67+2,67+2,70+2,62+2,57+2,57+2,57+2,62+2,59+2,51+2,51+2,51+2,59+2,16+2,https://cdn.sofifa.net/players/244/853/22_120.png,https://cdn.sofifa.net/teams/231/60.png,https://cdn.sofifa.net/flags/be.png,,https://cdn.sofifa.net/flags/gh.png
14816,252059,https://sofifa.com/player/252059/salis-abdul-samed/220002,S. Abdul Samed,Salis Abdul Samed,CDM,61,70,700000.0,2000.0,21,2000-03-26,180,61,1815.0,Clermont Foot 63,French Ligue 1,1.0,SUB,19.0,,2021-07-09,2025.0,117,Ghana,,,,Right,2,2,1,Medium/High,Lean (170-185),No,1500000.0,,,56.0,46.0,52.0,61.0,58.0,58.0,38,46,57,66,38,61,36,34,60,66,50,61,47,56,69,49,68,56,56,45,61,56,40,42,44,48,53,65,61,11,14,8,11,7,,53+2,53+2,53+2,53,54,54,54,53,55+2,55+2,55+2,55+2,57+2,57+2,57+2,55+2,57+2,60+2,60+2,60+2,57+2,57+2,59+2,59+2,59+2,57+2,16+2,https://cdn.sofifa.net/players/252/059/22_120.png,https://cdn.sofifa.net/teams/1815/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/gh.png
1120,245155,https://sofifa.com/player/245155/mohammed-kudus/220002,M. Kudus,Mohammed Kudus,"CAM, CM",77,86,23000000.0,13000.0,20,2000-08-02,177,70,245.0,Ajax,Holland Eredivisie,1.0,SUB,20.0,,2020-07-16,2025.0,117,Ghana,,,,Left,3,4,1,High/High,Normal (170-185),No,36800000.0,#Acrobat,"Injury Prone, Flair, Playmaker (AI), Technical Dribbler (AI)",88.0,72.0,70.0,82.0,60.0,75.0,59,72,52,76,63,82,65,41,74,81,89,87,90,70,92,77,76,80,75,68,69,59,75,75,64,76,61,66,46,6,12,7,7,10,,74+2,74+2,74+2,77,77,77,77,77,77+2,77+2,77+2,77+2,75+2,75+2,75+2,77+2,69+2,69+2,69+2,69+2,69+2,67+2,64+2,64+2,64+2,67+2,15+2,https://cdn.sofifa.net/players/245/155/22_120.png,https://cdn.sofifa.net/teams/245/60.png,https://cdn.sofifa.net/flags/nl.png,,https://cdn.sofifa.net/flags/gh.png
