,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
7462,263238,https://sofifa.com/player/263238/seyed-payam-niazmand/220002,S. Niazmand,Seyed Payam Niazmand,GK,68,73,1400000.0,3000.0,26,1995-04-06,194,84,10031.0,Portimonense SC,Portuguese Liga ZON SAGRES,1.0,SUB,12.0,,2021-07-12,2024.0,161,Iran,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,3000000.0,,"GK Long Throw, Rushes Out Of Goal",,,,,,,14,8,14,27,6,17,14,13,20,21,25,34,39,63,27,49,39,21,64,8,27,7,4,56,12,49,6,12,14,69,66,65,69,68,29.0,24+2,24+2,24+2,24,26,26,26,24,27+2,27+2,27+2,25+2,27+2,27+2,27+2,25+2,21+2,23+2,23+2,23+2,21+2,20+2,22+2,22+2,22+2,20+2,67+2,https://cdn.sofifa.net/players/263/238/22_120.png,https://cdn.sofifa.net/teams/10031/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/ir.png
2973,237419,https://sofifa.com/player/237419/amir-abedzadeh/220002,A. Abedzadeh,Amir Abedzadeh,GK,73,74,2400000.0,6000.0,28,1993-04-26,186,80,2023.0,SD Ponferradina,Spanish Segunda División,2.0,GK,1.0,,2021-07-08,2023.0,161,Iran,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,4000000.0,,Long Passer (AI),,,,,,,12,10,13,24,12,10,13,14,35,15,30,25,53,70,36,50,55,21,60,11,26,14,10,50,11,34,13,14,14,72,70,67,73,73,28.0,24+2,24+2,24+2,22,24,24,24,22,26+2,26+2,26+2,23+2,27+2,27+2,27+2,23+2,21+2,26+2,26+2,26+2,21+2,21+2,24+2,24+2,24+2,21+2,72+2,https://cdn.sofifa.net/players/237/419/22_120.png,https://cdn.sofifa.net/teams/2023/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ir.png
4500,244259,https://sofifa.com/player/244259/sadegh-moharrami/220002,S. Moharrami,Sadegh Moharrami,"RB, RM",71,74,2300000.0,550.0,25,1996-03-01,174,71,211.0,Dinamo Zagreb,Croatian Prva HNL,1.0,SUB,2.0,,2018-07-02,2025.0,161,Iran,,,,Right,2,3,1,High/High,Normal (170-185),No,5200000.0,,"Speed Dribbler (AI), Team Player",81.0,30.0,52.0,68.0,70.0,59.0,57,26,56,59,21,67,39,27,51,66,82,81,75,62,84,34,79,75,48,27,61,75,53,45,38,57,66,75,72,6,13,7,14,9,,51+2,51+2,51+2,59,56,56,56,59,57+2,57+2,57+2,61+2,58+2,58+2,58+2,61+2,69+2,65+2,65+2,65+2,69+2,69+2,66+2,66+2,66+2,69+2,16+2,https://cdn.sofifa.net/players/244/259/22_120.png,https://cdn.sofifa.net/teams/211/60.png,https://cdn.sofifa.net/flags/hr.png,,https://cdn.sofifa.net/flags/ir.png
5932,227921,https://sofifa.com/player/227921/morteza-pouraliganji/220002,M. Pouraliganji,Morteza Pouraliganji,"CB, CDM, CM",69,69,1200000.0,6000.0,29,1992-04-19,187,83,111773.0,Shenzhen FC,Chinese Super League,1.0,LCB,35.0,,2020-09-22,2022.0,161,Iran,,,,Right,3,3,1,Low/Medium,Normal (185+),No,1900000.0,,Injury Prone,69.0,57.0,61.0,68.0,69.0,73.0,52,58,69,65,64,68,58,48,67,72,69,69,62,66,61,62,73,76,73,48,71,67,64,61,49,60,69,71,67,11,10,12,16,14,,65+2,65+2,65+2,64,65,65,65,64,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,67+2,69,69,69,67+2,67+2,69,69,69,67+2,19+2,https://cdn.sofifa.net/players/227/921/22_120.png,https://cdn.sofifa.net/teams/111773/60.png,https://cdn.sofifa.net/flags/cn.png,,https://cdn.sofifa.net/flags/ir.png
8327,243549,https://sofifa.com/player/243549/majid-hosseini/220002,M. Hosseini,Seyed Majid Hosseini,"CB, CDM",67,71,1300000.0,5000.0,25,1996-06-20,183,76,101020.0,Yukatel Kayserispor,Turkish Süper Lig,1.0,SUB,5.0,,2021-07-27,2022.0,161,Iran,,,,Right,3,2,1,Medium/High,Stocky (170-185),No,2700000.0,,,64.0,28.0,46.0,51.0,70.0,68.0,28,18,70,62,22,42,35,37,58,54,63,65,55,65,67,45,75,72,73,30,50,69,26,30,45,66,67,72,70,6,13,12,12,13,,46+2,46+2,46+2,44,44,44,44,44,46+2,46+2,46+2,48+2,52+2,52+2,52+2,48+2,61+2,63+2,63+2,63+2,61+2,63+2,67+2,67+2,67+2,63+2,17+2,https://cdn.sofifa.net/players/243/549/22_120.png,https://cdn.sofifa.net/teams/101020/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/ir.png
11703,241793,https://sofifa.com/player/241793/ali-karimi/220002,A. Karimi,Ali Karimi,CAM,64,65,675000.0,4000.0,27,1994-02-11,185,79,101020.0,Yukatel Kayserispor,Turkish Süper Lig,1.0,RES,6.0,,2021-08-10,2024.0,161,Iran,,,,Right,3,2,1,High/Medium,Lean (185+),No,1400000.0,,,59.0,61.0,62.0,65.0,51.0,54.0,58,61,70,66,48,68,59,49,59,69,64,54,59,48,58,64,67,55,51,61,59,41,66,63,48,58,49,53,48,6,14,13,9,5,,62+2,62+2,62+2,63,63,63,63,63,64+1,64+1,64+1,62+2,61+2,61+2,61+2,62+2,55+2,55+2,55+2,55+2,55+2,54+2,54+2,54+2,54+2,54+2,13+2,https://cdn.sofifa.net/players/241/793/22_120.png,https://cdn.sofifa.net/teams/101020/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/ir.png
8098,233241,https://sofifa.com/player/233241/saeid-ezatolahi/220002,S. Ezatolahi,Saeid Ezatolahi Afagh,"CDM, CM",67,73,1500000.0,3000.0,24,1996-10-01,190,78,822.0,Vejle Boldklub,Danish Superliga,1.0,CDM,6.0,,2020-08-20,2023.0,161,Iran,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2200000.0,,,60.0,57.0,60.0,62.0,65.0,72.0,49,52,60,66,41,61,49,55,67,66,63,58,59,64,52,72,58,69,73,60,75,67,57,60,45,63,65,66,62,14,10,15,7,14,,61+2,61+2,61+2,60,61,61,61,60,62+2,62+2,62+2,61+2,64+2,64+2,64+2,61+2,63+2,66+2,66+2,66+2,63+2,63+2,66+2,66+2,66+2,63+2,17+2,https://cdn.sofifa.net/players/233/241/22_120.png,https://cdn.sofifa.net/teams/822/60.png,https://cdn.sofifa.net/flags/dk.png,,https://cdn.sofifa.net/flags/ir.png
2383,243551,https://sofifa.com/player/243551/ali-gholizadeh/220002,A. Gholizadeh,Ali Gholizadeh,"LM, RM, CM",74,76,5500000.0,13000.0,25,1996-03-10,176,69,670.0,Royal Charleroi S.C.,Belgian Jupiler Pro League,1.0,RCM,8.0,,2018-07-01,2022.0,161,Iran,,,,Left,3,4,1,Medium/Medium,Normal (170-185),No,8700000.0,,"Flair, Long Shot Taker (AI), Technical Dribbler (AI)",77.0,67.0,68.0,77.0,48.0,70.0,65,68,34,68,58,78,63,65,65,78,79,75,77,70,78,72,78,80,68,64,62,43,70,73,55,72,49,55,47,14,12,13,10,8,,68+2,68+2,68+2,73,72,72,72,73,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,63+2,62+2,62+2,62+2,63+2,60+2,55+2,55+2,55+2,60+2,18+2,https://cdn.sofifa.net/players/243/551/22_120.png,https://cdn.sofifa.net/teams/670/60.png,https://cdn.sofifa.net/flags/be.png,,https://cdn.sofifa.net/flags/ir.png
2731,215871,https://sofifa.com/player/215871/alireza-jahanbakhsh/220002,A. Jahanbakhsh,Alireza Jahanbakhsh,RW,73,73,3200000.0,10000.0,27,1993-08-11,180,78,246.0,Feyenoord,Holland Eredivisie,1.0,RW,9.0,,2021-07-17,2024.0,161,Iran,,,,Right,4,4,2,Medium/Medium,Normal (170-185),Yes,4800000.0,,"Flair, Speed Dribbler (AI)",77.0,72.0,68.0,76.0,43.0,69.0,70,67,62,71,74,77,64,46,62,76,76,77,78,70,75,84,84,73,66,74,68,42,72,73,58,75,45,37,40,13,11,9,7,7,,72+1,72+1,72+1,73,73,73,73,73,73,73,73,73,68+2,68+2,68+2,73,61+2,58+2,58+2,58+2,61+2,58+2,54+2,54+2,54+2,58+2,16+2,https://cdn.sofifa.net/players/215/871/22_120.png,https://cdn.sofifa.net/teams/246/60.png,https://cdn.sofifa.net/flags/nl.png,,https://cdn.sofifa.net/flags/ir.png
654,241788,https://sofifa.com/player/241788/mehdi-taremi/220002,M. Taremi,Mehdi Taremi,"ST, CF",79,79,18000000.0,19000.0,28,1992-07-18,187,83,236.0,FC Porto,Portuguese Liga ZON SAGRES,1.0,RS,9.0,,2020-08-31,2024.0,161,Iran,,,,Right,4,4,1,High/Medium,Normal (185+),No,36000000.0,,"Flair, Technical Dribbler (AI)",76.0,79.0,70.0,80.0,38.0,71.0,68,81,70,74,74,81,74,43,64,83,77,76,73,81,65,81,74,80,76,74,46,23,83,73,76,81,38,41,25,9,11,9,15,8,,79,79,79,78,79,79,79,78,78+1,78+1,78+1,77+2,72+2,72+2,72+2,77+2,59+2,57+2,57+2,57+2,59+2,56+2,50+2,50+2,50+2,56+2,18+2,https://cdn.sofifa.net/players/241/788/22_120.png,https://cdn.sofifa.net/teams/236/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/ir.png
