,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
1547,189908,https://sofifa.com/player/189908/lukasz-skorupski/220002,Ł. Skorupski,Łukasz Skorupski,GK,75,76,4200000.0,22000.0,30,1991-05-05,187,84,189.0,Bologna,Italian Serie A,1.0,GK,28.0,,2018-07-01,2023.0,37,Poland,1353.0,SUB,12.0,Right,2,1,2,Medium/Medium,Normal (185+),No,7500000.0,,Comes For Crosses,,,,,,,19,11,10,29,17,18,12,19,26,23,51,51,48,68,38,41,66,31,58,15,33,17,13,32,22,58,18,12,12,78,72,54,74,81,51.0,28+2,28+2,28+2,28,28,28,28,28,28+2,28+2,28+2,29+2,27+2,27+2,27+2,29+2,27+2,27+2,27+2,27+2,27+2,26+2,26+2,26+2,26+2,26+2,74+2,https://cdn.sofifa.net/players/189/908/22_120.png,https://cdn.sofifa.net/teams/189/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
6882,224302,https://sofifa.com/player/224302/mateusz-wieteska/220002,M. Wieteska,Mateusz Wieteska,CB,68,73,1600000.0,4000.0,24,1997-02-11,187,82,1871.0,Legia Warszawa,Polish T-Mobile Ekstraklasa,1.0,CB,4.0,,2018-06-14,2023.0,37,Poland,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,2400000.0,,,62.0,33.0,46.0,49.0,67.0,72.0,33,36,71,62,32,34,29,24,49,58,58,66,65,64,56,38,88,68,72,19,72,67,41,40,39,72,64,69,65,15,12,13,16,9,,50+2,50+2,50+2,47,48,48,48,47,48+2,48+2,48+2,49+2,53+2,53+2,53+2,49+2,60+2,63+2,63+2,63+2,60+2,62+2,68+2,68+2,68+2,62+2,19+2,https://cdn.sofifa.net/players/224/302/22_120.png,https://cdn.sofifa.net/teams/1871/60.png,https://cdn.sofifa.net/flags/pl.png,,https://cdn.sofifa.net/flags/pl.png
1318,220570,https://sofifa.com/player/220570/jan-bednarek/220002,J. Bednarek,Jan Bednarek,CB,76,82,10500000.0,42000.0,25,1996-04-12,189,77,17.0,Southampton,English Premier League,1.0,SUB,35.0,,2017-07-01,2025.0,37,Poland,1353.0,LCB,5.0,Right,3,2,1,Medium/High,Lean (185+),Yes,22100000.0,,Dives Into Tackles (AI),52.0,22.0,53.0,55.0,78.0,77.0,44,19,77,65,20,50,23,26,55,59,50,54,52,77,59,25,81,71,80,23,78,81,26,52,32,62,76,78,74,11,13,16,7,9,,46+2,46+2,46+2,48,47,47,47,48,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,66+2,71+2,71+2,71+2,66+2,69+2,76+2,76+2,76+2,69+2,18+2,https://cdn.sofifa.net/players/220/570/22_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
8919,208894,https://sofifa.com/player/208894/filip-bednarek/220002,F. Bednarek,Filip Bednarek,GK,66,66,600000.0,3000.0,28,1992-09-26,188,81,873.0,Lech Poznań,Polish T-Mobile Ekstraklasa,1.0,SUB,35.0,,2020-07-20,2022.0,37,Poland,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,840000.0,,,,,,,,,16,18,17,24,13,14,13,16,22,25,47,40,33,64,58,49,56,45,70,13,20,22,12,46,31,55,9,16,21,65,62,65,65,68,44.0,29+2,29+2,29+2,27,29,29,29,27,28+2,28+2,28+2,28+2,29+2,29+2,29+2,28+2,28+2,28+2,28+2,28+2,28+2,27+2,27+2,27+2,27+2,27+2,65+1,https://cdn.sofifa.net/players/208/894/22_120.png,https://cdn.sofifa.net/teams/873/60.png,https://cdn.sofifa.net/flags/pl.png,,https://cdn.sofifa.net/flags/pl.png
3499,224763,https://sofifa.com/player/224763/krystian-bielik/220002,K. Bielik,Krystian Bielik,"CDM, CB",72,80,4900000.0,9000.0,23,1998-01-04,194,78,91.0,Derby County,English League Championship,2.0,SUB,5.0,,2019-08-02,2024.0,37,Poland,,,,Right,3,3,1,Medium/High,Normal (185+),No,10300000.0,,"Injury Prone, Dives Into Tackles (AI), Playmaker (AI)",59.0,45.0,64.0,69.0,71.0,74.0,49,33,70,71,46,72,48,45,73,69,54,63,65,68,48,62,65,65,79,52,73,73,59,68,42,74,71,71,67,15,7,12,8,8,,59+2,59+2,59+2,61,62,62,62,61,64+2,64+2,64+2,63+2,68+2,68+2,68+2,63+2,66+2,71+2,71+2,71+2,66+2,66+2,71+2,71+2,71+2,66+2,16+2,https://cdn.sofifa.net/players/224/763/22_120.png,https://cdn.sofifa.net/teams/91/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/pl.png
416,197242,https://sofifa.com/player/197242/grzegorz-krychowiak/220002,G. Krychowiak,Grzegorz Krychowiak,"CDM, CM",80,80,,,31,1990-01-29,187,84,,,,,,,,,,37,Poland,1353.0,CDM,10.0,Right,3,3,3,High/High,Normal (185+),No,,,"Long Passer (AI), Long Shot Taker (AI)",68.0,76.0,72.0,72.0,75.0,81.0,63,72,75,78,75,70,54,62,81,79,67,69,59,80,53,82,74,78,83,78,80,77,72,69,78,80,75,76,72,15,14,8,6,7,,75+3,75+3,75+3,72,74,74,74,72,74+3,74+3,74+3,73+3,76+3,76+3,76+3,73+3,74+3,78+2,78+2,78+2,74+3,74+3,77+3,77+3,77+3,74+3,18+3,https://cdn.sofifa.net/players/197/242/22_120.png,,,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
2573,199763,https://sofifa.com/player/199763/bartosz-bereszynski/220002,B. Bereszyński,Bartosz Bereszyński,RB,73,73,2800000.0,15000.0,28,1992-07-12,183,77,1837.0,U.C. Sampdoria,Italian Serie A,1.0,RB,24.0,,2017-01-04,2023.0,37,Poland,1353.0,RCB,18.0,Right,3,3,1,High/Medium,Normal (170-185),No,4800000.0,,,84.0,56.0,64.0,69.0,67.0,73.0,67,50,60,68,56,68,60,50,62,70,83,85,73,68,72,64,69,84,68,60,71,67,60,60,50,69,66,69,68,9,8,16,7,15,,64+2,64+2,64+2,67,66,66,66,67,66+2,66+2,66+2,68+2,66+2,66+2,66+2,68+2,71+2,68+2,68+2,68+2,71+2,71+2,68+2,68+2,68+2,71+2,16+2,https://cdn.sofifa.net/players/199/763/22_120.png,https://cdn.sofifa.net/teams/1837/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
4355,233409,https://sofifa.com/player/233409/robert-gumny/220002,R. Gumny,Robert Gumny,"RB, LB",71,79,4000000.0,12000.0,23,1998-06-04,182,71,100409.0,FC Augsburg,German 1. Bundesliga,1.0,RB,2.0,,2020-09-02,2025.0,37,Poland,,,,Right,2,2,1,High/High,Lean (170-185),No,8000000.0,,"Injury Prone, Speed Dribbler (AI)",81.0,37.0,60.0,69.0,67.0,66.0,64,28,50,68,46,66,53,31,52,70,85,77,79,63,75,47,66,79,70,38,41,68,59,57,38,64,69,71,68,11,6,13,12,6,,55+2,55+2,55+2,63,60,60,60,63,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,70+2,66+2,66+2,66+2,70+2,69+2,65+2,65+2,65+2,69+2,15+2,https://cdn.sofifa.net/players/233/409/22_120.png,https://cdn.sofifa.net/teams/100409/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/pl.png
7334,252495,https://sofifa.com/player/252495/jakub-kaminski/220002,J. Kamiński,Jakub Kamiński,"LM, RM",68,83,2900000.0,3000.0,19,2002-06-05,179,68,873.0,Lech Poznań,Polish T-Mobile Ekstraklasa,1.0,LM,7.0,,2019-07-01,2024.0,37,Poland,,,,Right,3,3,1,High/Medium,Lean (170-185),No,5900000.0,#Speedster,Speed Dribbler (AI),91.0,62.0,61.0,67.0,47.0,53.0,63,64,51,65,46,67,66,35,51,65,90,92,84,57,67,64,54,58,55,62,40,51,64,63,52,59,44,47,43,5,10,13,8,14,,64+2,64+2,64+2,68,66,66,66,68,66+2,66+2,66+2,67+2,60+2,60+2,60+2,67+2,59+2,54+2,54+2,54+2,59+2,58+2,51+2,51+2,51+2,58+2,15+2,https://cdn.sofifa.net/players/252/495/22_120.png,https://cdn.sofifa.net/teams/873/60.png,https://cdn.sofifa.net/flags/pl.png,,https://cdn.sofifa.net/flags/pl.png
10780,251633,https://sofifa.com/player/251633/michal-skoras/220002,M. Skóraś,Michał Skóraś,RM,65,78,1800000.0,2000.0,21,2000-02-15,172,64,873.0,Lech Poznań,Polish T-Mobile Ekstraklasa,1.0,RM,21.0,,2017-10-29,2023.0,37,Poland,,,,Right,3,3,1,High/Medium,Normal (170-185),No,3600000.0,,Speed Dribbler (AI),82.0,51.0,59.0,65.0,36.0,64.0,60,56,48,62,45,65,49,40,56,61,84,80,85,57,75,51,56,83,56,39,64,41,60,60,52,55,44,23,28,7,12,9,8,8,,58+2,58+2,58+2,63,61,61,61,63,62+2,62+2,62+2,64+2,58+2,58+2,58+2,64+2,55+2,51+2,51+2,51+2,55+2,52+2,45+2,45+2,45+2,52+2,14+2,https://cdn.sofifa.net/players/251/633/22_120.png,https://cdn.sofifa.net/teams/873/60.png,https://cdn.sofifa.net/flags/pl.png,,https://cdn.sofifa.net/flags/pl.png
