,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
2182,220901,https://sofifa.com/player/220901/david-raya-martin/220002,David Raya,David Raya Martin,GK,74,78,4600000.0,27000.0,25,1995-09-15,183,75,1925.0,Brentford,English Premier League,1.0,GK,1.0,,2019-07-06,2023.0,45,Spain,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,9500000.0,,"Rushes Out Of Goal, Comes For Crosses",,,,,,,12,19,20,40,20,17,18,15,30,40,58,46,70,72,45,57,70,29,38,14,29,11,15,64,26,46,28,14,13,73,73,76,70,74,53.0,33+2,33+2,33+2,35,37,37,37,35,39+2,39+2,39+2,35+2,36+2,36+2,36+2,35+2,29+2,31+2,31+2,31+2,29+2,29+2,27+2,27+2,27+2,29+2,73+2,https://cdn.sofifa.net/players/220/901/22_120.png,https://cdn.sofifa.net/teams/1925/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/es.png
267,230869,https://sofifa.com/player/230869/unai-simon-mendibil/220002,Unai Simón,Unai Simón Mendibil,GK,82,86,34500000.0,24000.0,24,1997-06-11,190,89,448.0,Athletic Club de Bilbao,Spain Primera Division,1.0,GK,1.0,,2015-08-25,2025.0,45,Spain,1362.0,GK,23.0,Right,3,1,3,Medium/Medium,Normal (185+),No,75000000.0,,"Comes For Crosses, Saves with Feet",,,,,,,16,14,18,40,17,12,20,14,37,16,46,48,32,72,47,57,63,45,76,13,27,26,14,44,24,42,11,18,12,82,77,76,85,84,47.0,31+3,31+3,31+3,27,29,29,29,27,30+3,30+3,30+3,30+3,33+3,33+3,33+3,30+3,29+3,32+3,32+3,32+3,29+3,29+3,30+3,30+3,30+3,29+3,81+3,https://cdn.sofifa.net/players/230/869/22_120.png,https://cdn.sofifa.net/teams/448/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
148,184432,https://sofifa.com/player/184432/cesar-azpilicueta-tanco/220002,Azpilicueta,César Azpilicueta Tanco,"CB, RWB",83,83,25000000.0,125000.0,31,1989-08-28,178,77,5.0,Chelsea,English Premier League,1.0,RWB,28.0,,2012-08-24,2022.0,45,Spain,1362.0,SUB,2.0,Right,3,2,3,Medium/Medium,Normal (170-185),Yes,46300000.0,,"Long Throw-in, Solid Player, Early Crosser, Long Passer (AI), Team Player",66.0,55.0,76.0,72.0,84.0,76.0,80,46,77,79,51,68,68,58,80,77,69,63,67,86,73,68,83,77,70,60,87,84,62,72,66,78,85,85,84,13,9,10,6,5,,66+3,66+3,66+3,70,69,69,69,70,71+3,71+3,71+3,72+3,76+3,76+3,76+3,72+3,80+3,81+2,81+2,81+2,80+3,80+3,82+1,82+1,82+1,80+3,17+3,https://cdn.sofifa.net/players/184/432/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
281,241464,https://sofifa.com/player/241464/pau-francisco-torres/220002,Pau Torres,Pau Francisco Torres,CB,82,89,56500000.0,35000.0,24,1997-01-16,191,80,483.0,Villarreal CF,Spain Primera Division,1.0,SUB,4.0,,2016-07-01,2024.0,45,Spain,1362.0,SUB,4.0,Left,3,2,2,Medium/High,Lean (185+),Yes,130000000.0,,Power Header,71.0,38.0,67.0,70.0,84.0,80.0,55,28,85,80,41,64,45,28,76,79,69,72,69,80,52,58,78,80,80,40,79,82,42,67,42,73,84,84,83,11,13,13,13,9,,60+2,60+2,60+2,62,62,62,62,62,66+2,66+2,66+2,66+2,72+2,72+2,72+2,66+2,77+2,80+2,80+2,80+2,77+2,78+2,82+2,82+2,82+2,78+2,19+2,https://cdn.sofifa.net/players/241/464/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
50,189332,https://sofifa.com/player/189332/jordi-alba-ramos/220002,Jordi Alba,Jordi Alba Ramos,"LB, LM",86,86,47000000.0,200000.0,32,1989-03-21,170,68,241.0,FC Barcelona,Spain Primera Division,1.0,LB,18.0,,2012-07-01,2024.0,45,Spain,1362.0,LB,18.0,Left,3,3,3,High/Medium,Unique,Yes,96400000.0,#Acrobat,Speed Dribbler (AI),86.0,69.0,81.0,83.0,77.0,71.0,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,74,78,80,13,15,13,6,13,,76+3,76+3,76+3,82,80,80,80,82,81+3,81+3,81+3,83+3,81+3,81+3,81+3,83+3,82+3,80+3,80+3,80+3,82+3,82+3,76+3,76+3,76+3,82+3,19+3,https://cdn.sofifa.net/players/189/332/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
87,204963,https://sofifa.com/player/204963/daniel-carvajal-ramos/220002,Carvajal,Daniel Carvajal Ramos,RB,85,85,47500000.0,210000.0,29,1992-01-11,173,73,243.0,Real Madrid CF,Spain Primera Division,1.0,RB,2.0,,2013-07-05,2025.0,45,Spain,,,,Right,3,3,3,High/Medium,Unique,Yes,97400000.0,,Team Player,80.0,54.0,78.0,80.0,81.0,80.0,82,51,72,83,49,78,76,47,74,83,79,80,79,83,81,68,77,89,74,47,84,81,75,74,45,81,82,82,84,13,13,15,9,15,,71+3,71+3,71+3,76,74,74,74,76,76+3,76+3,76+3,78+3,78+3,78+3,78+3,78+3,83+2,81+3,81+3,81+3,83+2,82+3,80+3,80+3,80+3,82+3,20+3,https://cdn.sofifa.net/players/204/963/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png
420,198950,https://sofifa.com/player/198950/pablo-sarabia-garcia/220002,Pablo Sarabia,Pablo Sarabia García,"RW, CAM",80,80,20500000.0,95000.0,29,1992-05-11,174,70,237.0,Sporting CP,Portuguese Liga ZON SAGRES,1.0,SUB,17.0,Paris Saint-Germain,,2022.0,45,Spain,,,,Left,4,4,2,High/Medium,Normal (170-185),Yes,,,"Solid Player, Outside Foot Shot, Technical Dribbler (AI)",72.0,76.0,81.0,82.0,57.0,59.0,81,77,61,83,64,83,84,74,78,83,73,72,78,79,80,75,31,71,59,77,49,58,81,83,69,76,60,54,49,16,7,15,6,14,,76+2,76+2,76+2,80,80,80,80,80,81-1,81-1,81-1,80,78+2,78+2,78+2,80,70+2,68+2,68+2,68+2,70+2,67+2,59+2,59+2,59+2,67+2,18+2,https://cdn.sofifa.net/players/198/950/22_120.png,https://cdn.sofifa.net/teams/237/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/es.png
63,212218,https://sofifa.com/player/212218/aymeric-laporte/220002,A. Laporte,Aymeric Laporte,CB,86,89,77000000.0,185000.0,27,1994-05-27,191,85,10.0,Manchester City,English Premier League,1.0,LCB,14.0,,2018-01-30,2024.0,45,Spain,1362.0,LCB,24.0,Left,3,2,3,Medium/Medium,Unique,Yes,148200000.0,"#Tackling, #Tactician ",Long Passer (AI),63.0,50.0,72.0,69.0,86.0,80.0,58,45,84,82,40,63,61,69,80,78,59,67,57,87,60,68,80,72,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,,66+3,66+3,66+3,65,66,66,66,65,68+3,68+3,68+3,68+3,74+3,74+3,74+3,68+3,77+3,82+3,82+3,82+3,77+3,79+3,85+3,85+3,85+3,79+3,18+3,https://cdn.sofifa.net/players/212/218/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
52,189511,https://sofifa.com/player/189511/sergio-busquets-burgos/220002,Sergio Busquets,Sergio Busquets i Burgos,"CDM, CM",86,86,45000000.0,200000.0,32,1988-07-16,189,76,241.0,FC Barcelona,Spain Primera Division,1.0,CDM,5.0,,2008-09-01,2023.0,45,Spain,1362.0,CDM,5.0,Right,3,3,4,Medium/Medium,Lean (185+),Yes,92300000.0,,"Leadership, Team Player",42.0,62.0,79.0,80.0,82.0,75.0,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,84,82,81,5,8,13,9,13,,70+3,70+3,70+3,73,75,75,75,73,78+3,78+3,78+3,75+3,82+3,82+3,82+3,75+3,77+3,84+2,84+2,84+2,77+3,76+3,79+3,79+3,79+3,76+3,17+3,https://cdn.sofifa.net/players/189/511/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
10170,221652,https://sofifa.com/player/221652/sergio-gonzalez-poirrier/220002,Sergio,Sergio González Poirrier,CB,65,66,650000.0,3000.0,29,1992-04-20,186,67,100888.0,CD Leganés,Spanish Segunda División,2.0,RES,6.0,,2020-08-10,2023.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,1100000.0,,,50.0,35.0,46.0,41.0,66.0,61.0,32,32,68,60,36,37,35,31,48,46,39,59,30,58,48,49,73,52,65,29,61,63,28,41,42,53,60,73,69,14,15,8,9,11,,45+2,45+2,45+2,41,43,43,43,41,43+2,43+2,43+2,44+2,49+2,49+2,49+2,44+2,55+2,59+2,59+2,59+2,55+2,58+2,65+1,65+1,65+1,58+2,17+2,https://cdn.sofifa.net/players/221/652/22_120.png,https://cdn.sofifa.net/teams/100888/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png
