,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
31,167948,https://sofifa.com/player/167948/hugo-lloris/220002,H. Lloris,Hugo Lloris,GK,87,87,13500000.0,125000.0,34,1986-12-26,188,82,18.0,Tottenham Hotspur,English Premier League,1.0,GK,1.0,,2012-08-31,2022.0,18,France,1335.0,GK,1.0,Left,1,1,4,Medium/Medium,Unique,Yes,25700000.0,,"Leadership, Team Player, Rushes Out Of Goal",,,,,,,13,10,10,50,11,10,11,10,50,34,61,62,55,85,54,49,74,41,43,14,31,27,10,50,40,65,29,10,18,88,83,65,84,90,61.0,31+3,31+3,31+3,33,34,34,34,33,38+3,38+3,38+3,36+3,39+3,39+3,39+3,36+3,35+3,38+3,38+3,38+3,35+3,34+3,30+3,30+3,30+3,34+3,85+2,https://cdn.sofifa.net/players/167/948/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
290,163705,https://sofifa.com/player/163705/steve-mandanda/220002,S. Mandanda,Steve Mandanda,GK,81,81,2900000.0,24000.0,36,1985-03-28,185,82,219.0,Olympique de Marseille,French Ligue 1,1.0,GK,30.0,,2017-07-11,2024.0,18,France,1335.0,SUB,16.0,Right,3,1,3,Medium/Medium,Normal (185+),Yes,5500000.0,,"Leadership, Team Player",,,,,,,14,13,13,46,13,19,13,12,36,27,53,43,52,80,36,59,69,31,61,7,37,23,11,55,11,62,13,15,13,80,80,78,81,81,49.0,31+3,31+3,31+3,32,34,34,34,32,36+3,36+3,36+3,34+3,36+3,36+3,36+3,34+3,30+3,34+3,34+3,34+3,30+3,29+3,29+3,29+3,29+3,29+3,80+1,https://cdn.sofifa.net/players/163/705/22_120.png,https://cdn.sofifa.net/teams/219/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
216,193105,https://sofifa.com/player/193105/alphonse-areola/220002,A. Areola,Alphonse Areola,GK,82,84,26000000.0,75000.0,28,1993-02-27,195,94,19.0,West Ham United,English Premier League,1.0,SUB,13.0,Paris Saint-Germain,,2022.0,18,France,,,,Right,3,1,2,Medium/Medium,Unique,Yes,,,Comes For Crosses,,,,,,,20,19,14,48,16,15,16,16,37,22,56,54,58,78,58,57,72,38,80,14,26,23,17,51,25,64,13,18,12,85,79,76,80,85,55.0,34+2,34+2,34+2,33,34,34,34,33,36+2,36+2,36+2,35+2,36+2,36+2,36+2,35+2,32+2,34+2,34+2,34+2,32+2,31+2,31+2,31+2,31+2,31+2,81+2,https://cdn.sofifa.net/players/193/105/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/fr.png
621,226851,https://sofifa.com/player/226851/benjamin-pavard/220002,B. Pavard,Benjamin Pavard,"RB, CB",79,82,21500000.0,64000.0,25,1996-03-28,186,81,21.0,FC Bayern München,German 1. Bundesliga,1.0,RB,5.0,,2019-07-01,2024.0,18,France,,,,Right,3,3,3,Low/High,Normal (185+),Yes,37100000.0,,,69.0,53.0,72.0,71.0,78.0,76.0,77,43,80,75,70,68,63,51,76,77,68,69,66,76,66,71,86,79,76,53,69,78,58,66,51,76,76,79,80,9,7,15,7,15,,66+3,66+3,66+3,67,66,66,66,67,68+3,68+3,68+3,70+3,72+3,72+3,72+3,70+3,76+3,76+3,76+3,76+3,76+3,77+3,77+3,77+3,77+3,77+3,17+3,https://cdn.sofifa.net/players/226/851/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/fr.png
832,237678,https://sofifa.com/player/237678/ibrahima-konate/220002,I. Konaté,Ibrahima Konaté,CB,78,86,29500000.0,73000.0,22,1999-05-25,194,95,9.0,Liverpool,English Premier League,1.0,SUB,5.0,,2021-07-01,2026.0,18,France,,,,Right,2,3,2,Medium/High,Normal (185+),Yes,60500000.0,#Aerial Threat,Injury Prone,71.0,34.0,57.0,67.0,80.0,76.0,38,29,77,75,28,67,32,27,69,69,67,75,60,71,54,45,74,61,83,31,77,78,37,51,41,74,76,85,79,9,7,9,9,15,,55+2,55+2,55+2,57,57,57,57,57,60+2,60+2,60+2,60+2,64+2,64+2,64+2,60+2,69+2,74+2,74+2,74+2,69+2,72+2,78+2,78+2,78+2,72+2,17+2,https://cdn.sofifa.net/players/237/678/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/fr.png
229,201519,https://sofifa.com/player/201519/jordan-veretout/220002,J. Veretout,Jordan Veretout,"CDM, CM",82,83,29500000.0,66000.0,28,1993-03-01,177,67,52.0,Roma,Italian Serie A,1.0,LDM,17.0,,2019-07-20,2024.0,18,France,1335.0,SUB,17.0,Right,3,3,2,Medium/Medium,Normal (170-185),Yes,52400000.0,,"Long Shot Taker (AI), Playmaker (AI)",77.0,75.0,77.0,79.0,77.0,81.0,69,69,59,85,72,76,69,71,80,82,84,72,76,79,81,83,74,85,79,80,84,77,69,74,85,82,79,81,77,9,10,11,8,9,,74+2,74+2,74+2,76,77,77,77,76,78+2,78+2,78+2,77+2,79+2,79+2,79+2,77+2,79+2,81+2,81+2,81+2,79+2,78+2,77+2,77+2,77+2,78+2,17+2,https://cdn.sofifa.net/players/201/519/22_120.png,https://cdn.sofifa.net/teams/52/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
859,248243,https://sofifa.com/player/248243/eduardo-camavinga/220002,E. Camavinga,Eduardo Camavinga,"CM, CDM",78,89,29500000.0,44000.0,18,2002-11-10,182,68,243.0,Real Madrid CF,Spain Primera Division,1.0,SUB,25.0,,2021-09-01,2027.0,18,France,,,,Left,3,4,3,High/High,Lean (170-185),Yes,66400000.0,,"Flair, Technical Dribbler (AI)",72.0,65.0,76.0,80.0,75.0,77.0,70,62,64,81,59,80,72,59,77,81,73,71,80,78,76,72,70,80,76,64,77,76,73,77,62,81,75,78,76,12,6,8,12,12,,72+3,72+3,72+3,75,75,75,75,75,76+3,76+3,76+3,76+3,78+3,78+3,78+3,76+3,77+3,78+3,78+3,78+3,77+3,76+3,75+3,75+3,75+3,76+3,18+3,https://cdn.sofifa.net/players/248/243/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/fr.png
83,194765,https://sofifa.com/player/194765/antoine-griezmann/220002,A. Griezmann,Antoine Griezmann,"ST, LW, RW",85,85,53000000.0,220000.0,30,1991-03-21,176,73,240.0,Atlético de Madrid,Spain Primera Division,1.0,LS,17.0,FC Barcelona,,2022.0,18,France,1335.0,RW,7.0,Left,3,4,4,Medium/Medium,Unique,Yes,,#Acrobat,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",80.0,84.0,84.0,87.0,52.0,72.0,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,43,54,49,14,8,14,13,14,,84+1,84+1,84+1,85,86-1,86-1,86-1,85,86-1,86-1,86-1,85,82+3,82+3,82+3,85,71+3,69+3,69+3,69+3,71+3,69+3,63+3,63+3,63+3,69+3,21+3,https://cdn.sofifa.net/players/194/765/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
520,178509,https://sofifa.com/player/178509/olivier-giroud/220002,O. Giroud,Olivier Giroud,ST,79,79,8500000.0,48000.0,34,1986-09-30,193,91,47.0,AC Milan,Italian Serie A,1.0,ST,9.0,,2021-07-17,2024.0,18,France,,,,Left,3,3,3,Medium/Medium,Normal (185+),Yes,14500000.0,"#Aerial Threat, #Strength","Flair, Outside Foot Shot, Team Player",39.0,80.0,70.0,71.0,42.0,77.0,64,82,90,75,82,69,70,65,58,81,34,43,54,81,53,84,82,54,88,66,76,42,82,77,90,79,37,37,20,12,15,11,6,5,,78+1,78+1,78+1,70,74,74,74,70,73+3,73+3,73+3,69+3,69+3,69+3,69+3,69+3,53+3,58+3,58+3,58+3,53+3,51+3,56+3,56+3,56+3,51+3,17+3,https://cdn.sofifa.net/players/178/509/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/fr.png
2347,237679,https://sofifa.com/player/237679/randal-kolo-muani/220002,R. Kolo Muani,Randal Kolo Muani,"ST, RW, LW",74,82,9500000.0,21000.0,22,1998-12-05,187,73,71.0,FC Nantes,French Ligue 1,1.0,LS,23.0,,2017-07-01,2022.0,18,France,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,20900000.0,,,82.0,69.0,60.0,77.0,31.0,61.0,37,72,75,73,64,81,62,54,62,78,84,81,78,70,52,71,73,67,69,63,31,22,74,60,62,69,28,24,31,7,14,15,8,5,,74+2,74+2,74+2,72,74,74,74,72,73+2,73+2,73+2,71+2,65+2,65+2,65+2,71+2,52+2,50+2,50+2,50+2,52+2,50+2,45+2,45+2,45+2,50+2,16+2,https://cdn.sofifa.net/players/237/679/22_120.png,https://cdn.sofifa.net/teams/71/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/fr.png
