,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,Qatar : Players,Saad Al Sheeb,Yousef Hassan,Meshaal Barsham,Ró-Ró,Abdelkarim Hassan,Tarek Salman,Musab Khoder,Homam Ahmed,Bassam Al-Rawi,Assim Madibo,Jassem Ghaber,Mohammed Abdulwahab,Salem Al-Hajri,Abdulaziz Hatem,Karim Boudiaf,Boualem Khoukhi,Mashaal Tarek,Ali Assadalla,Ismaeel Mohammed,Mazeed,Naif Al-Hadhrami,Ahmed Alaaeldin,Mohammed Muntari,Hassan Al-Haydos,Afif Ak.,Almoez Ali,
1,Qatar : Players,185,186,180,188,186,179,174,186,175,168,0,183,183,182,190,183,0,175,168,174,0,180,194,174,177,184,
2,Senegal : Players,Seny Dieng,Edouard Mendy,Gomis A.,Formose Mendy,Kalidou Koulibaly,Cissé Pape,Cheikhou Kouyate,Moussa N'Diaye,Fodé Ballo-Touré,Ismail Jakobs,Youssouf Sabaly,Abdou Diallo,Gueye P.A.,Gueye I.,Nampalys Mendy,Pathé Ciss,Pape Sarr,Ismaila Sarr,Loum Ndiaye,Nicolas Jackson,Iliman Ndiaye,Boulaye Dia,Krépin Diatta,Famara Diédhiou,Dieng A.,Moustapha Name,
3,Senegal : Players,193,197,196,191,195,192,189,181,177,183,174,186,189,174,167,183,181,185,188,186,180,180,173,190,177,188,
4,Morocco : Players,Yassine Bounou,Munir,Ahmed Tagnaouti,Achraf Hakimi,Nayef Aguerd,Jawad El Yamiq,Achraf Dari,Badr Benoun,Azzedine Ounahi,Noussair Mazraoui,Sofyan Amrabat,Romain Saiss,Abdelhamid Sabiri,Ilias Chair,Abde Ezzalzouli,Sofiane Boufal,Yahya Jabrane,Hakim Ziyech,Selim Amallah,Bilal El Khannouss,Abderrazak Hamed-Allah,Anass Zaroury,Zakaria Aboukhlal,Youssef En Nesyri,Walid Cheddira,Yahia Attiyat-Allah,
5,Morocco : Players,195,189,186,181,188,192,188,193,182,178,185,188,186,171,177,170,0,181,180,0,179,166,179,188,187,176,
6,Japan : Players,Shuichi Gonda,Daniel Schmidt,Eiji Kawashima,Yuto Nagatomo,Hiroki Sakai,Maya Yoshida,Wataru Endo,Hiroki Ito,Miki Yamane,Shogo Taniguchi,Ko Itakura,Takehiro Tomiyasu,Ritsu Doan,Hidemasa Morita,Ao Tanaka,Kaoru Mitoma,Gaku Shibasaki,Takefusa Kubo,Daichi Kamada,Yuki Soma,Takuma Asano,Takumi Minamino,Junya Ito,Shuto Machino,Daizen Maeda,Ayase Ueda,
7,Japan : Players,187,197,185,170,183,189,178,188,178,183,186,188,172,177,180,178,175,173,180,166,171,174,176,185,173,180,
8,Netherlands : Players,Remko Pasveer,Justin Bijlow,Andries Noppert,Jurrien Timber,Matthijs de Ligt,van Dijk,Nathan Ake,Stefan de Vrij,Tyrell Malacia,Daley Blind,Denzel Dumfries,Jeremie Frimpong,Teun Koopmeiners,Frenkie de Jong,Marten de Roon,Kenneth Taylor,Xavi Simons,Memphis Depay,Lang N.,Steven Bergwijn,Cody Gakpo,Luuk de Jong,Steven Berghuis,Davy Klaassen,Vincent Janssen,Wout Weghorst,
9,Netherlands : Players,188,188,203,179,189,193,180,189,173,176,189,172,184,180,185,178,166,176,178,178,179,188,183,179,180,197,
